PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 54, filenames: A:[54]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[55]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,4.690552711,4.395092487,1
47,65,1.932279468,-5.049424171,1
47,97,0.1666209698,-6.697268009,1
47,129,-0.9981190562,-7.294844627,1
47,161,-0.8527517319,-6.768059254,1
47,193,-0.6763263941,-5.719261169,1
47,225,-1.236451149,-7.711667061,1
47,257,-0.7975378036,-8.322199821,1
47,289,1.178877831,-7.634902,1
47,321,2.609871864,-6.575060844,1
47,353,2.081787586,-8.128078461,1
47,385,2.818859816,-5.281816006,1
47,417,1.149884701,-3.179286003,1
47,449,1.651307106,-5.847254276,1
47,481,3.497833252,-5.083421707,1
47,513,2.599124432,-4.980478287,1
47,545,1.336956978,-5.606193542,1
47,577,1.223654985,-5.121294022,1
47,609,1.254875541,-4.58430481,1
47,641,1.438447595,-5.386558533,1
47,673,1.900017023,-4.48876524,1
47,705,3.028234243,-3.54592371,1
47,737,1.751004338,-2.509300709,1
47,769,1.908649445,-3.385195017,1
47,801,1.178285837,-3.421840668,1
47,833,0.9571876526,-3.026389122,1
47,865,1.42692852,-2.336645126,1
47,897,1.272472143,-1.976753473,1
47,929,0.1375976801,-1.499775529,1
47,961,-0.09157000482,-0.8599357605,1
47,993,0.06828987598,-1.384748101,1
47,1025,-0.1893177032,-0.9078429937,1
47,1057,-1.295792341,-0.4839878082,1
47,1089,-2.397566795,0.6605085135,1
47,1121,-3.031317234,1.184556842,1
47,1153,-2.051848888,-0.8398159742,1
47,1185,-2.148068905,-0.6275064945,1
47,1217,-1.328245163,-1.45161593,1
47,1249,-2.245012522,-1.448998451,1
47,1281,-3.522428513,-1.667341113,1
47,1313,-3.151443958,-2.296071053,1
47,1345,-2.582491398,-3.11933136,1
47,1377,-2.336697817,-2.507703781,1
47,1409,-4.671805382,-1.611653209,1
47,1441,-4.471641541,-0.5467804074,1
47,1473,-5.052760124,1.250234127,1
47,1505,-5.152984619,1.450780034,1
47,1537,-4.392178535,-0.1600779295,1
47,1569,-4.289415836,-0.6441533566,1
47,1601,-4.018037796,-0.1809279919,1
47,1633,-2.843879461,-0.1639817953,1
47,1665,-1.65454638,-0.2550508976,1
47,1697,-0.5632437468,0.4156008959,1
47,1729,1.172062397,0.4719139338,1
47,1761,0.8995847702,0.04325515032,1
47,1793,-0.895021677,-1.611035228,1
47,1825,-1.165341616,-1.808969498,1
47,1857,-0.9428493977,-2.233515501,1
47,1889,-0.4606061578,-1.636664867,1
47,1921,0.5202789307,-0.8207727671,1
47,1953,-0.5121281147,-0.5839762092,1
47,1985,-0.8968479633,-0.005298614502,1
47,2017,-1.009274006,0.1189155579,1
79,33,1.003213882,2.198474169,1
79,65,1.255620003,-5.397116661,1
79,97,0.9058696032,-5.226029396,1
79,129,0.3146501184,-5.933726788,1
79,161,-0.1608529389,-5.091248512,1
79,193,0.1727119088,-5.087200642,1
79,225,-0.191824168,-6.165528297,1
79,257,0.04543691874,-6.652194977,1
79,289,1.277573705,-3.447478294,1
79,321,2.179680824,-3.626535416,1
79,353,2.426863194,-5.163379192,1
79,385,2.116725922,-4.550609589,1
79,417,1.542034149,-3.971776962,1
79,449,2.448479652,-5.321308136,1
79,481,2.691485405,-4.796590805,1
79,513,2.028156996,-4.018945217,1
79,545,1.610671401,-4.677473545,1
79,577,1.76404202,-4.950045109,1
79,609,1.562520146,-4.50836277,1
79,641,1.212831378,-4.518209457,1
79,673,1.203501225,-4.271554947,1
79,705,0.8814924359,-3.949148417,1
79,737,1.100827456,-3.740589857,1
79,769,1.305270791,-4.275443077,1
79,801,0.6725679636,-3.631213665,1
79,833,0.008379340172,-3.125296593,1
79,865,0.7281959653,-3.449105501,1
79,897,0.4503229856,-1.752756715,1
79,929,-0.2043107003,-0.9319298267,1
79,961,-0.1019783616,-1.06381464,1
79,993,0.09789472818,-1.725718856,1
79,1025,-0.07873615623,-1.815447569,1
79,1057,-0.6990088224,-1.893065929,1
79,1089,-1.303542972,-1.220116735,1
79,1121,-2.649778366,-0.6880871058,1
79,1153,-2.651165009,-0.5936842561,1
79,1185,-1.791646719,-0.252684176,1
79,1217,-0.818825841,-0.609436512,1
79,1249,-1.528836727,-0.8573752642,1
79,1281,-2.012681961,-1.160313725,1
79,1313,-2.819719315,-1.33533895,1
79,1345,-2.770375252,-1.566136599,1
79,1377,-1.996995211,-1.049894571,1
79,1409,-2.681877136,0.1050982475,1
79,1441,-3.203157663,-0.9877438545,1
79,1473,-3.563473701,-0.898155272,1
79,1505,-3.724679232,-0.6912382245,1
79,1537,-3.34590292,-0.8509348631,1
79,1569,-3.067177296,-1.014570355,1
79,1601,-2.905311584,-0.7546643615,1
79,1633,-2.561066389,0.5990298986,1
79,1665,-2.152127028,1.291146159,1
79,1697,-1.775431871,2.173406124,1
79,1729,-1.343400002,1.901065946,1
79,1761,-1.809635282,0.3999273181,1
79,1793,-2.740338802,-1.450552464,1
79,1825,-1.957391143,-1.498835564,1
79,1857,-1.473321557,-1.966416121,1
79,1889,-0.7633296251,-1.037519336,1
79,1921,-0.447832495,-0.297753334,1
79,1953,-0.2040886432,-0.9320346713,1
79,1985,-0.4708615541,-2.222726345,1
79,2017,-1.063616037,-0.5838364363,1
111,33,0.8216348886,-1.996475935,1
111,65,1.613322258,-5.822315216,1
111,97,1.179970264,-4.912393093,1
111,129,0.8531963825,-5.105967045,1
111,161,0.6472235918,-4.469339371,1
111,193,0.815448761,-4.647470951,1
111,225,0.9242954254,-5.181333542,1
111,257,4.152616978,-5.382464409,1
111,289,4.670469284,-5.397281647,1
111,321,2.363477707,-5.576533318,1
111,353,1.704661369,-4.223667145,1
111,385,1.625674844,-4.155524254,1
111,417,1.643531799,-4.121064186,1
111,449,1.782015324,-5.759416103,1
111,481,2.032597542,-5.59748888,1
111,513,1.765796661,-3.690361023,1
111,545,1.994222045,-4.420796871,1
111,577,2.17034483,-5.027097225,1
111,609,1.642007828,-4.382626057,1
111,641,0.7977085114,-4.439669609,1
111,673,0.3410658836,-4.122760296,1
111,705,0.6110219955,-3.380851507,1
111,737,0.4663675427,-3.910122395,1
111,769,0.5592980385,-4.295126915,1
111,801,0.3073962629,-3.83859992,1
111,833,0.04535910487,-3.026695728,1
111,865,-0.09088644385,-2.353467464,1
111,897,0.06657238305,-1.063958883,1
111,929,-0.0318878293,-0.2966811657,1
111,961,-0.2358858734,-1.753574014,1
111,993,-0.08169436455,-2.493876219,1
111,1025,0.41662696,-2.247373819,1
111,1057,1.08910048,-2.431460619,1
111,1089,1.060842514,-2.396322727,1
111,1121,-0.3594076037,-1.387366652,1
111,1153,-0.365840137,-0.4885625839,1
111,1185,-0.3479951024,-0.2154575586,1
111,1217,-0.3998082876,-0.5926154852,1
111,1249,-1.459593773,-0.3749147654,1
111,1281,-2.173226357,-1.199191093,1
111,1313,-2.201485634,-0.8592731953,1
111,1345,-2.345437288,-0.4942807555,1
111,1377,-2.57364583,-0.02399462461,1
111,1409,-3.213633537,0.9587574005,1
111,1441,-3.051702738,-0.6502904892,1
111,1473,-2.748478889,-1.148037672,1
111,1505,-2.613349438,-1.955659509,1
111,1537,-3.047321796,-2.71881485,1
111,1569,-2.906267881,-1.67860055,1
111,1601,-2.914403915,-0.5575840473,1
111,1633,-2.447344303,1.295688629,1
111,1665,-2.552798986,2.269936562,1
111,1697,-2.720003843,3.10104847,1
111,1729,-2.072720528,2.356647491,1
111,1761,-2.194279671,0.7049919367,1
111,1793,-3.274137259,-0.4711992741,1
111,1825,-2.780404091,-1.260432124,1
111,1857,-1.693180919,-0.9848691225,1
111,1889,-0.6207790971,-0.5384321809,1
111,1921,-0.3748597503,-0.4954054356,1
111,1953,-0.02909979224,-1.84748435,1
111,1985,-0.1018215567,-1.851634622,1
111,2017,-0.8940010071,-0.3905048668,1
143,33,1.189064622,-1.314628839,1
143,65,1.792461157,-4.336652756,1
143,97,1.484022498,-4.980259895,1
143,129,1.320034862,-5.144272804,1
143,161,1.546432495,-4.949799061,1
143,193,1.977676511,-4.604228973,1
143,225,2.524740219,-5.847995281,1
143,257,4.760512829,-4.412268162,1
143,289,0.2839254737,-4.976113319,1
143,321,0.8399473429,-3.918421507,1
143,353,2.087851524,-3.932229519,1
143,385,1.600277185,-4.092880249,1
143,417,1.411309004,-4.57967186,1
143,449,1.246002436,-4.979131699,1
143,481,1.360553861,-4.392111778,1
143,513,1.396597743,-2.677345753,1
143,545,1.971710563,-4.301451206,1
143,577,1.500713944,-4.535492897,1
143,609,1.039186478,-4.256882191,1
143,641,0.7019224167,-3.686812401,1
143,673,0.6304445267,-3.014792204,1
143,705,0.6406428814,-2.677035093,1
143,737,-0.151124686,-2.069382191,1
143,769,-0.3129548132,-3.350056648,1
143,801,-0.133618176,-2.92807889,1
143,833,-0.3758168519,-2.648442507,1
143,865,-0.5437691212,-2.48898077,1
143,897,-0.3077475131,-2.040943146,1
143,929,0.5286613703,-1.747757673,1
143,961,0.3126978278,-2.441678524,1
143,993,-0.1444776505,-3.107480764,1
143,1025,0.07085724175,-2.434374332,1
143,1057,0.8833788633,-2.519743443,1
143,1089,1.757249355,-2.707740068,1
143,1121,1.275142193,-3.052790642,1
143,1153,1.236467838,-0.9319475889,1
143,1185,0.4006592035,-0.2053979635,1
143,1217,0.1063264608,-0.6373314857,1
143,1249,-0.7843873501,-0.269438386,1
143,1281,-1.370797038,-0.6801579595,1
143,1313,-1.860065222,-0.8409290314,1
143,1345,-2.527829647,0.3275126219,1
143,1377,-2.948734045,1.352916956,1
143,1409,-3.596078873,0.8858613968,1
143,1441,-4.092288971,-0.8532194495,1
143,1473,-3.437353849,-1.2164042,1
143,1505,-2.766086578,-2.830154419,1
143,1537,-2.692102909,-3.111574173,1
143,1569,-2.811327934,-0.5875701904,1
143,1601,-2.416394472,0.4562654793,1
143,1633,-2.189631939,0.3635439873,1
143,1665,-2.983562469,0.7052776814,1
143,1697,-3.786935568,2.201478481,1
143,1729,-2.650606155,1.873787999,1
143,1761,-1.89146328,0.5309382677,1
143,1793,-1.670544028,-0.3345203996,1
143,1825,-2.422652245,-0.6951410174,1
143,1857,-1.982663393,-0.2003850937,1
143,1889,3.455904007,13.44240952,1
143,1921,-0.4762125909,-0.172264576,1
143,1953,0.4181833863,-1.159443736,1
143,1985,0.7309523821,-0.8995435238,1
143,2017,-0.5328638554,-0.6897767782,1
175,33,0.8293858767,-2.121043682,1
175,65,2.422419786,-6.095289707,1
175,97,3.548728943,-6.712694645,1
175,129,1.949102402,-6.010017872,1
175,161,1.567121625,-5.537621498,1
175,193,1.335332751,-5.190441132,1
