PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[10]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-14.60762691,10.50952244,1
47,65,-0.5156497955,-6.55899477,1
47,97,-0.3910257816,-5.285996437,1
47,129,-1.055168986,-4.897252083,1
47,161,-0.6463091373,-5.027184486,1
47,193,-0.138833046,-3.61387825,1
47,225,-0.5025235415,-2.219224453,1
47,257,-1.295854688,-2.335584164,1
47,289,-1.804955482,-3.267478943,1
47,321,-0.6469323039,-3.888183355,1
47,353,0.7747420073,-3.541572332,1
47,385,1.045231819,-5.186725616,1
47,417,0.1007509232,-4.544659615,1
47,449,-0.2186737061,-3.654286385,1
47,481,1.328924894,-3.336786747,1
47,513,2.531317711,-5.303010941,1
47,545,1.785847902,-4.324175358,1
47,577,3.255236864,-2.611398697,1
47,609,2.399503708,-2.264918089,1
47,641,2.178133965,-2.425334215,1
47,673,1.323246241,-2.363724947,1
47,705,0.5726850033,-1.303008556,1
47,737,1.679587364,-0.9862349033,1
47,769,2.730819225,-0.51305902,1
47,801,3.786030769,-2.968031168,1
47,833,4.629540443,-4.048444748,1
47,865,5.465239525,-4.277659416,1
47,897,6.066683769,-3.271408081,1
47,929,7.520140648,-4.103494644,1
47,961,7.90102005,-3.825703382,1
47,993,6.274018288,-2.884027481,1
47,1025,6.113556385,-2.171190262,1
47,1057,5.754235268,-2.079634905,1
47,1089,5.350025177,-2.973478079,1
47,1121,5.160256863,-4.733513355,1
47,1153,5.675273895,-5.380371571,1
47,1185,7.421815872,-5.667309761,1
47,1217,7.669201851,-5.73035717,1
47,1249,5.886475563,-4.662128925,1
47,1281,6.546109676,-3.403850555,1
47,1313,7.426270962,-2.275216103,1
47,1345,6.523496151,-4.349737644,1
47,1377,5.689365387,-4.784245014,1
47,1409,4.277226448,-4.525263786,1
47,1441,4.831774712,-3.970877647,1
47,1473,6.134858131,-3.731223583,1
47,1505,7.484765053,-5.627216816,1
47,1537,6.400066853,-6.002213478,1
47,1569,6.713219643,-7.694998741,1
47,1601,8.445800781,-7.775254726,1
47,1633,6.892948151,-7.501563072,1
47,1665,6.029377937,-6.906019211,1
47,1697,19.89305305,6.656896591,1
47,1729,4.792239189,-26.85198402,1
47,1761,5.959395885,-6.583250046,1
47,1793,5.985281467,-6.425801277,1
47,1825,5.173134327,-6.141862869,1
47,1857,3.927891254,-8.94701767,1
47,1889,3.613237858,-8.68641758,1
47,1921,3.528786659,-8.111504555,1
47,1953,3.185803413,-7.137553692,1
47,1985,4.042297363,-4.737097263,1
47,2017,1.7915802,-7.548838139,1
79,33,2.546079159,7.993386269,1
79,65,-13.03653336,15.46208191,1
79,97,0.05166327953,-6.375416756,1
79,129,-2.344944239,-7.365044594,1
79,161,-2.047439814,-5.553563595,1
79,193,-1.076693296,-4.041340351,1
79,225,-1.030195951,-2.927293301,1
79,257,-1.160938382,-2.926318884,1
79,289,-1.160294533,-3.399731636,1
79,321,-0.2483160496,-3.484997511,1
79,353,0.6812317371,-3.134772301,1
79,385,2.066064358,-5.008807182,1
79,417,3.258816719,-3.721196651,1
79,449,2.461083412,-3.677512646,1
79,481,2.055864811,-4.53975153,1
79,513,1.612018347,-4.528711319,1
79,545,1.09577322,-4.594291687,1
79,577,0.7757666111,-3.074426651,1
79,609,0.9883108139,-2.796563625,1
79,641,2.300551891,-3.409555197,1
79,673,2.598207951,-2.457641125,1
79,705,2.649305344,-2.638819933,1
79,737,3.50478363,-2.905544758,1
79,769,4.540435791,-3.286134958,1
79,801,5.285091877,-3.402501106,1
79,833,6.256443977,-3.215514421,1
79,865,6.584857941,-3.592130661,1
79,897,6.800287724,-3.807014942,1
79,929,8.015849113,-3.49725008,1
79,961,7.964021683,-2.940575123,1
79,993,7.710586071,-2.617718697,1
79,1025,6.951425076,-3.031111956,1
79,1057,6.869979858,-3.350563526,1
79,1089,7.235248089,-3.442782879,1
79,1121,7.200406075,-4.117058277,1
79,1153,7.441502094,-4.559523582,1
79,1185,8.109948158,-4.861859322,1
79,1217,7.836208344,-4.697518349,1
79,1249,7.701939106,-4.486311913,1
79,1281,6.823897362,-3.108614445,1
79,1313,5.389472961,-3.203493118,1
79,1345,5.849832535,-4.915034294,1
79,1377,4.485909462,-7.642605782,1
79,1409,4.642982483,-5.488491535,1
