PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,737,-2.232522011,-3.005869865,1
111,769,-2.269554615,-3.022220612,1
111,801,-2.159355164,-2.98674655,1
111,833,-1.735206842,-6.925821781,1
111,865,-2.70766139,-5.294930458,1
111,897,-2.587483883,-2.354462147,1
111,929,-2.689319849,-3.535092354,1
111,961,-3.235873938,-3.830474854,1
111,993,-3.535843611,-3.398941278,1
111,1025,-3.170324802,-2.792317152,1
111,1057,-1.542438745,-3.054623604,1
111,1089,-3.158325911,-2.898274422,1
111,1121,-3.904201269,-2.780170441,1
111,1153,-3.645695925,-2.914092541,1
111,1185,-2.837160349,-1.802059174,1
111,1217,-1.141939163,-0.8358776569,1
111,1249,-2.242147446,-1.045687795,1
111,1281,-2.941081285,-1.532260895,1
111,1313,-3.145942211,-1.933653712,1
111,1345,-2.641212225,-2.578452587,1
111,1377,-1.086654186,-2.093274117,1
111,1409,-1.958688498,-0.7701820135,1
111,1441,-2.2355721,-0.1450408697,1
111,1473,-2.274390221,0.489241749,1
111,1505,-2.900233984,-0.1130757332,1
111,1537,-5.835255146,-2.2940979,1
111,1569,-3.304318428,-4.551247597,1
111,1601,-3.40775919,-3.769395351,1
111,1633,-1.639268637,-2.866897821,1
111,1665,-0.4227004051,-1.309958696,1
111,1697,-0.1266129315,-0.9646329284,1
111,1729,0.2804841101,-0.773227334,1
111,1761,0.311547637,-0.0008487701416,1
111,1793,0.8178138733,0.7481071353,1
111,1825,1.321022987,1.135340214,1
111,1857,1.632400393,0.6640843749,1
111,1889,1.131530762,0.6458460093,1
111,1921,1.18111372,-0.3749015033,1
111,1953,0.8890792131,-1.004131556,1
111,1985,0.8352009654,-0.4732065201,1
111,2017,0.746084094,-0.05020564795,1
143,33,0.9744240046,-1.908282995,1
143,65,0.7757530212,-3.104841232,1
143,97,0.6085704565,-3.799771786,1
143,129,0.869134903,-3.848530769,1
143,161,1.432030082,-3.637167931,1
143,193,1.544680357,-3.24398756,1
143,225,1.335415006,-3.584220409,1
143,257,0.7385748625,-4.934200287,1
143,289,0.1905322075,-4.693705559,1
143,321,-0.07024073601,-0.7584102154,1
143,353,0.06530070305,-2.698472738,1
143,385,0.2957203984,-5.499780655,1
143,417,0.3485758901,-1.70774138,1
143,449,-0.5273703337,-0.3623749018,1
143,481,-1.901269674,-2.109143734,1
143,513,0.2807696164,-1.441939831,1
143,545,0.3622539043,-1.464919806,1
143,577,-0.4517751932,-2.16540575,1
143,609,-0.8985828757,-2.453957081,1
143,641,-1.041539431,-2.904760122,1
143,673,-1.223362684,-2.518539429,1
143,705,-1.911703825,-2.410587788,1
143,737,-2.198729992,-2.765391588,1
143,769,-1.941686153,-3.007320166,1
143,801,-2.510133505,-3.050189972,1
143,833,-2.819996357,-4.533917427,1
143,865,-2.15353179,-6.793578148,1
143,897,-2.918917894,-5.104533195,1
143,929,-3.15599227,-4.008216381,1
143,961,-3.408948898,-3.568025589,1
143,993,-3.331664085,-2.957921505,1
143,1025,-3.286877394,-2.362284422,1
143,1057,-3.221560001,-2.588324785,1
143,1089,-3.211102009,-2.711098433,1
143,1121,-3.710987568,-2.011492252,1
143,1153,-3.265064478,-1.275908589,1
143,1185,-1.923977613,-0.2473335862,1
143,1217,-1.864778519,-0.4899485111,1
143,1249,-2.667102337,-0.4486548901,1
143,1281,-2.770908356,-0.5339866281,1
143,1313,-2.902394295,-1.025362253,1
143,1345,-2.521650314,-1.739572406,1
143,1377,-1.494896412,-1.141389132,1
143,1409,-2.472164154,-0.1225262582,1
143,1441,-2.856293678,-0.00406652689,1
143,1473,-2.954478264,-0.5922899246,1
143,1505,-3.411081314,-0.6991512179,1
143,1537,-4.463392258,-2.386488914,1
143,1569,-3.988827705,-4.146344662,1
143,1601,-3.347215652,-3.626783609,1
143,1633,-2.167962313,-2.92653656,1
143,1665,-0.7043455243,-1.332237244,1
143,1697,-0.0416457355,-1.04106617,1
143,1729,0.2235519886,-0.6694900393,1
143,1761,0.6196730137,-0.09373003244,1
143,1793,0.7356230617,0.8403555155,1
143,1825,0.9969170094,0.4509181082,1
143,1857,2.596425056,-0.04140013456,1
143,1889,1.515794158,0.365590632,1
143,1921,1.19196403,-0.1719577163,1
143,1953,1.397894859,-0.5000493526,1
143,1985,0.8565057516,-0.1948329508,1
143,2017,0.5576834083,-0.1822000742,1
175,33,1.095004439,-1.761790514,1
175,65,0.1342430115,-4.59474659,1
175,97,0.433159709,-4.382883072,1
175,129,0.9185010195,-4.108149529,1
175,161,1.141342282,-4.413637638,1
175,193,1.212798238,-4.621926308,1
175,225,1.009635687,-3.735521317,1
175,257,0.7997931242,-4.081370354,1
175,289,0.7193734646,-4.896154404,1
175,321,0.7314031124,-4.202968121,1
175,353,0.7338231802,-5.678540707,1
175,385,0.7099752426,-6.178076744,1
