 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,6.036,3,3,67,1,1,0,255
2,7.494,2,1,104,2,1,0,255
3,7.455,3,3,92,1,2,0,255
4,8.547,2,1,132,2,2,0,255
5,8.282,3,3,114,1,3,0,255
6,9.241,2,1,155,2,3,0,255
7,8.863,3,3,97,1,4,0,255
8,9.656,2,1,162,2,4,0,255
9,9.202,3,3,104,1,5,0,255
10,10.117,2,1,168,2,5,0,255
11,9.375,3,3,112,1,6,0,255
12,10.174,2,1,183,2,6,0,255
13,9.481,3,3,87,1,7,0,255
14,10.306,2,1,163,2,7,0,255
15,9.743,3,3,88,1,8,0,255
16,10.422,2,1,158,2,8,0,255
17,9.766,3,3,87,1,9,0,255
18,10.519,2,1,182,2,9,0,255
19,9.875,3,3,89,1,10,0,255
20,10.843,2,1,158,2,10,0,255
21,10.008,3,3,94,1,11,0,255
22,10.858,2,1,151,2,11,0,255
23,10.053,3,3,103,1,12,0,255
24,10.824,2,1,127,2,12,0,255
25,10.152,3,3,89,1,13,0,255
26,10.853,2,1,128,2,13,0,255
27,10.223,3,3,92,1,14,0,255
28,10.929,2,1,132,2,14,0,255
29,10.295,3,3,107,1,15,0,255
30,10.918,2,1,110,2,15,0,255
31,10.475,3,3,102,1,16,0,255
32,11.041,2,1,107,2,16,0,255
33,10.473,3,3,98,1,17,0,255
34,11.166,2,1,120,2,17,0,255
35,10.483,3,3,94,1,18,0,255
36,11.217,2,1,110,2,18,0,255
37,10.576,3,3,101,1,19,0,255
38,11.147,2,1,123,2,19,0,255
39,10.772,3,3,89,1,20,0,255
40,11.181,2,1,119,2,20,0,255
41,10.827,3,3,94,1,21,0,255
42,11.301,2,1,123,2,21,0,255
43,10.874,3,3,92,1,22,0,255
44,11.370,2,1,113,2,22,0,255
45,10.867,3,3,91,1,23,0,255
46,11.488,2,1,133,2,23,0,255
47,10.939,3,3,102,1,24,0,255
48,11.351,2,1,124,2,24,0,255
49,10.932,3,3,86,1,25,0,255
50,11.446,2,1,116,2,25,0,255
51,11.046,3,3,100,1,26,0,255
52,11.580,2,1,117,2,26,0,255
53,11.130,3,3,89,1,27,0,255
54,11.597,2,1,119,2,27,0,255
55,11.076,3,3,90,1,28,0,255
56,11.514,2,1,130,2,28,0,255
57,11.252,3,3,91,1,29,0,255
58,11.684,2,1,113,2,29,0,255
59,11.302,3,3,84,1,30,0,255
60,11.683,2,1,122,2,30,0,255
61,11.277,3,3,102,1,31,0,255
62,11.693,2,1,111,2,31,0,255
63,11.395,3,3,99,1,32,0,255
64,11.793,2,1,121,2,32,0,255
65,11.455,3,3,103,1,33,0,255
66,11.831,2,1,112,2,33,0,255
67,11.457,3,3,89,1,34,0,255
68,11.831,2,1,124,2,34,0,255
69,11.633,3,3,99,1,35,0,255
70,11.853,2,1,125,2,35,0,255
71,11.572,3,3,91,1,36,0,255
72,11.992,2,1,130,2,36,0,255
73,11.672,3,3,96,1,37,0,255
74,11.961,2,1,131,2,37,0,255
75,11.760,3,3,91,1,38,0,255
76,12.086,2,1,139,2,38,0,255
77,11.715,3,3,102,1,39,0,255
78,12.063,2,1,121,2,39,0,255
79,11.882,3,3,101,1,40,0,255
80,12.118,2,1,127,2,40,0,255
81,11.785,3,3,109,1,41,0,255
82,12.065,2,1,143,2,41,0,255
83,12.038,3,3,100,1,42,0,255
84,12.239,2,1,132,2,42,0,255
85,11.974,3,3,93,1,43,0,255
86,12.213,2,1,128,2,43,0,255
87,12.008,3,3,94,1,44,0,255
88,12.288,2,1,123,2,44,0,255
89,12.080,3,3,104,1,45,0,255
90,12.263,2,1,132,2,45,0,255
91,12.214,3,3,113,1,46,0,255
92,12.343,2,1,142,2,46,0,255
93,12.291,3,3,112,1,47,0,255
94,12.392,2,1,128,2,47,0,255
95,12.263,3,3,102,1,48,0,255
96,12.390,2,1,157,2,48,0,255
97,12.379,3,3,105,1,49,0,255
98,12.450,2,1,143,2,49,0,255
99,12.313,3,3,106,1,50,0,255
100,12.506,2,1,131,2,50,0,255
101,12.370,3,3,108,1,51,0,255
102,12.495,2,1,142,2,51,0,255
103,12.446,3,3,126,1,52,0,255
104,12.454,2,1,133,2,52,0,255
105,12.466,3,3,115,1,53,0,255
106,12.603,2,1,156,2,53,0,255
107,12.496,3,3,117,1,54,0,255
108,12.568,2,1,154,2,54,0,255
109,12.626,3,3,125,1,55,0,255
110,12.631,2,1,158,2,55,0,255
111,12.755,3,3,119,1,56,0,255
112,12.638,2,1,150,2,56,0,255
113,12.724,3,3,124,1,57,0,255
114,12.697,2,1,147,2,57,0,255
115,12.794,3,3,115,1,58,0,255
116,12.805,2,1,147,2,58,0,255
117,12.791,3,3,120,1,59,0,255
118,12.847,2,1,142,2,59,0,255
119,12.825,3,3,113,1,60,0,255
120,12.636,2,1,153,2,60,0,255
121,12.769,3,3,106,1,61,0,255
122,12.716,2,1,162,2,61,0,255
123,12.944,3,3,113,1,62,0,255
124,12.826,2,1,150,2,62,0,255
125,12.818,3,3,110,1,63,0,255
126,12.740,2,1,145,2,63,0,255
127,13.025,3,3,120,1,64,0,255
128,13.019,2,1,152,2,64,0,255
129,13.028,3,3,136,1,65,0,255
130,12.874,2,1,153,2,65,0,255
131,13.043,3,3,107,1,66,0,255
132,12.907,2,1,157,2,66,0,255
133,13.047,3,3,112,1,67,0,255
134,13.024,2,1,156,2,67,0,255
135,13.097,3,3,105,1,68,0,255
136,13.022,2,1,147,2,68,0,255
137,13.023,3,3,108,1,69,0,255
138,12.980,2,1,150,2,69,0,255
139,13.109,3,3,119,1,70,0,255
140,12.985,2,1,171,2,70,0,255
141,13.231,3,3,109,1,71,0,255
142,13.013,2,1,161,2,71,0,255
143,13.112,3,3,110,1,72,0,255
144,13.005,2,1,157,2,72,0,255
145,13.302,3,3,117,1,73,0,255
146,13.088,2,1,157,2,73,0,255
147,13.228,3,3,109,1,74,0,255
148,13.106,2,1,156,2,74,0,255
149,13.266,3,3,111,1,75,0,255
150,13.217,2,1,155,2,75,0,255
151,13.309,3,3,118,1,76,0,255
152,13.239,2,1,154,2,76,0,255
153,13.356,3,3,104,1,77,0,255
154,13.297,2,1,145,2,77,0,255
155,13.362,3,3,107,1,78,0,255
156,13.327,2,1,161,2,78,0,255
157,13.529,3,3,112,1,79,0,255
158,13.319,2,1,142,2,79,0,255
159,13.463,3,3,109,1,80,0,255
160,13.357,2,1,172,2,80,0,255
161,13.557,3,3,123,1,81,0,255
162,13.227,2,1,144,2,81,0,255
163,13.507,3,3,112,1,82,0,255
164,13.354,2,1,160,2,82,0,255
165,13.541,3,3,113,1,83,0,255
166,13.367,2,1,150,2,83,0,255
167,13.607,3,3,109,1,84,0,255
168,13.343,2,1,156,2,84,0,255
169,13.679,3,3,106,1,85,0,255
170,13.341,2,1,164,2,85,0,255
171,13.590,3,3,115,1,86,0,255
172,13.424,2,1,156,2,86,0,255
173,13.662,3,3,110,1,87,0,255
174,13.566,2,1,162,2,87,0,255
175,13.684,3,3,103,1,88,0,255
176,13.419,2,1,169,2,88,0,255
177,13.638,3,3,115,1,89,0,255
178,13.391,2,1,165,2,89,0,255
179,13.754,3,3,103,1,90,0,255
180,13.468,2,1,194,2,90,0,255
181,13.847,3,3,116,1,91,0,255
182,13.496,2,1,170,2,91,0,255
183,13.764,3,3,114,1,92,0,255
184,13.425,2,1,169,2,92,0,255
185,13.751,3,3,107,1,93,0,255
