 ,Area,Mean,Min,Max,Ch,Frame
147,16340.532,8.921,3,136,1,74
148,16340.532,9.003,1,166,2,74
149,16340.532,8.911,3,119,1,75
150,16340.532,9.002,1,165,2,75
151,16340.532,8.889,3,119,1,76
152,16340.532,9.048,1,167,2,76
153,16340.532,8.896,3,136,1,77
154,16340.532,9.032,1,167,2,77
155,16340.532,8.847,3,137,1,78
156,16340.532,9.000,1,145,2,78
157,16340.532,8.890,3,115,1,79
158,16340.532,8.974,1,163,2,79
159,16340.532,8.856,3,117,1,80
160,16340.532,8.933,1,155,2,80
161,16340.532,8.916,3,129,1,81
162,16340.532,8.978,1,156,2,81
163,16340.532,8.856,3,124,1,82
164,16340.532,8.973,1,155,2,82
165,16340.532,8.868,3,119,1,83
166,16340.532,8.941,1,165,2,83
167,16340.532,8.837,3,115,1,84
168,16340.532,8.914,1,145,2,84
169,16340.532,8.898,3,124,1,85
170,16340.532,8.990,1,146,2,85
171,16340.532,8.859,3,126,1,86
172,16340.532,8.936,1,145,2,86
173,16340.532,8.863,3,117,1,87
174,16340.532,8.889,1,160,2,87
175,16340.532,8.799,3,118,1,88
176,16340.532,8.931,1,155,2,88
177,16340.532,8.815,3,122,1,89
178,16340.532,8.902,1,145,2,89
179,16340.532,8.783,3,114,1,90
180,16340.532,8.907,1,159,2,90
181,16340.532,8.798,3,116,1,91
182,16340.532,8.883,1,155,2,91
183,16340.532,8.815,3,118,1,92
184,16340.532,8.923,1,144,2,92
185,16340.532,8.784,3,128,1,93
186,16340.532,8.895,1,156,2,93
187,16340.532,8.804,3,122,1,94
188,16340.532,8.891,1,152,2,94
189,16340.532,8.786,3,140,1,95
190,16340.532,8.825,1,154,2,95
191,16340.532,8.750,3,131,1,96
192,16340.532,8.856,1,153,2,96
193,16340.532,8.765,3,126,1,97
194,16340.532,8.835,1,147,2,97
195,16340.532,8.798,3,127,1,98
196,16340.532,8.828,1,157,2,98
197,16340.532,8.742,3,134,1,99
198,16340.532,8.875,1,143,2,99
199,16340.532,8.726,3,137,1,100
200,16340.532,8.835,1,160,2,100
201,16340.532,8.728,3,133,1,101
202,16340.532,8.824,1,144,2,101
203,16340.532,8.761,3,125,1,102
204,16340.532,8.836,1,153,2,102
205,16340.532,8.713,3,130,1,103
206,16340.532,8.810,1,163,2,103
207,16340.532,8.708,3,118,1,104
