 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,7.332,3,3,86,1,1,0,255
2,6.759,2,1,96,2,1,0,255
3,9.227,3,3,99,1,2,0,255
4,8.302,2,1,144,2,2,0,255
5,9.874,3,3,106,1,3,0,255
6,8.907,2,1,191,2,3,0,255
7,10.147,3,3,88,1,4,0,255
8,9.166,2,1,238,2,4,0,255
9,10.383,3,3,93,1,5,0,255
10,9.403,2,1,231,2,5,0,255
11,10.554,3,3,92,1,6,0,255
12,9.472,2,1,223,2,6,0,255
13,10.702,3,3,90,1,7,0,255
14,9.626,2,1,253,2,7,0,255
15,10.900,3,3,97,1,8,0,255
16,9.718,2,1,237,2,8,0,255
17,10.873,3,3,87,1,9,0,255
18,9.905,2,1,239,2,9,0,255
19,11.217,3,3,90,1,10,0,255
20,9.991,2,1,225,2,10,0,255
21,11.286,3,3,100,1,11,0,255
22,9.977,2,1,255,2,11,0,255
23,11.436,3,3,100,1,12,0,255
24,9.913,2,1,236,2,12,0,255
25,11.494,3,3,95,1,13,0,255
26,9.978,2,1,219,2,13,0,255
27,11.636,3,3,86,1,14,0,255
28,10.197,2,1,252,2,14,0,255
29,11.799,3,3,103,1,15,0,255
30,10.249,2,1,214,2,15,0,255
31,11.838,3,3,85,1,16,0,255
32,10.304,2,1,247,2,16,0,255
33,11.911,3,3,86,1,17,0,255
34,10.409,2,1,205,2,17,0,255
35,11.934,3,3,103,1,18,0,255
36,10.327,2,1,243,2,18,0,255
37,12.099,3,3,102,1,19,0,255
38,10.414,2,1,211,2,19,0,255
39,12.054,3,3,95,1,20,0,255
40,10.426,2,1,218,2,20,0,255
41,12.125,3,3,103,1,21,0,255
42,10.443,2,1,202,2,21,0,255
43,12.245,3,3,112,1,22,0,255
44,10.505,2,1,197,2,22,0,255
45,12.351,3,3,105,1,23,0,255
46,10.606,2,1,205,2,23,0,255
47,12.415,3,3,99,1,24,0,255
48,10.670,2,1,197,2,24,0,255
49,12.508,3,3,125,1,25,0,255
50,10.675,2,1,199,2,25,0,255
51,12.377,3,3,101,1,26,0,255
52,10.657,2,1,195,2,26,0,255
53,12.593,3,3,117,1,27,0,255
54,10.769,2,1,224,2,27,0,255
55,12.691,3,3,105,1,28,0,255
56,10.705,2,1,193,2,28,0,255
57,12.679,3,3,114,1,29,0,255
58,10.797,2,1,194,2,29,0,255
59,12.655,3,3,99,1,30,0,255
60,10.780,2,1,202,2,30,0,255
61,12.678,3,3,106,1,31,0,255
62,10.935,2,1,208,2,31,0,255
63,12.777,3,3,104,1,32,0,255
64,10.826,2,1,200,2,32,0,255
65,12.780,3,3,90,1,33,0,255
66,10.919,2,1,218,2,33,0,255
67,12.859,3,3,98,1,34,0,255
68,10.999,2,1,210,2,34,0,255
69,12.970,3,3,113,1,35,0,255
70,10.943,2,1,203,2,35,0,255
71,13.000,3,3,104,1,36,0,255
72,11.021,2,1,192,2,36,0,255
73,12.998,3,3,113,1,37,0,255
74,10.840,2,1,206,2,37,0,255
75,13.063,3,3,110,1,38,0,255
76,11.078,2,1,203,2,38,0,255
77,13.044,3,3,100,1,39,0,255
78,11.032,2,1,238,2,39,0,255
79,13.090,3,3,117,1,40,0,255
80,11.151,2,1,212,2,40,0,255
81,13.142,3,3,108,1,41,0,255
82,11.158,2,1,246,2,41,0,255
83,13.183,3,3,115,1,42,0,255
84,11.147,2,1,216,2,42,0,255
85,13.249,3,3,104,1,43,0,255
86,11.297,2,1,193,2,43,0,255
87,13.322,3,3,107,1,44,0,255
88,11.253,2,1,216,2,44,0,255
89,13.311,3,3,101,1,45,0,255
90,11.268,2,1,211,2,45,0,255
91,13.250,3,3,112,1,46,0,255
92,11.237,2,1,216,2,46,0,255
93,13.496,3,3,100,1,47,0,255
94,11.236,2,1,214,2,47,0,255
95,13.452,3,3,105,1,48,0,255
96,11.335,2,1,194,2,48,0,255
97,13.465,3,3,100,1,49,0,255
98,11.429,2,1,220,2,49,0,255
99,13.564,3,3,110,1,50,0,255
