 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,5.553,3,3,64,1,1,0,255
2,7.864,2,1,66,2,1,0,255
3,7.653,3,3,90,1,2,0,255
4,10.080,2,1,83,2,2,0,255
5,8.263,3,3,93,1,3,0,255
6,10.745,2,1,120,2,3,0,255
7,8.591,3,3,81,1,4,0,255
8,11.224,2,1,101,2,4,0,255
9,8.877,3,3,96,1,5,0,255
10,11.236,2,1,95,2,5,0,255
11,8.974,3,3,88,1,6,0,255
12,11.667,2,1,94,2,6,0,255
13,9.098,3,3,83,1,7,0,255
14,11.712,2,1,115,2,7,0,255
15,9.115,3,3,82,1,8,0,255
16,11.748,2,1,84,2,8,0,255
17,9.286,3,3,80,1,9,0,255
18,11.803,2,1,107,2,9,0,255
19,9.292,3,3,77,1,10,0,255
20,11.900,2,1,117,2,10,0,255
21,9.453,3,3,80,1,11,0,255
22,11.874,2,1,90,2,11,0,255
23,9.413,3,3,80,1,12,0,255
24,12.022,2,1,97,2,12,0,255
25,9.611,3,3,87,1,13,0,255
26,12.103,1,1,97,2,13,0,255
27,9.660,3,3,93,1,14,0,255
28,12.284,2,1,97,2,14,0,255
29,9.714,3,3,101,1,15,0,255
30,12.211,2,1,111,2,15,0,255
31,9.717,3,3,96,1,16,0,255
32,12.391,2,1,94,2,16,0,255
33,9.882,3,3,82,1,17,0,255
34,12.378,2,1,90,2,17,0,255
35,9.850,3,3,94,1,18,0,255
36,12.339,2,1,97,2,18,0,255
37,9.916,3,3,96,1,19,0,255
38,12.542,2,1,99,2,19,0,255
39,9.957,3,3,85,1,20,0,255
40,12.414,2,1,101,2,20,0,255
41,10.039,3,3,95,1,21,0,255
42,12.682,1,1,120,2,21,0,255
43,10.109,3,3,83,1,22,0,255
44,12.523,1,1,109,2,22,0,255
45,10.178,3,3,85,1,23,0,255
46,12.720,2,1,110,2,23,0,255
47,10.081,3,3,101,1,24,0,255
48,12.632,2,1,91,2,24,0,255
49,10.169,3,3,90,1,25,0,255
50,12.762,2,1,111,2,25,0,255
51,10.252,3,3,93,1,26,0,255
52,12.898,2,1,113,2,26,0,255
53,10.214,3,3,84,1,27,0,255
54,12.905,2,1,110,2,27,0,255
55,10.287,3,3,92,1,28,0,255
56,12.759,2,1,115,2,28,0,255
57,10.343,3,3,87,1,29,0,255
58,12.914,2,1,90,2,29,0,255
59,10.393,3,3,89,1,30,0,255
60,13.033,2,1,115,2,30,0,255
61,10.474,3,3,88,1,31,0,255
62,13.084,2,1,111,2,31,0,255
63,10.536,3,3,97,1,32,0,255
64,12.949,2,1,113,2,32,0,255
65,10.466,3,3,85,1,33,0,255
66,13.020,2,1,106,2,33,0,255
67,10.575,3,3,88,1,34,0,255
68,13.239,2,1,103,2,34,0,255
69,10.483,3,3,96,1,35,0,255
70,13.214,2,1,109,2,35,0,255
71,10.557,3,3,93,1,36,0,255
72,13.086,2,1,105,2,36,0,255
73,10.515,3,3,84,1,37,0,255
74,13.252,8,1,117,2,37,0,255
75,10.585,3,3,88,1,38,0,255
76,13.185,2,1,127,2,38,0,255
77,10.645,3,3,91,1,39,0,255
78,13.166,2,1,122,2,39,0,255
79,10.673,3,3,83,1,40,0,255
80,13.189,2,1,96,2,40,0,255
81,10.760,3,3,98,1,41,0,255
82,13.324,2,1,94,2,41,0,255
83,10.729,3,3,97,1,42,0,255
84,13.289,2,1,120,2,42,0,255
85,10.727,3,3,95,1,43,0,255
86,13.455,2,1,120,2,43,0,255
87,10.867,3,3,96,1,44,0,255
88,13.442,2,1,134,2,44,0,255
89,10.906,3,3,98,1,45,0,255
90,13.394,2,1,115,2,45,0,255
91,10.859,3,3,93,1,46,0,255
92,13.509,2,1,102,2,46,0,255
93,10.904,3,3,98,1,47,0,255
94,13.586,2,1,131,2,47,0,255
95,10.915,3,3,89,1,48,0,255
96,13.697,2,1,124,2,48,0,255
97,10.962,3,3,93,1,49,0,255
98,13.618,2,1,108,2,49,0,255
99,11.101,3,3,91,1,50,0,255
100,13.669,2,1,138,2,50,0,255
101,11.037,3,3,99,1,51,0,255
102,13.648,2,1,145,2,51,0,255
103,11.113,3,3,99,1,52,0,255
104,13.661,2,1,153,2,52,0,255
105,11.109,3,3,89,1,53,0,255
106,13.740,2,1,99,2,53,0,255
107,11.202,3,3,96,1,54,0,255
108,13.725,2,1,112,2,54,0,255
109,11.225,3,3,98,1,55,0,255
110,13.823,2,1,150,2,55,0,255
111,11.176,3,3,90,1,56,0,255
112,13.872,2,1,140,2,56,0,255
113,11.333,3,3,96,1,57,0,255
114,14.035,2,1,112,2,57,0,255
115,11.299,3,3,102,1,58,0,255
116,14.015,2,1,139,2,58,0,255
117,11.360,3,3,98,1,59,0,255
118,13.928,2,1,113,2,59,0,255
119,11.398,3,3,96,1,60,0,255
120,14.057,2,1,124,2,60,0,255
121,11.425,3,3,98,1,61,0,255
122,13.956,2,1,127,2,61,0,255
