 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,6998.665,175.972,124,405,89.050,104.096,435.848,123.603,72.094,47.080,0.463,100,1.714,0.583,0.731
2,5180.742,170.776,124,362,85.307,106.348,362.377,103.512,63.725,51.266,0.496,100,1.624,0.616,0.753
3,4174.015,168.872,124,362,84.535,107.356,319.754,92.790,57.275,56.102,0.513,100,1.620,0.617,0.765
4,3559.372,167.698,124,362,83.429,107.919,291.502,86.309,52.508,56.309,0.526,100,1.644,0.608,0.768
5,2934.945,166.574,124,362,83.067,107.123,272.022,79.388,47.071,54.449,0.498,100,1.687,0.593,0.733
6,2446.292,165.353,126,362,81.774,107.643,248.261,71.305,43.681,53.406,0.499,100,1.632,0.613,0.736
7,2130.154,164.971,126,362,81.317,107.143,227.135,65.406,41.467,52.375,0.519,100,1.577,0.634,0.749
8,1796.878,164.134,126,362,80.334,107.732,202.117,59.556,38.415,53.978,0.553,100,1.550,0.645,0.776
9,1491.896,162.682,126,322,79.057,107.945,180.526,54.694,34.731,60.278,0.575,100,1.575,0.635,0.801
10,1072.327,159.728,126,283,77.260,108.690,140.244,45.095,30.277,55.647,0.685,100,1.489,0.671,0.867
11,798.597,158.590,126,283,76.397,110.813,118.841,42.696,23.815,56.295,0.711,100,1.793,0.558,0.890
12,567.907,157.818,126,283,74.146,111.721,99.104,35.625,20.297,62.501,0.727,100,1.755,0.570,0.912
13,327.998,156.358,128,281,73.113,113.306,78.539,27.697,15.078,59.558,0.668,100,1.837,0.544,0.879
14,243.570,155.688,130,281,72.253,112.765,63.960,24.387,12.717,56.926,0.748,100,1.918,0.521,0.959
15,154.497,156.620,131,271,70.021,114.642,48.976,18.410,10.685,59.805,0.809,100,1.723,0.580,0.983
