PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
79,2017,-0.01367264986,-0.8363835216,1
111,33,-1.441334248,0.03081533313,1
111,65,-1.476757407,-0.2944331467,1
111,97,-1.907223463,-0.4869267941,1
111,129,-2.325100183,-0.3004956543,1
111,161,-2.335604906,-0.4527151585,1
111,193,-2.531147003,-0.6608743668,1
111,225,-2.868361235,-0.6523548365,1
111,257,-3.103507996,-0.8224250674,1
111,289,-3.536809206,-0.9833192229,1
111,321,-3.379834652,-0.7465250492,1
111,353,-2.815702677,-0.5412148833,1
111,385,-2.338630676,-0.5890368819,1
111,417,-1.917825937,-0.6631374955,1
111,449,-1.500059247,-1.047723293,1
111,481,-0.9114830494,-0.5067312717,1
111,513,0.05649495125,-0.314248085,1
111,545,-0.2370647192,-0.9767892361,1
111,577,-0.6224136949,-1.190913916,1
111,609,-0.867200911,-1.519885182,1
111,641,-1.344626307,-1.823326588,1
111,673,-1.24711287,-1.721410155,1
111,705,-2.266263008,-4.351645947,1
111,737,-1.340650201,-8.226878166,1
111,769,-0.4481980801,-0.5535796881,1
111,801,-0.5149829388,-0.8638498783,1
111,833,-0.3828777075,-0.5924197435,1
111,865,-0.9015021324,-0.4456221461,1
111,897,-1.021069169,-0.02253058553,1
111,929,-0.9901008606,0.1335476488,1
111,961,-0.8763336539,0.1277310103,1
111,993,-0.741445899,0.1445572674,1
111,1025,-0.8484631777,0.1054771766,1
111,1057,-0.4345462918,0.22399351,1
111,1089,-0.09634593129,-0.205281347,1
111,1121,-0.02960878611,-0.08501962572,1
111,1153,0.1139926314,0.3011855185,1
111,1185,0.7373254895,-0.307900548,1
111,1217,2.320178509,-0.1737470329,1
111,1249,2.203886986,-0.1961936355,1
111,1281,2.371045113,-1.100349426,1
111,1313,2.818673849,-1.735123754,1
111,1345,1.715177894,0.1808900833,1
111,1377,1.527376652,-0.9561960101,1
111,1409,2.221610546,-1.116483688,1
111,1441,3.032898426,-0.9548822045,1
111,1473,3.403275251,-1.556491256,1
111,1505,3.507688046,-0.8389248848,1
111,1537,2.970635414,-0.7792613506,1
111,1569,2.647676468,-1.213495851,1
111,1601,2.221706152,-1.193857551,1
111,1633,2.085265398,-0.5798066854,1
111,1665,1.894820213,-1.10152173,1
111,1697,0.6081366539,-0.925583601,1
111,1729,0.8066573143,0.1609190106,1
111,1761,1.271042943,0.7808229923,1
111,1793,1.14727509,0.9214314818,1
111,1825,1.04402256,1.72372973,1
111,1857,0.7147736549,2.716166973,1
111,1889,0.1404381692,0.892863512,1
111,1921,-0.485096097,-0.5274580121,1
111,1953,-0.4671362042,-0.2442514896,1
111,1985,-0.2304926068,-0.2308165431,1
111,2017,0.2209268212,0.2173694372,1
143,33,-1.284062505,0.1024763733,1
143,65,-1.992926478,-1.011581182,1
143,97,-2.175043344,-0.556145668,1
143,129,-2.642577887,-0.2797221541,1
143,161,-2.568939447,-0.4298201799,1
143,193,-2.568047285,-0.8924950957,1
143,225,-2.971039772,-0.6623191237,1
143,257,-2.987526655,-0.7347155213,1
143,289,-3.287885189,-0.9651184082,1
143,321,-3.069161177,-0.9357936978,1
143,353,-2.607613564,-0.8908703327,1
143,385,-2.312826395,-0.9431176186,1
143,417,-2.180361032,-0.9697930813,1
143,449,-1.892715096,-1.270964503,1
143,481,-1.395684481,-1.541159034,1
143,513,-0.6962072849,-0.7866435051,1
143,545,-0.2380899191,-1.270458937,1
143,577,0.2672264576,-1.500870228,1
143,609,-0.1845210195,-1.190430045,1
143,641,-1.00517571,-1.463220358,1
143,673,-0.8398305178,-1.39144671,1
143,705,-2.071266651,-4.061518192,1
