 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,758.282,120.695,112.264,12.198,113.917,38.389,25.150,4.428,1.891
2,1523.614,119.238,149.714,23.865,160.235,51.398,37.743,134.672,1.480
3,730.740,121.367,178.464,12.657,112.055,35.649,26.099,171.865,4.983
4,534.119,120.016,211.593,11.681,91.888,30.249,22.482,168.785,1.552
5,909.590,121.065,191.306,34.499,129.071,43.423,26.670,30.159,5.620
6,846.109,118.738,125.004,42.513,118.705,40.052,26.898,118.388,1.264
7,566.969,122.005,216.949,39.660,98.740,31.658,22.802,82.477,8.118
8,877.480,119.272,240.732,45.372,125.824,38.481,29.034,120.965,3.292
9,1177.296,119.741,52.112,65.031,145.757,41.160,36.418,51.149,2.319
10,1454.245,121.230,154.366,63.391,159.177,48.259,38.368,11.459,5.500
11,2562.331,118.198,201.029,77.725,216.232,69.101,47.213,116.579,1.118
12,1418.385,119.020,300.393,77.158,151.906,44.566,40.522,73.283,2.217
13,774.548,119.651,268.691,68.167,116.688,37.513,26.289,136.494,3.644
14,536.601,120.134,232.976,70.364,99.522,27.758,24.613,65.683,4.385
15,835.626,119.762,118.857,80.433,121.970,33.506,31.754,137.365,3.242
16,801.456,119.038,25.351,85.248,120.457,37.584,27.151,50.488,0.593
17,1925.095,119.295,252.079,97.300,180.897,50.671,48.373,167.670,2.945
18,1120.945,120.745,155.138,95.880,135.525,40.901,34.895,152.205,4.963
19,1390.896,119.693,42.011,108.713,163.920,48.469,36.538,6.913,2.485
20,955.906,119.966,189.619,111.463,142.617,51.404,23.677,131.170,3.834
21,1204.257,121.629,278.919,125.707,167.613,48.657,31.512,93.616,4.392
22,560.710,118.533,300.133,108.236,96.347,29.792,23.964,140.835,1.606
23,1169.401,120.136,225.926,126.090,140.316,42.811,34.779,27.624,3.963
24,2127.921,118.170,163.557,136.764,217.231,70.246,38.569,16.900,0.784
25,684.186,118.835,68.987,128.126,103.507,30.074,28.966,138.873,1.907
26,756.592,119.035,32.482,138.727,110.713,33.430,28.816,56.852,2.185
27,805.047,121.494,237.316,149.893,127.945,37.400,27.407,50.066,4.609
28,986.458,118.134,261.469,153.405,132.833,43.618,28.795,85.498,0.940
29,856.751,120.098,53.027,153.068,136.328,39.621,27.532,61.269,3.319
30,529.208,117.759,306.185,166.103,109.080,36.482,18.470,91.092,0.249
31,608.136,118.529,302.324,138.403,97.124,30.327,25.532,78.274,1.828
32,372.407,118.082,289.251,48.844,81.348,24.014,19.745,56.224,1.106
33,934.464,119.152,269.491,36.480,136.011,37.218,31.968,72.954,2.727
34,1177.613,119.570,300.577,25.089,170.033,49.190,30.482,137.759,2.666
35,1820.817,117.651,172.909,165.413,175.865,63.931,36.263,13.583,0.396
36,1798.371,118.451,79.871,167.999,169.743,54.410,42.083,38.697,1.004
37,727.334,118.776,31.887,174.194,111.196,33.163,27.925,170.812,2.157
38,628.944,117.580,115.702,165.439,97.449,29.307,27.324,43.337,0.021
39,714.976,118.064,122.265,133.695,112.275,38.293,23.773,116.807,0.270
40,1082.207,118.524,97.436,132.155,180.626,50.707,27.174,125.734,0.788
41,944.340,119.538,129.191,110.462,140.456,42.579,28.239,145.884,2.858
42,311.383,121.838,101.582,105.470,83.386,21.029,18.853,75.861,6.165
43,763.458,119.554,70.642,94.692,126.377,42.841,22.690,121.873,2.591
44,966.680,119.745,89.166,82.121,131.051,41.437,29.703,119.685,2.065
45,839.243,119.173,102.832,53.209,120.263,35.491,30.107,126.790,1.403
46,1278.327,118.686,82.539,38.403,181.087,52.227,31.164,51.528,0.322
47,742.412,117.894,285.838,169.252,110.850,33.247,28.432,101.223,0.388
48,1078.643,119.221,32.179,43.995,141.064,45.763,30.011,47.356,0.318
49,920.469,121.013,65.161,17.793,129.133,43.646,26.852,57.726,3.339
50,632.720,121.716,41.199,12.875,101.175,30.180,26.694,45.977,4.950
51,1134.439,120.397,245.412,14.529,152.445,48.200,29.967,177.868,3.471
