 ,Area,Mean,Min,Max,MinThr,MaxThr
1,577.088,0.246,0,35,0,255
2,436.771,0.366,0,41,0,255
3,361.707,0.294,0,35,0,255
4,354.947,0.290,0,22,0,255
5,447.709,0.282,0,27,0,255
6,645.956,0.372,0,40,0,255
7,553.006,0.307,0,46,0,255
8,428.087,0.163,0,25,0,255
9,321.100,0.435,0,35,0,255
10,784.536,0.188,0,42,0,255
11,617.367,0.286,0,46,0,255
12,744.774,0.328,0,29,0,255
13,453.061,0.436,0,49,0,255
14,899.972,0.124,0,12,0,255
15,617.273,0.233,0,28,0,255
16,954.709,0.169,0,24,0,255
17,450.479,0.356,0,48,0,255
18,708.580,0.634,0,70,0,255
19,762.237,0.231,0,27,0,255
20,763.082,0.338,0,78,0,255
