 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,5110.849,289.972,104.880,131.386,340.272,102.252,63.640,48.306,0.555,2.384,100,1.607,0.622,0.781
2,3502.817,295.104,108.200,133.305,261.849,88.487,50.402,46.265,0.642,2.274,100,1.756,0.570,0.841
3,2446.855,302.441,109.660,135.057,213.948,72.605,42.910,48.113,0.672,2.068,100,1.692,0.591,0.857
4,1650.722,318.484,111.242,135.044,179.422,59.608,35.260,52.577,0.644,1.868,100,1.691,0.592,0.842
5,1250.684,334.653,111.760,134.799,154.478,52.304,30.445,52.391,0.659,1.700,100,1.718,0.582,0.849
6,979.945,348.026,112.710,133.778,135.376,45.908,27.178,56.006,0.672,1.603,100,1.689,0.592,0.866
7,866.026,352.021,113.283,132.822,128.028,43.786,25.183,56.281,0.664,1.592,100,1.739,0.575,0.857
8,657.473,374.541,114.014,133.077,115.011,38.621,21.675,54.173,0.625,1.424,100,1.782,0.561,0.844
9,522.931,398.483,115.338,132.642,105.506,33.896,19.643,56.296,0.590,1.245,100,1.726,0.580,0.784
10,447.442,409.955,116.531,131.460,99.989,30.470,18.697,56.213,0.562,1.177,100,1.630,0.614,0.767
11,328.772,421.457,116.440,132.026,80.551,27.311,15.328,54.577,0.637,1.065,100,1.782,0.561,0.849
12,271.970,410.692,116.770,132.048,73.239,24.169,14.327,58.907,0.637,1.156,100,1.687,0.593,0.822
13,254.374,397.660,117.419,132.345,68.716,23.341,13.876,59.091,0.677,1.236,100,1.682,0.594,0.864
14,213.022,361.996,117.550,132.670,61.470,21.852,12.412,66.020,0.708,1.489,100,1.761,0.568,0.891
15,190.393,334.049,118.087,132.455,60.174,21.040,11.521,67.382,0.661,1.833,100,1.826,0.548,0.862
