,Unnamed: 0,Time (hpf),2503_NetworkDensity,2503_NetworkDensity_SEM,2503_Area,2503_Area_SEM,2503_Intensity,2503_Intensity_SEM,1801_NetworkDensity,1801_NetworkDensity_SEM,1801_Area,1801_Area_SEM,1801_Intensity,1801_Intensity_SEM,2410_NetworkDensity,2410_NetworkDensity_SEM,2410_Area,2410_Area_SEM,2410_Intensity,2410_Intensity_SEM,Epiboly
0,0,4.0,1.2994,,710.2322,,142.0468,,,,,,,,3.1295454545454544,,728.4806363636363,,118.44706818181818,,30.0
1,1,4.5,19.05235869565217,5.234858695652171,614.9208817934782,11.007055706521724,177.40475000000004,3.940250000000006,25.22460941043084,12.947446145124715,690.1055141723355,45.08220804988655,120.80314814814815,2.597148148148143,10.380744186046512,,745.3448837209303,,120.9253488372093,,37.5
2,2,5.0,27.175666666666668,,599.8915,,196.79725,,22.692107340372047,1.3248438727768843,647.5962967571644,5.686498723845717,119.60602740070388,0.3692534857438722,32.03071052631578,,667.6470526315791,,133.59323684210526,,45.0
3,3,5.5,46.653930555555554,2.0300694444444427,556.5703913398693,7.028196895424799,232.8401315359477,12.422603758169926,29.224897129866445,1.883028308537282,701.3946930946291,4.850111253196929,121.20445424836602,0.4901873944969073,47.00210714285715,,647.3934285714286,,142.50435714285717,,52.5
4,4,6.0,57.509538461538455,,610.2105384615386,,258.050923076923,,41.46009895299145,4.961897109526108,769.6877922649574,28.51209533292742,124.78227245726498,1.6342414095840336,34.63775510204082,,678.8275918367348,,141.24163265306123,,60.0
5,5,6.5,61.10757652439024,1.6943015243902442,696.4391060975611,19.89440609756099,275.93794908536586,3.575124085365871,56.75918094007629,2.071345059845581,907.3805053279192,27.74540446075266,129.11917397563676,0.5475781668049237,48.517229166666674,,701.8616666666667,,149.39570833333337,,68.0
6,6,7.0,68.50379069767442,,730.9863488372093,,287.8829069767442,,66.30736041784836,1.7642649379498991,952.5907660343272,14.687646397873907,131.8500216959728,0.5284852150405679,56.990100000000005,,762.8624199999999,,152.73066,,76.0
7,7,7.5,80.05050233100233,3.835138694638701,766.4511631701632,23.88862470862466,305.39114452214454,2.2107342657342883,76.15205764966741,2.596033259423507,1008.669761904762,1.5422380952380763,135.07852937915743,0.3083342572062122,66.22410416666666,,807.18025,,156.99352083333335,,84.0
8,8,8.0,84.73242424242423,,842.9048181818182,,323.3044545454546,,,,,,,,78.05959574468085,,831.3628936170213,,164.9842340425532,,92.0
9,9,8.5,90.4049351851852,5.436435185185182,967.3955023148148,41.04446064814812,337.97519444444447,4.540638888888906,,,,,,,95.06371739130438,,915.6654347826088,,168.80189130434783,,100.0
10,10,9.0,,,,,,,,,,,,,,,,,,,0.0
11,11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
