 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,851.489,255.252,193.460,38.319,121.774,39.895,27.175,158.309,0.722,0.311,1.468,0.681,0.964
2,598.757,257.887,98.460,43.870,98.327,30.094,25.333,102.120,0.778,0.192,1.188,0.842,0.959
3,1184.976,241.510,156.819,49.734,140.233,47.123,32.017,31.897,0.757,0.049,1.472,0.679,0.969
4,748.303,265.737,224.560,46.430,109.220,33.289,28.621,142.790,0.788,0.477,1.163,0.860,0.981
5,722.995,234.877,254.125,48.366,115.635,37.136,24.788,160.453,0.679,0.127,1.498,0.667,0.963
6,726.446,212.346,121.300,57.520,110.180,35.251,26.239,16.075,0.752,0.048,1.343,0.744,0.967
7,1014.724,265.605,197.074,66.812,134.279,43.848,29.465,137.547,0.707,0.317,1.488,0.672,0.946
8,1084.435,262.272,268.733,72.955,142.865,43.960,31.409,167.856,0.668,0.520,1.400,0.714,0.876
9,895.088,226.298,170.377,76.781,129.525,36.321,31.377,159.374,0.670,0.000,1.158,0.864,0.959
10,917.059,210.238,230.756,74.619,121.459,34.591,33.755,123.594,0.781,0.025,1.025,0.976,0.956
11,693.661,293.674,122.547,81.018,107.617,32.999,26.764,15.749,0.753,5.622,1.233,0.811,0.974
12,586.219,252.984,146.508,85.878,102.746,31.836,23.445,102.504,0.698,0.039,1.358,0.736,0.971
13,648.337,264.827,63.339,80.616,99.582,29.597,27.891,114.413,0.822,3.034,1.061,0.942,0.972
14,836.535,220.816,298.976,98.424,114.374,35.320,30.156,149.665,0.804,0.000,1.171,0.854,0.973
15,833.199,212.814,257.998,95.850,117.596,39.960,26.548,176.013,0.757,0.000,1.505,0.664,0.985
16,487.403,208.456,47.713,100.712,94.490,30.417,20.402,86.550,0.686,0.071,1.491,0.671,0.942
17,680.202,259.180,181.340,100.945,108.885,32.552,26.605,26.158,0.721,0.034,1.224,0.817,0.974
18,498.562,271.747,78.625,103.046,99.204,32.327,19.636,105.151,0.637,4.569,1.646,0.607,0.930
19,728.287,188.957,26.835,105.356,115.121,37.097,24.996,73.360,0.691,0.000,1.484,0.674,0.905
20,580.467,282.147,97.275,102.396,99.874,33.757,21.894,77.771,0.731,5.252,1.542,0.649,0.972
21,790.751,217.044,124.717,106.330,122.835,38.860,25.909,162.415,0.659,0.015,1.500,0.667,0.913
22,1019.095,248.715,242.674,118.901,137.117,50.619,25.634,120.763,0.681,0.576,1.975,0.506,0.952
23,701.714,191.450,155.234,111.911,106.967,31.094,28.734,38.613,0.771,0.000,1.082,0.924,0.973
24,766.363,275.905,65.266,119.111,118.453,36.853,26.477,117.808,0.686,1.576,1.392,0.718,0.922
25,708.961,234.063,273.127,116.244,109.558,34.208,26.388,43.919,0.742,0.032,1.296,0.771,0.969
26,643.621,229.967,191.255,124.501,107.954,29.969,27.344,143.868,0.694,0.000,1.096,0.912,0.931
27,853.215,242.158,294.834,133.114,143.106,36.939,29.409,89.638,0.524,0.000,1.256,0.796,0.810
28,1327.044,224.283,217.852,138.301,152.602,48.718,34.682,77.646,0.716,0.000,1.405,0.712,0.947
29,711.032,248.047,123.904,129.688,115.175,35.654,25.392,148.944,0.674,0.000,1.404,0.712,0.958
30,831.818,261.356,96.332,133.889,118.705,35.529,29.810,84.271,0.742,0.401,1.192,0.839,0.969
31,511.906,290.408,36.796,128.122,90.899,27.779,23.463,26.042,0.779,1.798,1.184,0.845,0.974
32,436.213,205.677,171.252,132.943,87.987,26.540,20.927,95.696,0.708,0.000,1.268,0.789,0.973
33,627.861,221.907,151.133,139.430,104.719,32.183,24.840,120.224,0.719,0.000,1.296,0.772,0.950
34,276.544,202.707,54.036,137.134,71.214,21.140,16.656,177.349,0.685,0.042,1.269,0.788,0.972
35,575.405,216.533,337.477,145.916,116.759,42.368,17.292,103.063,0.530,0.000,2.450,0.408,0.838
36,863.453,205.539,270.673,147.989,116.012,37.433,29.370,128.141,0.806,0.000,1.275,0.785,0.978
37,394.340,197.127,74.433,145.184,87.857,25.746,19.502,38.794,0.642,0.029,1.320,0.757,0.953
38,682.618,201.955,243.280,154.637,103.274,30.088,28.886,5.146,0.804,0.000,1.042,0.960,0.981
39,822.270,227.241,182.857,153.590,114.244,38.599,27.124,16.986,0.792,0.000,1.423,0.703,0.973
40,1110.893,196.336,115.936,158.302,134.424,43.123,32.800,19.051,0.773,0.000,1.315,0.761,0.976
41,999.309,229.280,148.317,167.613,127.442,38.564,32.994,2.967,0.773,0.000,1.169,0.856,0.976
42,522.029,188.684,76.461,162.061,95.634,35.536,18.704,16.749,0.717,0.000,1.900,0.526,0.961
43,259.174,223.076,46.888,166.107,72.973,29.729,11.100,2.044,0.612,0.488,2.678,0.373,0.956
44,906.131,228.859,306.854,166.175,128.662,45.427,25.397,157.469,0.688,0.013,1.789,0.559,0.940
45,511.561,246.345,13.049,168.855,96.162,28.335,22.987,7.292,0.695,0.067,1.233,0.811,0.954
46,9.548,250.711,99.999,61.007,18.165,6.694,1.816,168.440,0.364,0.000,3.685,0.271,0.810
