 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,807.661,223.176,195.467,43.194,121.890,37.547,27.388,109.764,0.683,0.000,1.371,0.729,0.905
2,786.725,188.751,222.006,48.308,110.407,35.103,28.536,113.829,0.811,0.000,1.230,0.813,0.981
3,820.200,199.573,168.241,47.750,125.872,40.745,25.630,167.297,0.651,0.000,1.590,0.629,0.975
4,1232.025,236.108,117.276,59.047,170.040,51.008,30.753,47.355,0.535,0.149,1.659,0.603,0.808
5,1113.539,217.288,159.456,67.010,159.488,54.562,25.985,156.895,0.550,0.010,2.100,0.476,0.811
6,809.271,194.996,202.500,73.758,114.128,32.964,31.258,11.128,0.781,0.000,1.055,0.948,0.976
7,657.080,190.903,124.558,84.820,112.887,30.362,27.555,156.275,0.648,0.000,1.102,0.908,0.951
8,614.057,182.465,147.244,88.150,100.053,31.635,24.715,106.538,0.771,0.000,1.280,0.781,0.988
9,576.441,209.106,259.266,87.723,97.019,32.744,22.414,36.085,0.770,0.000,1.461,0.685,0.973
10,634.763,209.512,180.178,91.135,107.756,33.654,24.015,170.648,0.687,0.000,1.401,0.714,0.942
11,776.141,213.205,280.939,101.450,121.084,36.783,26.866,91.804,0.665,0.000,1.369,0.730,0.912
12,400.667,237.220,43.035,94.348,81.108,29.912,17.055,174.593,0.765,0.000,1.754,0.570,0.983
13,1213.275,206.646,210.370,107.201,139.200,41.445,37.273,72.823,0.787,0.000,1.112,0.899,0.962
14,669.159,186.455,36.346,110.439,132.417,39.416,21.616,15.395,0.480,0.000,1.824,0.548,0.736
15,548.372,201.750,169.412,109.538,109.510,28.466,24.528,27.583,0.575,0.000,1.161,0.862,0.910
16,859.772,183.578,325.833,111.638,131.211,42.679,25.650,118.113,0.628,0.000,1.664,0.601,0.888
17,534.453,198.153,303.487,114.480,102.164,31.455,21.634,146.117,0.643,0.000,1.454,0.688,0.964
18,474.520,192.051,149.099,114.112,96.497,28.757,21.010,128.155,0.640,0.000,1.369,0.731,0.915
19,651.213,188.384,261.335,116.036,100.198,32.253,25.708,134.606,0.815,0.000,1.255,0.797,0.982
20,597.952,216.860,46.689,126.646,104.747,33.525,22.710,43.612,0.685,0.000,1.476,0.677,0.964
21,818.589,179.473,71.203,127.236,118.362,33.479,31.132,56.415,0.734,0.000,1.075,0.930,0.948
22,485.908,215.553,15.415,129.346,92.222,27.534,22.469,34.138,0.718,0.000,1.225,0.816,0.961
23,742.666,189.380,297.137,132.660,114.820,41.951,22.540,168.235,0.708,0.000,1.861,0.537,0.971
24,863.568,215.286,142.486,136.938,120.692,36.891,29.805,176.715,0.745,0.000,1.238,0.808,0.967
25,996.203,181.819,110.769,126.376,131.231,41.519,30.550,176.698,0.727,0.000,1.359,0.736,0.958
26,664.672,221.182,118.042,104.194,116.114,40.926,20.678,155.367,0.620,0.000,1.979,0.505,0.955
27,1538.249,211.969,81.921,95.515,171.808,46.046,42.535,136.093,0.655,0.000,1.083,0.924,0.875
28,970.551,232.293,82.968,59.678,124.186,37.024,33.377,162.794,0.791,0.047,1.109,0.901,0.969
29,502.588,203.865,179.308,124.427,95.662,33.548,19.074,35.828,0.690,0.000,1.759,0.569,0.953
30,704.705,198.361,246.504,70.078,116.225,35.761,25.091,179.363,0.656,0.000,1.425,0.702,0.904
31,524.675,187.601,235.125,124.246,88.385,27.119,24.633,12.660,0.844,0.000,1.101,0.908,0.975
32,854.135,215.635,233.126,91.353,146.018,53.927,20.167,120.427,0.503,0.000,2.674,0.374,0.831
33,1029.449,174.078,47.344,74.874,140.145,43.730,29.974,10.260,0.659,0.000,1.459,0.685,0.871
34,478.201,193.995,106.830,36.430,84.814,28.295,21.518,26.038,0.835,0.000,1.315,0.761,0.985
35,551.823,176.532,134.608,27.854,93.264,27.307,25.730,97.652,0.797,0.000,1.061,0.942,0.973
36,649.143,182.571,160.046,27.652,121.507,38.912,21.241,27.542,0.553,0.000,1.832,0.546,0.867
37,639.710,184.250,285.641,71.421,101.932,31.979,25.470,164.857,0.774,0.000,1.256,0.796,0.968
38,519.498,185.243,304.969,88.016,96.718,29.423,22.480,176.871,0.698,0.000,1.309,0.764,0.947
