 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,778.097,233.590,193.420,30.905,113.222,37.141,26.674,162.676,0.763,0.015,1.392,0.718,0.974
2,650.983,242.618,223.089,38.026,102.951,32.241,25.708,157.762,0.772,0.194,1.254,0.797,0.974
3,1137.121,231.329,157.701,41.478,147.085,45.207,32.026,36.152,0.661,0.000,1.412,0.708,0.912
4,766.593,209.239,125.625,47.695,109.481,32.664,29.881,141.798,0.804,0.000,1.093,0.915,0.978
5,982.399,255.500,194.601,58.760,129.366,42.373,29.519,133.034,0.738,0.000,1.435,0.697,0.961
6,626.021,221.878,95.247,60.546,101.287,37.034,21.523,44.086,0.767,0.000,1.721,0.581,0.982
7,892.327,204.438,226.178,64.745,119.574,35.699,31.825,114.854,0.784,0.000,1.122,0.891,0.966
8,1004.946,253.683,262.047,65.594,135.882,45.730,27.980,156.680,0.684,0.195,1.634,0.612,0.891
9,842.402,218.994,166.869,68.406,124.776,37.284,28.768,169.595,0.680,0.000,1.296,0.772,0.963
10,647.417,253.988,68.252,69.208,104.151,31.750,25.962,91.342,0.750,0.924,1.223,0.818,0.955
11,618.313,240.739,142.889,78.377,101.636,31.624,24.895,131.441,0.752,0.000,1.270,0.787,0.980
12,848.498,215.778,292.877,89.295,114.669,35.841,30.143,167.558,0.811,0.000,1.189,0.841,0.982
13,787.645,210.659,252.965,87.565,114.403,37.903,26.459,169.478,0.756,0.000,1.433,0.698,0.979
14,864.603,214.929,207.992,91.693,119.089,35.234,31.244,89.696,0.766,0.000,1.128,0.887,0.956
15,701.369,248.833,178.804,91.653,111.647,33.828,26.399,30.256,0.707,0.000,1.281,0.780,0.972
16,352.582,227.077,231.096,96.310,79.683,23.849,18.824,95.212,0.698,0.033,1.267,0.789,0.950
17,672.725,187.607,153.658,104.338,105.329,32.390,26.445,77.874,0.762,0.000,1.225,0.816,0.975
18,747.038,210.102,127.124,103.094,115.649,34.299,27.731,176.189,0.702,0.000,1.237,0.808,0.973
19,641.205,228.468,266.963,108.021,102.247,32.767,24.915,40.036,0.771,0.000,1.315,0.760,0.980
20,1421.373,257.561,82.676,115.588,168.122,45.893,39.434,141.177,0.632,0.000,1.164,0.859,0.869
21,664.787,207.357,312.327,110.813,102.706,30.676,27.592,174.579,0.792,0.000,1.112,0.899,0.973
22,657.770,227.453,188.869,115.210,110.367,31.848,26.297,133.054,0.679,0.000,1.211,0.826,0.943
23,666.973,247.104,242.610,118.088,106.515,33.081,25.671,111.500,0.739,0.017,1.289,0.776,0.961
24,747.958,238.992,287.856,122.397,115.972,35.063,27.160,91.734,0.699,0.000,1.291,0.775,0.924
25,1171.632,225.278,214.578,128.091,141.502,46.338,32.193,71.618,0.735,0.000,1.439,0.695,0.945
26,491.660,278.125,43.265,115.959,91.921,31.025,20.177,23.349,0.731,0.117,1.538,0.650,0.967
27,728.287,241.768,119.694,123.753,119.259,40.160,23.090,161.357,0.643,0.000,1.739,0.575,0.962
28,437.938,204.157,170.264,124.446,87.522,25.648,21.740,128.126,0.718,0.000,1.180,0.848,0.974
29,322.213,200.715,53.842,127.422,78.045,26.318,15.588,37.965,0.665,0.000,1.688,0.592,0.955
30,819.280,210.290,333.504,136.525,126.318,44.523,23.429,106.179,0.645,0.000,1.900,0.526,0.882
31,602.208,204.777,27.029,137.170,100.206,30.913,24.804,82.442,0.754,0.019,1.246,0.802,0.972
32,535.258,216.299,150.307,131.673,99.258,30.620,22.257,138.875,0.683,0.000,1.376,0.727,0.944
33,754.400,206.788,266.515,138.307,108.386,34.261,28.036,134.367,0.807,0.000,1.222,0.818,0.984
34,594.156,211.033,312.220,139.079,104.049,35.719,21.180,140.160,0.690,0.000,1.686,0.593,0.974
35,1091.222,191.733,111.213,147.390,134.821,42.237,32.895,170.508,0.754,0.000,1.284,0.779,0.963
36,686.069,228.199,179.685,144.312,104.631,35.697,24.471,19.866,0.788,0.000,1.459,0.686,0.972
37,622.455,202.728,238.445,145.030,98.245,29.959,26.454,172.696,0.810,0.000,1.132,0.883,0.981
38,953.525,233.023,144.638,156.504,122.926,36.991,32.821,4.794,0.793,0.000,1.127,0.887,0.986
39,812.492,228.973,300.380,155.066,118.705,43.343,23.868,158.736,0.725,0.000,1.816,0.551,0.980
40,911.423,189.607,73.258,149.020,119.801,36.167,32.086,74.968,0.798,0.000,1.127,0.887,0.960
41,483.492,242.948,12.219,155.083,94.935,25.759,23.899,31.345,0.674,0.048,1.078,0.928,0.925
42,642.931,233.576,46.964,149.904,105.377,32.363,25.295,46.647,0.728,0.000,1.279,0.782,0.941
43,1239.157,190.083,44.095,93.869,160.098,50.241,31.403,7.521,0.608,0.000,1.600,0.625,0.855
44,511.216,261.405,86.769,87.810,87.809,26.383,24.671,134.209,0.833,0.990,1.069,0.935,0.979
45,1095.134,279.626,113.121,79.273,148.978,45.901,30.377,59.208,0.620,0.536,1.511,0.662,0.870
46,698.033,242.421,12.180,117.363,111.812,34.426,25.816,81.049,0.702,0.066,1.334,0.750,0.940
