 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,553.894,182.980,157.438,27.397,107.262,35.971,19.606,26.987,0.605,0.000,1.835,0.545,0.942
2,1123.202,239.256,116.354,57.495,149.642,50.470,28.336,48.366,0.630,0.164,1.781,0.561,0.870
3,971.356,234.380,85.273,57.087,123.145,36.759,33.646,57.222,0.805,0.047,1.093,0.915,0.979
4,734.154,199.266,245.146,66.427,118.754,36.195,25.826,179.711,0.654,0.000,1.402,0.714,0.902
5,615.207,171.658,55.565,71.892,99.917,28.830,27.170,81.048,0.774,0.000,1.061,0.942,0.952
6,907.396,215.571,231.442,87.913,147.374,52.705,21.921,120.626,0.525,0.000,2.404,0.416,0.841
7,686.529,193.625,122.818,83.098,117.088,30.176,28.967,135.001,0.629,0.000,1.042,0.960,0.920
8,602.208,208.189,259.017,84.062,97.779,33.254,23.058,36.548,0.792,0.000,1.442,0.693,0.982
9,520.419,183.668,302.431,85.390,93.147,30.989,21.382,154.919,0.754,0.000,1.449,0.690,0.971
10,1191.878,208.337,208.319,105.041,135.281,40.987,37.025,80.580,0.818,0.000,1.107,0.903,0.976
11,408.719,241.784,46.596,92.350,82.896,29.711,17.516,175.003,0.747,0.000,1.696,0.590,0.975
12,455.424,190.533,167.651,103.391,89.262,28.606,20.271,175.058,0.718,0.000,1.411,0.709,0.979
13,612.101,182.142,37.552,108.454,119.863,35.671,21.848,15.400,0.535,0.000,1.633,0.612,0.787
14,517.313,194.157,302.656,108.473,98.793,31.850,20.680,153.199,0.666,0.000,1.540,0.649,0.968
15,360.290,187.179,330.413,116.817,77.764,25.129,18.255,37.657,0.749,0.000,1.377,0.726,0.961
16,644.311,215.634,175.844,120.840,106.501,36.481,22.487,26.218,0.714,0.000,1.622,0.616,0.939
17,555.964,197.024,234.899,120.481,91.098,28.189,25.111,5.301,0.842,0.000,1.123,0.891,0.982
18,651.443,217.634,48.781,125.110,103.260,32.084,25.852,38.821,0.768,0.000,1.241,0.806,0.978
19,794.662,204.578,297.209,127.417,117.102,41.440,24.416,168.892,0.728,0.000,1.697,0.589,0.977
20,460.715,221.291,17.729,127.808,86.713,27.279,21.504,26.637,0.770,0.000,1.269,0.788,0.968
21,913.033,218.542,141.671,135.162,122.446,38.315,30.341,171.177,0.765,0.000,1.263,0.792,0.979
22,505.349,191.435,146.883,112.077,103.575,29.803,21.589,142.770,0.592,0.000,1.380,0.724,0.869
23,609.801,211.493,179.091,88.070,112.586,32.756,23.703,164.102,0.605,0.000,1.382,0.724,0.845
24,1163.579,216.967,158.102,65.058,179.160,54.010,27.430,158.651,0.456,0.010,1.969,0.508,0.710
25,578.396,180.814,145.091,86.038,97.655,31.759,23.189,109.375,0.762,0.000,1.370,0.730,0.976
26,791.901,195.293,201.946,71.278,113.881,33.487,30.109,33.092,0.767,0.000,1.112,0.899,0.972
27,501.093,182.870,282.859,67.861,91.694,29.542,21.597,160.918,0.749,0.000,1.368,0.731,0.946
28,724.376,178.718,71.916,126.361,121.987,33.952,27.165,92.062,0.612,0.000,1.250,0.800,0.841
29,1556.999,212.127,82.183,94.740,177.386,47.773,41.497,108.518,0.622,0.000,1.151,0.869,0.871
30,944.668,180.458,108.991,125.425,127.708,39.269,30.629,174.650,0.728,0.000,1.282,0.780,0.952
31,617.393,223.012,117.046,103.631,109.447,37.478,20.975,158.423,0.648,0.000,1.787,0.560,0.953
32,427.010,178.669,134.660,27.814,83.307,25.309,21.482,82.913,0.773,0.000,1.178,0.849,0.963
33,419.418,186.403,108.658,33.562,79.388,25.851,20.658,36.419,0.836,0.000,1.251,0.799,0.978
34,709.421,216.476,279.714,97.589,122.557,37.150,24.314,87.367,0.594,0.000,1.528,0.654,0.854
35,635.339,195.010,260.816,112.207,98.991,32.022,25.262,133.222,0.815,0.000,1.268,0.789,0.979
36,754.630,184.485,220.776,44.555,111.962,32.185,29.853,118.278,0.756,0.000,1.078,0.928,0.972
37,874.726,218.356,193.863,40.240,128.208,39.876,27.930,105.674,0.669,0.000,1.428,0.700,0.905
38,784.769,197.472,167.061,45.497,126.468,38.556,25.916,170.884,0.617,0.000,1.488,0.672,0.964
