PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 6, filenames: A:[6]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[7]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-24.29815674,-5.326421738,1
47,65,-21.43605042,-15.67053986,1
47,97,-7.016551971,-18.57170486,1
47,129,-5.9283638,-13.20129395,1
47,161,-43.89584351,-27.39446831,1
47,193,-14.41913033,-5.652833939,1
47,225,-21.82238388,-24.04496765,1
47,257,-22.6258316,-24.31082344,1
47,289,-22.20298195,-23.23532867,1
47,321,-22.34535408,-22.37707329,1
47,353,-23.39769745,-21.63670349,1
47,385,-24.21916008,-19.92915916,1
47,417,-23.31397629,-18.67815208,1
47,449,-22.62965012,-17.86474609,1
47,481,-24.45522881,-17.86019325,1
47,513,-25.03300858,-19.27645493,1
47,545,-24.98703194,-19.8816433,1
47,577,-24.19477272,-19.16494751,1
47,609,-23.65655899,-17.76227379,1
47,641,-22.8738308,-18.03098106,1
47,673,-24.33749771,-18.14827538,1
47,705,-24.55517197,-16.87960625,1
47,737,-21.41939545,-17.10279846,1
47,769,-18.98545074,-16.0132103,1
47,801,-19.40978432,-13.96333408,1
47,833,-18.60584259,-15.44834518,1
47,865,-18.76910973,-18.06890869,1
47,897,-20.1572113,-16.73195648,1
47,929,-21.31757736,-14.66915512,1
47,961,-21.55914688,-14.27319241,1
47,993,-22.10611534,-13.59132099,1
47,1025,-22.11202431,-13.25835037,1
47,1057,-12.20875549,-1.517333031,1
47,1089,-20.82741547,-9.730431557,1
47,1121,-40.89502716,-6.82989502,1
47,1153,-23.00532532,-9.330368042,1
47,1185,-24.27108955,-7.848665237,1
47,1217,-22.4084549,-6.318403244,1
47,1249,-23.3652153,-8.467078209,1
47,1281,-22.41031075,-8.456706047,1
47,1313,-21.5073967,-7.407997608,1
47,1345,-19.789114,-6.867217064,1
47,1377,-18.59154892,-5.638282299,1
47,1409,-21.35528183,-8.861197472,1
47,1441,-21.38612938,-9.927046776,1
47,1473,-21.37299919,-6.475131989,1
47,1505,-22.67493629,-5.181008816,1
47,1537,-22.28185272,-2.596415758,1
47,1569,-21.66338348,-1.311203837,1
47,1601,-20.80597687,-0.5963972807,1
47,1633,-20.4668045,-1.19516325,1
47,1665,-18.27179337,-1.748626709,1
47,1697,-16.53432274,-1.073191166,1
47,1729,-15.57541847,0.08461743593,1
47,1761,-16.45307922,1.151519537,1
47,1793,-16.81706619,1.270798683,1
47,1825,-15.59287262,1.282487392,1
47,1857,-15.15744019,-0.3479290009,1
47,1889,-14.20412922,-1.236705542,1
47,1921,-13.26469517,-0.8799030781,1
47,1953,-13.10299873,0.5757410526,1
47,1985,-11.70981979,5.537228107,1
47,2017,0.07579040527,0.1956663132,1
79,33,-23.06721115,-4.654275894,1
79,65,-22.60766792,-5.656862259,1
79,97,-22.66822624,-26.50034332,1
79,129,-22.56854439,-24.82992554,1
79,161,-22.22620583,-23.90872574,1
79,193,-21.88583946,-23.89536667,1
79,225,-21.85115433,-24.06917,1
79,257,-21.74266434,-24.19693947,1
79,289,-21.77073669,-23.15734291,1
79,321,-22.00664139,-22.5486145,1
79,353,-22.35499573,-22.23885918,1
79,385,-23.19859123,-21.24469185,1
79,417,-22.28621674,-20.03347397,1
79,449,-22.16029167,-18.12522316,1
79,481,-23.89852715,-17.78638649,1
79,513,-24.64974785,-19.12564659,1
79,545,-24.40983772,-19.71479225,1
79,577,-24.27139282,-19.00351524,1
79,609,-23.77107239,-18.10016441,1
79,641,-23.54572678,-17.88379097,1
79,673,-22.87442398,-17.42256165,1
79,705,-22.35204887,-15.73261261,1
79,737,-21.65067863,-15.60614014,1
79,769,-19.87898636,-15.24097061,1
79,801,-21.14672852,-14.15845966,1
79,833,-21.23993492,-15.26955795,1
79,865,-20.35962486,-16.70237541,1
79,897,-20.78741264,-16.82994461,1
79,929,-20.61191559,-15.34681702,1
79,961,-20.05600548,-14.83322144,1
79,993,-21.20471382,-14.37890816,1
79,1025,-21.58872414,-13.54855251,1
79,1057,-21.69609261,-12.6249361,1
79,1089,-19.85822296,-10.54281044,1
79,1121,-18.82643318,-11.12229443,1
79,1153,-19.63052177,-10.77579212,1
79,1185,-21.04938507,-9.088773727,1
79,1217,-21.99370766,-8.339557648,1
79,1249,-22.016222,-11.38971519,1
