PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 43, filenames: A:[43]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[44]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.381340027,2.771421432,1
47,65,-3.704703808,-2.919855595,1
47,97,-4.40301466,-6.430118561,1
47,129,-2.086880684,-6.873228073,1
47,161,-3.309556961,-7.250160217,1
47,193,-3.655676603,-7.431270123,1
47,225,-1.969852567,-6.286764145,1
47,257,-1.168317914,-4.187636375,1
47,289,-0.6233839989,-3.385597467,1
47,321,-0.3657234907,-2.964865208,1
47,353,-0.649971962,-4.401896954,1
47,385,-1.62984097,-5.073421001,1
47,417,-1.659475446,-5.546531677,1
47,449,-1.99279058,-6.393843651,1
47,481,-2.18017149,-7.31521225,1
47,513,-2.546280384,-8.126547813,1
47,545,-2.703298092,-7.451167583,1
47,577,-2.095473289,-6.321994305,1
47,609,-1.388440847,-6.236879826,1
47,641,-0.6794046164,-5.531894684,1
47,673,-0.4450019598,-5.149490356,1
47,705,-2.101150513,-4.390078545,1
47,737,-2.680005074,-5.407928944,1
47,769,-2.751152515,-5.386838436,1
47,801,-4.643787384,-5.071528435,1
47,833,-5.87364769,-4.094182491,1
47,865,-5.615979671,-3.787540913,1
47,897,-5.204030991,-4.040809155,1
47,929,16.43864059,-0.5373821259,1
47,961,-5.439451218,-3.515767574,1
47,993,-2.650535822,-2.381695747,1
47,1025,-2.830195189,-3.667852402,1
47,1057,-2.484680176,-4.307877541,1
47,1089,-0.8925459385,-3.814122677,1
47,1121,-2.671818972,-4.807344913,1
47,1153,-3.477030277,-4.372386456,1
47,1185,-2.603032112,-3.491239548,1
47,1217,-1.43579936,-2.948138714,1
47,1249,-1.113431692,-3.689778328,1
47,1281,-2.137590647,-3.370693207,1
47,1313,-3.219745159,-2.679420948,1
47,1345,-3.180243492,-2.738861322,1
47,1377,-2.248167992,-2.799431801,1
47,1409,-1.567779064,-1.204122782,1
47,1441,-1.364870548,-0.4951221943,1
47,1473,-1.218561769,-0.04470932484,1
47,1505,-2.111244917,-0.9047746658,1
47,1537,-2.828142166,-2.626976728,1
47,1569,-2.711089373,-2.194826603,1
47,1601,-2.839030504,-0.8444428444,1
47,1633,-3.667540073,-0.9577558041,1
47,1665,-4.212271214,-0.6166330576,1
47,1697,-2.505343676,-1.426820755,1
47,1729,-2.132975578,-1.835889339,1
47,1761,-1.465867519,-1.772586703,1
47,1793,0.3454473615,0.03024405241,1
47,1825,-0.4896582365,-0.3720752001,1
47,1857,-2.823898554,-0.1192947626,1
47,1889,-3.211681128,0.9076030254,1
47,1921,-2.841169596,0.5496720076,1
47,1953,-1.732858062,0.7173761129,1
47,1985,-1.784874439,0.4573200345,1
47,2017,2.807733536,-0.1434560418,1
79,33,-21.12534142,1.62339735,1
79,65,-3.674580574,-7.7097435,1
79,97,-3.562922955,-7.580188274,1
79,129,-0.3264095783,-5.481808662,1
79,161,-0.4201388359,-5.909817219,1
79,193,-2.424040556,-7.177927017,1
79,225,-1.99138999,-7.34612751,1
79,257,-1.733230114,-7.295987129,1
79,289,-0.8116149902,-6.589173317,1
79,321,-0.4467124939,-4.662083626,1
79,353,-0.6685825586,-5.174582005,1
79,385,-3.601051807,-5.458825111,1
79,417,-2.796143532,-4.630883217,1
79,449,-2.316539288,-5.017126083,1
79,481,-1.457975745,-6.432995796,1
79,513,-1.672172546,-6.744130611,1
79,545,-0.839369297,-4.81758976,1
79,577,-0.4812476635,-4.53001833,1
79,609,-1.339292884,-5.161662579,1
79,641,-1.904669523,-4.639559269,1
79,673,-2.278021574,-5.484268665,1
79,705,-2.423058033,-6.302495956,1
79,737,-2.542870998,-6.750356674,1
79,769,-3.091917276,-5.331788063,1
79,801,-3.57151103,-4.526524544,1
79,833,-3.599537134,-5.439581871,1
79,865,-3.830751181,-5.155226707,1
79,897,-3.795733452,-4.566929817,1
79,929,-1.674243689,-4.716518879,1
79,961,-2.567035913,-4.327065945,1
79,993,-4.224751949,-3.540486336,1
79,1025,-3.820315361,-3.76590395,1
79,1057,-3.565385103,-4.669671535,1
79,1089,-2.980728149,-5.312275887,1
79,1121,-3.812513351,-4.767893791,1
79,1153,-3.657371044,-3.756104946,1
79,1185,-1.576910973,-3.911263466,1
79,1217,-1.104226589,-3.659552336,1
79,1249,-0.9959713221,-3.027279854,1
79,1281,-1.642698765,-3.236371756,1
79,1313,-2.267118216,-2.763660908,1
79,1345,-2.151657104,-2.740620852,1
79,1377,-2.442763805,-2.031398058,1
79,1409,-2.423327923,-0.9743592739,1
79,1441,-1.22880137,-0.09832453728,1
79,1473,-1.091137171,0.2841738462,1
79,1505,-2.532235861,-0.3945593238,1
79,1537,-2.279126644,-1.053007841,1
79,1569,-2.070962191,-0.9135234356,1
79,1601,-2.484989405,-0.5300483108,1
79,1633,-2.737268448,-0.901360631,1
79,1665,-2.76170969,-2.244611502,1
79,1697,-1.65235877,-4.212777138,1
79,1729,0.5164637566,-3.937189102,1
79,1761,-0.1210370064,-4.221689224,1
79,1793,-0.8069336414,-0.3508938551,1
