PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 34, filenames: A:[34]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[35]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.499200463,7.687441826,1
47,65,-3.757509947,0.07259681821,1
47,97,-3.420153856,-2.403995752,1
47,129,-3.408147812,-3.951482773,1
47,161,-3.625081062,-3.727651119,1
47,193,-3.756566048,-2.745766163,1
47,225,-3.071310043,-3.293569803,1
47,257,-2.511536598,-4.654216766,1
47,289,-3.651195765,-5.088114262,1
47,321,-4.653456688,-4.150677681,1
47,353,-3.731062889,-3.439634323,1
47,385,-3.673569679,-3.799421549,1
47,417,-4.193084717,-3.887879848,1
47,449,-2.810966015,-4.494734764,1
47,481,-1.792645812,-4.49855423,1
47,513,-2.049457312,-4.490760326,1
47,545,-3.377907038,-3.869936466,1
47,577,-4.109279156,-3.919199467,1
47,609,-3.491264582,-4.010529518,1
47,641,-3.322948933,-3.661465406,1
47,673,-3.491626501,-4.550097942,1
47,705,-2.291513205,-6.111954212,1
47,737,-3.396049023,-5.336688995,1
47,769,-4.794187546,-5.951471806,1
47,801,-4.863271236,-7.82758379,1
47,833,-5.104447365,-8.204965591,1
47,865,-5.228029251,-6.40544796,1
47,897,-6.667248249,-4.967514038,1
47,929,-7.961832047,-4.636901855,1
47,961,-8.15401268,-5.216801643,1
47,993,-8.227024078,-5.335547447,1
47,1025,-7.542861938,-2.652704,1
47,1057,-8.121979713,1.325677395,1
47,1089,-6.530163288,0.4059839249,1
47,1121,-5.186899185,-0.1907601357,1
47,1153,-4.433231831,-1.569761515,1
47,1185,-3.419622898,-1.806307912,1
47,1217,-2.415510178,-1.802883863,1
47,1249,-2.834831238,-1.344735026,1
47,1281,-4.695075035,-0.114069134,1
47,1313,-5.786432743,0.5765249729,1
47,1345,-5.066315174,0.2692080438,1
47,1377,-2.087612629,-0.8378179073,1
47,1409,-2.428171635,-1.049115896,1
47,1441,-3.761509418,-1.34668684,1
47,1473,-4.70375967,-0.9290533066,1
47,1505,-4.390332699,-0.8080017567,1
47,1537,-3.708495617,0.4269720316,1
47,1569,-3.02126646,-0.4923030138,1
47,1601,-2.65352726,-0.1368721128,1
47,1633,-3.02764082,0.8099508286,1
47,1665,-3.402617931,1.706712723,1
47,1697,-4.295219421,2.16775465,1
47,1729,-4.725029945,1.281870842,1
47,1761,-4.343859673,0.3245185018,1
47,1793,-3.935269833,0.2368553281,1
47,1825,-3.285780668,-0.2509572506,1
47,1857,-2.638110638,-0.05720663071,1
47,1889,-3.016784668,0.00751568377,1
47,1921,-2.750685215,0.4305375814,1
47,1953,-2.406399727,0.461378336,1
47,1985,-2.238636255,0.1363947392,1
47,2017,-4.433129787,0.07543635368,1
79,33,-3.314790249,3.535838604,1
79,65,-3.827974558,-1.173882842,1
79,97,-3.490194321,-1.840850711,1
79,129,-2.910274506,-3.015596628,1
79,161,-2.657126427,-3.655946255,1
79,193,-3.574094772,-3.483766556,1
79,225,-3.7023561,-3.944026232,1
79,257,-3.599271774,-4.391515732,1
79,289,-3.846413136,-4.226311684,1
79,321,-3.756723404,-4.278212547,1
79,353,-3.624740601,-4.21763134,1
79,385,-3.426697731,-3.475743294,1
79,417,-4.42715168,-3.634023905,1
79,449,-3.752154827,-4.577483177,1
79,481,-2.888664484,-4.485456467,1
79,513,-3.210258484,-3.592791557,1
79,545,-3.660157681,-3.667041302,1
79,577,-4.288417339,-4.075437069,1
79,609,-4.686762333,-3.943943739,1
79,641,-4.574233532,-3.493182659,1
79,673,-4.00597477,-3.579618216,1
79,705,-2.890316963,-4.09450388,1
79,737,-2.855527878,-4.115911484,1
79,769,-4.012966156,-5.167285919,1
79,801,-4.287479877,-6.070183754,1
79,833,-4.690880775,-6.818234444,1
79,865,-4.848323822,-5.810651779,1
79,897,-4.994352341,-5.227873802,1
79,929,-6.291705608,-5.153852463,1
79,961,-7.649641991,-5.6962533,1
79,993,-7.158596992,-5.052569389,1
