PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 3, filenames: A:[3]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[4]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,38.83349991,3.509174824,1
47,65,30.16063309,2.692680359,1
47,97,11.62032127,3.868074894,1
47,129,6.536994934,2.233593702,1
47,161,5.327410221,2.774568081,1
47,193,4.961017609,2.49610281,1
47,225,4.11832428,2.80872345,1
47,257,4.209622383,4.317966461,1
47,289,3.498448849,4.599573135,1
47,321,2.552150965,2.920526028,1
47,353,2.783438683,-0.390455544,1
47,385,3.919634819,-2.117961884,1
47,417,5.643414974,-1.88646245,1
47,449,5.161455154,-2.942137718,1
47,481,3.14590168,-4.27324295,1
47,513,2.772080898,-5.821679115,1
47,545,4.947025776,-5.204089165,1
47,577,6.742189407,-3.138892651,1
47,609,5.517157078,-0.4749684334,1
47,641,5.908931732,-2.63547349,1
47,673,5.517865658,-2.796176195,1
47,705,25.55713463,-0.221976757,1
47,737,8.09170723,-3.754910469,1
47,769,4.29391098,-5.688364983,1
47,801,5.663467407,-4.668453693,1
47,833,8.978067398,-7.703920841,1
47,865,9.193092346,-10.89858818,1
47,897,9.456729889,-9.394271851,1
47,929,11.44764328,-7.299827576,1
47,961,11.84622574,-4.174743652,1
47,993,13.50124359,-4.415729523,1
47,1025,12.82038116,-1.843375683,1
47,1057,13.12671089,-1.040781736,1
47,1089,13.06443214,0.5452849865,1
47,1121,13.38803005,2.578749418,1
47,1153,15.61779118,2.972819567,1
47,1185,-0.3929176331,8.726379395,1
47,1217,18.04274559,1.630977869,1
47,1249,17.88355255,2.73842597,1
47,1281,11.78437901,4.690647602,1
47,1313,8.630558014,1.340925455,1
47,1345,8.404512405,-0.4952149987,1
47,1377,9.266422272,0.6563903093,1
47,1409,15.32792664,0.8266152143,1
47,1441,10.55757332,-1.236769915,1
47,1473,18.91278839,6.934885979,1
47,1505,18.19946289,5.689474106,1
47,1537,16.08761215,5.467071533,1
47,1569,14.95419121,2.178305626,1
47,1601,14.0241642,1.537223339,1
47,1633,15.33518219,2.116948366,1
47,1665,16.87469101,3.485373497,1
47,1697,29.09191895,18.76004028,1
47,1729,18.58197594,1.925675035,1
47,1761,17.86306,5.068509102,1
47,1793,14.73659134,5.316823483,1
47,1825,14.2569313,3.30199337,1
47,1857,14.60682297,0.7375892401,1
47,1889,14.75528717,-1.422556996,1
47,1921,15.12109184,-1.267020226,1
47,1953,16.987257,-0.7140915394,1
47,1985,18.82592392,-0.0124130249,1
47,2017,20.19295883,0.3025329113,1
79,33,23.61959648,2.250014067,1
79,65,8.413791656,1.974343538,1
79,97,6.175848961,3.367850304,1
79,129,3.10173893,1.689841032,1
79,161,3.209690094,1.62789011,1
79,193,3.746537924,1.753128648,1
79,225,2.820018768,2.080453634,1
79,257,2.385188341,1.658037424,1
79,289,2.872863531,3.379183531,1
79,321,1.675632,1.995747924,1
79,353,0.7746784687,0.3775294721,1
79,385,1.712665319,-0.05111715198,1
79,417,2.426042557,-1.059835434,1
