PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 18, filenames: A:[18]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[19]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.6818776131,0.3199242353,1
47,65,1.091268539,-0.4046183228,1
47,97,1.553760529,-0.3588545024,1
47,129,0.4103418589,0.2281564176,1
47,161,0.3334498405,-0.2839256823,1
47,193,-0.4204349518,-0.4243195355,1
47,225,-0.498912096,0.1118333638,1
47,257,0.007205724716,0.9702730179,1
47,289,1.506723166,1.352602482,1
47,321,1.189050436,-0.2222758532,1
47,353,1.685359955,-1.278408766,1
47,385,2.152100325,-1.92179215,1
47,417,4.387115955,-1.594510317,1
47,449,6.846286774,-1.268618345,1
47,481,7.347439289,-0.8228551149,1
47,513,6.249941349,-0.2824234962,1
47,545,5.268577576,-0.3764946461,1
47,577,6.548727036,-1.151753068,1
47,609,8.614419937,-0.7302874327,1
47,641,9.979035378,0.08185517788,1
47,673,10.09352779,0.2560511827,1
47,705,8.954055786,-1.502994657,1
47,737,6.467105865,-1.448254943,1
47,769,5.099165916,-0.6909327507,1
47,801,5.195091724,-1.490996599,1
47,833,5.120155334,-2.302281857,1
47,865,6.172334671,-1.556194544,1
47,897,7.596755028,-0.8814396858,1
47,929,7.150211811,-2.095536709,1
47,961,6.829322815,-3.313910246,1
47,993,6.907090664,-4.149467945,1
47,1025,6.296373844,-3.84959054,1
47,1057,5.516222,-3.405119419,1
47,1089,5.642752647,-2.788039446,1
47,1121,4.129402161,-2.994394302,1
47,1153,4.302928448,-3.489171028,1
47,1185,5.699093819,-2.628664494,1
47,1217,1.816645145,-2.557483912,1
47,1249,4.467506409,-5.175174713,1
47,1281,5.246969223,-7.561325073,1
47,1313,3.547607899,-8.490894318,1
47,1345,2.593252659,-7.757958412,1
47,1377,4.340078354,-7.010091782,1
47,1409,4.034786701,-4.200500011,1
47,1441,3.624686718,-3.438677788,1
47,1473,3.523912191,-3.546773434,1
47,1505,2.910499334,-4.404630661,1
47,1537,2.56187582,-4.71337986,1
47,1569,3.469684601,-5.831812382,1
47,1601,4.489310741,-6.209937572,1
47,1633,4.776694775,-6.946064949,1
47,1665,4.780566692,-6.641320705,1
47,1697,5.208087444,-6.48511219,1
47,1729,5.452599525,-6.892433167,1
47,1761,5.155172348,-6.915362835,1
47,1793,3.656177044,-6.896320343,1
47,1825,2.574201107,-6.222823143,1
47,1857,1.99883604,-5.48315239,1
47,1889,0.9756238461,-4.786027908,1
47,1921,-0.4169529676,-4.558547974,1
47,1953,-0.5904090405,-4.761843681,1
47,1985,1.152457595,-6.193853855,1
47,2017,0.8236236572,-6.753240585,1
79,33,1.627702713,0.8074855804,1
79,65,1.945084095,-1.332443237,1
79,97,1.568688393,-0.7025988102,1
79,129,0.376488328,0.1327207685,1
79,161,1.166934967,0.3797026277,1
79,193,1.323653936,0.604095459,1
79,225,1.861920834,0.6586534977,1
79,257,2.529839039,0.8399223685,1
79,289,2.536792517,0.6466604471,1
79,321,2.208365679,-0.01618087292,1
