PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[5]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.230054379,0.5962826014,1
47,65,-17.16882706,-6.9567132,1
47,97,-14.77509403,3.626268148,1
47,129,-13.14609051,-7.128824234,1
47,161,-12.34029198,-3.416557312,1
47,193,-12.222435,-7.639692307,1
47,225,-11.04184341,-8.050266266,1
47,257,-9.123440742,-5.919199467,1
47,289,-7.670895576,-5.517751694,1
47,321,-6.821186066,-6.537258148,1
47,353,-6.621831894,-2.86476469,1
47,385,-6.417320251,-0.7449598312,1
47,417,-6.379770756,-2.105937004,1
47,449,-5.304364204,-4.147611618,1
47,481,-1.591402054,-3.704973221,1
47,513,-0.2992300987,-4.471259117,1
47,545,-2.304300547,-6.794249058,1
47,577,-5.214860439,-8.476509094,1
47,609,-4.523087025,-6.376299858,1
47,641,-3.779787779,-4.941843987,1
47,673,-3.511938572,-5.093701363,1
47,705,-2.344873428,-6.13010025,1
47,737,-19.59858894,-1.042197227,1
47,769,1.10428071,7.021320343,1
47,801,3.042984009,-9.131166458,1
47,833,3.335801601,-8.355615616,1
47,865,3.007574081,-9.861383438,1
47,897,3.871376514,-10.67764091,1
47,929,4.161736488,-8.779100418,1
47,961,4.416912079,-6.695536137,1
47,993,4.296284676,-7.44948864,1
47,1025,6.586718559,-7.87626791,1
47,1057,10.7277832,-6.654528618,1
47,1089,15.79334831,-6.065067291,1
47,1121,16.5764389,-7.107146263,1
47,1153,30.79212952,-12.78688908,1
47,1185,15.33723259,-10.77481842,1
47,1217,13.0753994,-10.94343472,1
47,1249,11.047925,-9.022434235,1
47,1281,7.952834129,-8.58272171,1
47,1313,8.893725395,-6.993173599,1
47,1345,9.214986801,-5.09161377,1
47,1377,7.672620773,-5.623693466,1
47,1409,6.116868973,-8.197784424,1
47,1441,3.648974419,-11.94791222,1
47,1473,4.239796638,-14.58396244,1
47,1505,10.51368713,-8.72679615,1
47,1537,13.02546692,-8.272550583,1
47,1569,12.55029392,-6.834616661,1
47,1601,9.850518227,-4.670059204,1
47,1633,8.752197266,-6.099160194,1
47,1665,7.328932285,-7.05124855,1
47,1697,4.574305534,-6.036907196,1
47,1729,3.290859222,-7.833140373,1
47,1761,2.997725487,-7.755935192,1
47,1793,4.316995144,-5.845547676,1
47,1825,6.906347752,-4.381554604,1
47,1857,4.602328777,-4.439980507,1
47,1889,4.090921879,-6.66832304,1
47,1921,4.485117435,-9.327688217,1
47,1953,6.861493111,-5.916059494,1
47,1985,-5.725384235,5.663430214,1
47,2017,-1.533464909,0.2104158401,1
79,33,-5.439278603,1.3028543,1
