PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 30, filenames: A:[30]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[31]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,5.65430212,0.4421730042,1
47,65,-1.471905708,-9.350579262,1
47,97,-2.016566277,-10.25590706,1
47,129,-2.241943836,-9.030546188,1
47,161,-1.455461621,-8.9659729,1
47,193,-0.9357610941,-6.840873718,1
47,225,-0.5310359001,-6.91990757,1
47,257,-0.8728491068,-7.520214081,1
47,289,-1.415477753,-7.706702232,1
47,321,-2.08300972,-7.829956055,1
47,353,-3.398555756,-7.745391846,1
47,385,-3.697449207,-7.128176689,1
47,417,-3.961073637,-7.129987717,1
47,449,-4.739252567,-5.9201231,1
47,481,-5.567346096,-4.309847832,1
47,513,-6.747389793,-4.803322792,1
47,545,-5.404373646,-5.763530731,1
47,577,-3.773509979,-7.602787495,1
47,609,-2.569386005,-6.489078522,1
47,641,-1.969890594,-5.929022789,1
47,673,-2.915258408,-5.728846073,1
47,705,-4.184498787,-6.091869354,1
47,737,-5.311105728,-5.807384491,1
47,769,-6.615610123,-6.22303772,1
47,801,-5.895100594,-6.885921955,1
47,833,-4.55866003,-7.436366081,1
47,865,-4.307875156,-6.505636215,1
47,897,-4.435816288,-6.005813122,1
47,929,-5.283959866,-4.538976669,1
47,961,-6.464027882,-4.422287941,1
47,993,-6.218087196,-4.730611324,1
47,1025,-3.996310234,-5.122407913,1
47,1057,-2.468233585,-5.555920601,1
47,1089,-3.134073734,-4.741444111,1
47,1121,-3.705199242,-3.366680622,1
47,1153,-4.437029362,-2.943220615,1
47,1185,-4.482822418,-2.094794512,1
47,1217,-3.495140076,-1.640262127,1
47,1249,-2.901489496,-1.471601129,1
47,1281,-4.82953167,-0.9422665238,1
47,1313,-5.044805527,-0.6822475195,1
47,1345,-5.404516697,-2.191433668,1
47,1377,-5.329681396,-0.6559044123,1
47,1409,-5.90809536,-1.239091873,1
47,1441,-6.058554649,-2.642859221,1
47,1473,-6.014245033,-2.576637268,1
47,1505,-5.41921854,-1.309530497,1
47,1537,-4.9899683,-1.391825676,1
47,1569,-5.370950699,-1.187632918,1
47,1601,-4.148478508,-1.185007811,1
47,1633,-4.072618008,-0.8724328279,1
47,1665,-5.698197365,0.4109988809,1
47,1697,-7.334799767,0.9206479788,1
47,1729,-7.157686234,0.8931825161,1
47,1761,-3.853571415,0.605014503,1
47,1793,-3.944594383,1.179283381,1
47,1825,-3.367833138,0.5143311024,1
47,1857,-3.884515285,1.054052711,1
47,1889,-4.001673698,0.08448725939,1
47,1921,-3.245628357,0.6370666027,1
47,1953,-3.926095486,0.8042649031,1
47,1985,-4.75502634,-0.006386339664,1
47,2017,-4.400289536,-1.745338917,1
79,33,7.436581612,4.721182823,1
