PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 32, filenames: A:[32]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[33]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-20.42443657,19.98795319,1
47,65,-4.729753017,-0.1601772308,1
47,97,-4.664107323,-5.678830624,1
47,129,-3.544607401,-6.703231335,1
47,161,-3.037744045,-7.155165672,1
47,193,-3.643177032,-6.399926662,1
47,225,-2.101165771,-6.044937611,1
47,257,-1.262995243,-5.971602917,1
47,289,-2.242397785,-7.712204456,1
47,321,-3.745467424,-7.297368526,1
47,353,-0.9674806595,-7.258503914,1
47,385,0.3591866493,-8.258861542,1
47,417,-1.719337463,-10.09425545,1
47,449,-2.431675434,-9.050489426,1
47,481,-2.991145849,-8.318159103,1
47,513,-4.095517159,-7.808171272,1
47,545,-5.104460239,-7.732114315,1
47,577,-5.872259617,-7.836059093,1
47,609,-6.348861694,-8.19608593,1
47,641,-5.748270512,-7.143571377,1
47,673,-5.568744183,-5.062802315,1
47,705,-6.625714779,-5.143975258,1
47,737,-8.165118217,-5.634786606,1
47,769,-9.328899384,-5.882983685,1
47,801,-9.108122826,-5.167575836,1
47,833,-8.281766891,-6.825541496,1
47,865,-8.647579193,-6.599843979,1
47,897,-8.332075119,-5.598133564,1
47,929,-5.987876415,-4.58815527,1
47,961,-2.985703468,-3.565217972,1
47,993,-2.692798615,-4.142559052,1
47,1025,-3.629622936,-6.009971142,1
47,1057,-5.138455868,-6.077499866,1
47,1089,-4.854372501,-6.527885437,1
47,1121,-5.78106308,-5.856333733,1
47,1153,-6.309773445,-5.236578465,1
47,1185,-6.266021729,-3.955540657,1
47,1217,-5.799498558,-3.025309086,1
47,1249,-4.402328968,-2.816996336,1
47,1281,-3.20286274,-2.189025164,1
47,1313,-2.732295513,-1.494396925,1
47,1345,-3.114506721,-0.7668549418,1
47,1377,-3.931978703,-0.5283027291,1
47,1409,-4.962924004,-1.059201837,1
47,1441,-5.328952789,-1.022034645,1
47,1473,-4.415217876,-1.650978565,1
47,1505,-4.271195889,-1.103564858,1
47,1537,-5.918516636,0.2332136929,1
47,1569,-6.833648682,-0.3892307281,1
47,1601,-6.98915863,-1.38598907,1
47,1633,-6.038764477,-1.136758089,1
47,1665,-4.932095528,0.5881515741,1
47,1697,-4.396515846,1.376941919,1
47,1729,-4.712262154,0.4509708881,1
47,1761,-4.228285789,1.869767189,1
47,1793,-4.537069321,1.126545787,1
47,1825,-5.152316093,0.2618439198,1
47,1857,-3.50214386,0.3560209274,1
47,1889,-2.304334641,1.130034566,1
47,1921,-2.341703415,1.793878078,1
47,1953,-3.140595436,1.888892174,1
47,1985,-3.876067638,0.5745158195,1
47,2017,-4.832122326,-1.050522208,1
79,33,13.71871567,9.430451393,1
79,65,-5.417096138,-4.740293026,1
79,97,-4.602102757,-6.852938652,1
79,129,-4.247028351,-6.428406239,1
79,161,-4.002342701,-6.513483047,1
79,193,-3.318451405,-6.32192421,1
79,225,-2.710492134,-6.367658615,1
79,257,-2.87111187,-6.87665987,1
79,289,-3.472528934,-8.665715218,1
79,321,-3.135880709,-7.741405964,1
79,353,-2.370715141,-7.718133926,1
79,385,-2.484808922,-8.294716835,1
79,417,-3.291623592,-8.672182083,1
79,449,-4.006718636,-7.896932602,1
79,481,-4.337946892,-6.321557045,1
79,513,-4.729397774,-7.039906979,1
79,545,-5.264708042,-7.335833073,1
79,577,-5.517063618,-7.320355892,1
79,609,-6.17582798,-6.951419353,1
79,641,-6.227719307,-6.119434357,1
79,673,-6.13632679,-5.866308212,1
79,705,-6.921098232,-5.453942299,1
79,737,-7.835457802,-6.031569958,1
79,769,-8.072167397,-6.398304939,1
79,801,-7.937902451,-4.969985962,1
79,833,-6.444535255,-5.378712654,1
79,865,-6.890192509,-5.277635098,1
79,897,-6.87476635,-4.707262993,1
79,929,-5.951131344,-3.97017765,1
79,961,-5.096529484,-2.726927757,1
79,993,-4.583837986,-3.523872375,1
79,1025,-4.015177727,-4.294598103,1
79,1057,-3.512147665,-4.798091888,1
79,1089,-3.651665211,-5.415677071,1
79,1121,-4.333793163,-4.958639145,1
79,1153,-4.315756321,-4.227660179,1
79,1185,-4.971270561,-3.332166433,1
79,1217,-5.050453663,-2.355225325,1
79,1249,-24.56772804,0.3341965675,1
79,1281,-3.997328758,-1.844618678,1
79,1313,-4.103783131,-1.620536923,1
79,1345,-4.346474171,-1.621005297,1
79,1377,-3.800919533,-0.7876276374,1
79,1409,-4.179496765,-0.8697528839,1
79,1441,-6.98908329,-1.45961678,1
79,1473,-6.176241398,-2.13751626,1
79,1505,-5.700940609,-1.305734158,1
79,1537,-6.067799568,-0.01990962029,1
79,1569,-6.246636868,-0.1285255551,1
79,1601,-6.081530571,-0.9006509781,1
79,1633,-5.832950115,-1.579921484,1
79,1665,-5.948841572,-0.2506456375,1
79,1697,-5.179075718,-0.1588470638,1
79,1729,-3.819243431,-0.6342035532,1
79,1761,-3.563105106,0.2417776585,1
79,1793,-2.967240334,2.379603386,1
79,1825,-2.5741539,4.331136227,1
79,1857,-2.701656342,2.941886187,1
79,1889,-1.552570581,1.080327153,1
79,1921,-0.7693402767,1.304136515,1
79,1953,-2.263460159,1.647337794,1
79,1985,-3.378812551,1.937723994,1
