PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,14.83275509,0.4809360504,1
47,65,1.562783241,-25.75110435,1
47,97,-13.69021988,-6.487498283,1
47,129,-12.80673599,-6.634348869,1
47,161,-10.93498898,-8.281509399,1
47,193,-8.945097923,-8.940342903,1
47,225,-8.009559631,-7.439504623,1
47,257,-7.812857628,-7.635438442,1
47,289,-7.466090202,-6.764361858,1
47,321,-6.395425797,-4.959578991,1
47,353,-5.41236496,-4.48102951,1
47,385,-6.159264565,-4.68282032,1
47,417,-7.097757816,-4.339394569,1
47,449,-7.590003014,-5.37852478,1
47,481,-8.107645988,-7.084554672,1
47,513,-8.4634552,-7.833046436,1
47,545,-8.893959045,-7.234942913,1
47,577,-9.274701118,-5.960652351,1
47,609,-8.681512833,-5.826932907,1
47,641,-5.941111088,-6.643852234,1
47,673,-4.230707645,-8.088326454,1
47,705,-3.891082287,-8.592665672,1
47,737,-3.193958759,-6.746910095,1
47,769,-3.131797314,-5.92562151,1
47,801,-3.330636501,-6.683193207,1
47,833,-3.320144892,-6.483182907,1
47,865,-4.22797966,-6.075019836,1
47,897,-2.995979786,-6.319458485,1
47,929,-2.427747488,-7.064396858,1
47,961,-3.975765705,-6.800988197,1
47,993,-5.91408062,-6.774215698,1
47,1025,-6.64664793,-6.625965595,1
47,1057,-5.874058723,-6.610192776,1
47,1089,-5.09329319,-6.011361122,1
47,1121,-3.054298878,-4.634955406,1
47,1153,-3.089183807,-3.040570259,1
47,1185,-3.023011208,-2.627784252,1
47,1217,-2.43751049,-3.309459209,1
47,1249,-1.396559715,-3.691224575,1
47,1281,0.7949617505,-5.147179604,1
47,1313,2.314903259,-5.897436619,1
47,1345,1.932291508,-6.483012199,1
47,1377,1.307458162,-7.082090855,1
47,1409,1.277889013,-7.853931904,1
47,1441,0.2582523823,-7.302882195,1
47,1473,1.304795265,-8.055632591,1
47,1505,1.326030493,-7.956702232,1
47,1537,0.6637037396,-7.318881035,1
47,1569,-0.102640152,-6.319184303,1
47,1601,-1.396237135,-6.19931221,1
47,1633,-2.60676837,-5.744092941,1
47,1665,-2.108804703,-5.488393307,1
47,1697,-1.657980323,-4.537393093,1
47,1729,-1.918987751,-3.341089487,1
47,1761,-1.935305834,-4.854195595,1
47,1793,-2.007157326,-6.778886795,1
47,1825,-0.7749278545,-5.636135578,1
47,1857,0.7523605824,-5.037965775,1
47,1889,-1.634860039,-5.067018986,1
47,1921,-2.705911636,-5.883449078,1
47,1953,-2.410616159,-6.240229607,1
47,1985,-1.644945741,-4.834257603,1
47,2017,-4.243905067,0.4038333893,1
79,33,12.44976997,0.7010736465,1
79,65,-11.64433956,-8.526335716,1
79,97,-10.79328442,-6.521687508,1
79,129,-11.00059509,-6.321005821,1
79,161,-10.8392067,-6.738567352,1
79,193,-10.85752869,-7.729859829,1
79,225,-9.576498032,-6.655241489,1
79,257,-7.714493752,-5.899299622,1
79,289,-7.31731081,-6.210678101,1
79,321,-6.671487808,-5.803608894,1
79,353,-5.055873394,-5.389199257,1
79,385,-5.363161564,-5.94338274,1
79,417,-5.961168289,-5.659283638,1
79,449,-6.62651968,-5.809442043,1
79,481,-7.271437168,-6.857114315,1
79,513,-7.419860363,-7.445091248,1
79,545,-7.195137024,-7.192200184,1
79,577,-7.133810997,-6.713392735,1
79,609,-7.103028297,-7.0114007,1
79,641,-6.001042843,-7.292037487,1
79,673,-4.833820343,-7.443597794,1
79,705,-3.950867653,-7.774415493,1
79,737,-4.070601463,-7.076289177,1
79,769,-4.877211094,-6.800609589,1
79,801,-4.775689125,-6.300662041,1
79,833,-4.088913918,-5.564319611,1
79,865,-3.44258523,-5.120122433,1
