PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[2]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,7.97385025,5.441167831,1
47,65,69.2922287,42.16081238,1
47,97,82.76660156,64.30133057,1
47,129,74.03959656,84.21777344,1
47,161,85.0213623,58.68505096,1
47,193,85.34337616,58.24291229,1
47,225,86.43120575,57.90699768,1
47,257,89.19421387,59.41551971,1
47,289,91.04039764,57.63503265,1
47,321,95.77388,63.03025818,1
47,353,87.82928467,52.71596527,1
47,385,90.09095764,51.96011353,1
47,417,98.17168427,72.73400879,1
47,449,111.6971054,60.61685562,1
47,481,120.9354858,47.91165924,1
47,513,94.70805359,66.73181152,1
47,545,112.1121445,55.56765366,1
47,577,113.3524704,53.65752029,1
47,609,78.04966736,40.49897003,1
47,641,76.37483215,35.94422913,1
47,673,75.79402161,32.04378891,1
47,705,82.79794312,33.34293747,1
47,737,130.0657806,30.35125542,1
47,769,144.8715668,43.31529999,1
47,801,125.557724,36.32881165,1
47,833,50.34792709,37.67102814,1
47,865,18.60421944,21.57985306,1
47,897,1.361713409,31.50133324,1
47,929,-4.574344635,26.02339172,1
47,961,1.938018799,52.75999451,1
47,993,36.13231277,46.30064392,1
47,1025,36.7562561,32.710289,1
47,1057,-36.66576385,17.57965279,1
47,1089,-78.24005127,20.32842827,1
47,1121,-72.76008606,9.607518196,1
47,1153,-33.53873062,-5.073312759,1
47,1185,50.44816971,-12.7875948,1
47,1217,66.6275177,-2.562771797,1
47,1249,58.90546417,-24.68869209,1
47,1281,39.71992111,-36.70079803,1
47,1313,41.06481934,-52.50926971,1
47,1345,43.67772293,-15.7304306,1
47,1377,42.24435043,-16.73322105,1
47,1409,42.49074554,-7.359003067,1
47,1441,48.00439835,2.633061409,1
47,1473,32.26609039,18.78425026,1
47,1505,53.48423004,21.79166603,1
47,1537,66.95619202,-23.09172058,1
47,1569,75.64862061,-41.82104492,1
47,1601,71.29418945,-22.36577797,1
47,1633,85.13702393,-24.43064499,1
47,1665,83.88909912,-12.34869385,1
47,1697,82.26934814,-14.74858093,1
47,1729,81.08901215,-15.0479393,1
47,1761,76.15376282,-45.66716003,1
47,1793,75.91769409,-12.39872169,1
47,1825,77.46864319,-35.37919998,1
47,1857,96.91525269,-8.190656662,1
47,1889,110.6403198,-25.41891098,1
47,1921,85.72288513,-31.4090004,1
47,1953,103.474823,5.363699913,1
47,1985,111.6869431,-0.741689682,1
47,2017,119.4413605,0.4628410339,1
79,33,46.08900452,35.55334473,1
79,65,73.12419128,62.14537811,1
79,97,72.46342468,79.48376465,1
79,129,83.83216095,60.22834778,1
