PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 5, filenames: A:[5]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[6]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-24.42352676,-1.090278625,1
47,65,-9.741128922,-4.474916458,1
47,97,-22.16272354,-18.07125092,1
47,129,-23.77492714,-17.12487411,1
47,161,-23.30199432,-17.46035957,1
47,193,-13.61969757,-31.57143593,1
47,225,-22.14621735,-19.97926331,1
47,257,-23.02960396,-18.87987709,1
47,289,-23.06288528,-19.33625984,1
47,321,-21.7454567,-20.01859856,1
47,353,-21.7322979,-19.63256836,1
47,385,-23.5960331,-21.00286102,1
47,417,-25.63830566,-22.15418434,1
47,449,-7.776662827,-29.15645218,1
47,481,-24.25754166,-22.1038456,1
47,513,-24.69585228,-20.68965149,1
47,545,-25.39944839,-20.05036736,1
47,577,-27.42008591,-18.54672623,1
47,609,-26.29965973,-17.12841415,1
47,641,-27.34609413,-16.14697647,1
47,673,-26.66877937,-16.72410965,1
47,705,-24.18471336,-16.79601669,1
47,737,-22.27840805,-15.79828453,1
47,769,-24.14335823,-17.79809189,1
47,801,-24.91543961,-19.44672203,1
47,833,-26.230093,-20.668396,1
47,865,-26.95065498,-19.89216995,1
47,897,-27.51503372,-18.91523552,1
47,929,-25.35753632,-18.00651932,1
47,961,-24.49740982,-16.03851509,1
47,993,-24.21438026,-14.47415257,1
47,1025,-23.86230278,-13.35568619,1
47,1057,-21.42062378,-11.91567326,1
47,1089,-16.85917282,-13.97459221,1
47,1121,-11.74614525,-25.16226006,1
47,1153,-17.04727554,-14.2422142,1
47,1185,-17.64346886,-15.04331779,1
47,1217,-18.08321381,-14.54633808,1
47,1249,-16.27490997,-10.47112083,1
47,1281,-18.94367027,-9.581198692,1
47,1313,-19.71886444,-10.043993,1
47,1345,-20.45551491,-9.983576775,1
47,1377,-19.23163795,-10.79572868,1
47,1409,-17.18097115,-11.11108589,1
47,1441,-17.32679939,-11.34399319,1
47,1473,-18.06447029,-10.7018671,1
47,1505,-16.68776321,-8.079544067,1
47,1537,-12.97753429,-4.838758469,1
47,1569,-11.95243073,-4.175556183,1
47,1601,-13.08034134,-3.617717266,1
47,1633,-12.70890427,-3.602575302,1
47,1665,-11.05352211,-4.34680748,1
47,1697,-9.768893242,-4.419734001,1
47,1729,-9.560029984,-4.282887936,1
47,1761,-10.03997993,-4.329031467,1
47,1793,-10.61885548,-4.154872894,1
47,1825,-10.78637028,-3.914373636,1
47,1857,-10.47442532,-2.818528891,1
47,1889,-8.895298004,-0.8009432554,1
47,1921,-8.086170197,-0.08630907536,1
47,1953,-7.306394577,0.765537262,1
47,1985,-8.421662331,-0.1441947222,1
47,2017,-12.16882706,-5.518403053,1
79,33,-24.46743393,-1.955942154,1
79,65,-39.90808487,-28.21847534,1
79,97,-25.53373146,-19.65227509,1
79,129,-25.46433067,-19.47162056,1
79,161,-24.39631271,-19.07598305,1
79,193,-23.6606636,-19.35889244,1
79,225,-23.15537453,-22.25486183,1
79,257,-23.07298279,-21.02638245,1
79,289,-23.10160065,-20.92374611,1
79,321,-23.3604126,-20.5494709,1
79,353,-24.07614708,-20.32592773,1
79,385,-24.38025665,-22.81082535,1
79,417,-25.17550087,-23.61787987,1
79,449,-26.40860176,-21.94606209,1
79,481,-27.01536179,-24.29404259,1
79,513,-27.15227127,-23.35422897,1
79,545,-27.24185562,-21.72272301,1
79,577,-27.83177757,-19.67012405,1
79,609,-26.78390503,-16.75402641,1
79,641,-26.29463768,-16.85997772,1
79,673,-26.39646721,-17.19440651,1
79,705,-26.12012482,-17.79854774,1
79,737,-26.18377113,-17.86816597,1
79,769,-27.02249146,-18.29721069,1
79,801,-27.8229351,-19.37777328,1
79,833,-28.41837311,-19.45070648,1
79,865,-27.83304214,-18.72438431,1
79,897,-26.49884796,-17.65359306,1
79,929,-24.64212227,-16.72755814,1
79,961,-23.08152199,-15.56149673,1
79,993,-22.39956856,-15.12347603,1
79,1025,-22.09642601,-14.9566679,1
79,1057,-21.43453789,-14.55453968,1
79,1089,-21.28051186,-13.51969242,1
79,1121,-20.58390236,-13.43604565,1
79,1153,-20.86279678,-13.42646408,1
79,1185,-21.25359917,-13.8283596,1
79,1217,-20.55427742,-13.8069458,1
79,1249,-20.19956017,-12.53107262,1
79,1281,-19.96207237,-10.90107441,1
79,1313,-19.02377319,-9.166466713,1
79,1345,-18.3591404,-8.842961311,1
79,1377,-14.50940514,-12.7460928,1
79,1409,-15.45465851,-11.6094265,1
79,1441,-15.99083424,-10.92961407,1
79,1473,-15.98372269,-9.057619095,1
79,1505,-13.82932854,-6.815971851,1
79,1537,-10.83824062,-4.132349968,1
79,1569,-9.314980507,-3.060236931,1
79,1601,-10.11473179,-3.26361227,1
79,1633,-9.501993179,-3.688551426,1
79,1665,-8.588167191,-4.200349331,1
79,1697,-8.966209412,-3.889126301,1
79,1729,-8.766309738,-3.836184025,1
79,1761,-8.749358177,-3.730459213,1
79,1793,-8.569656372,-3.47964406,1
79,1825,-7.430294037,-2.911714315,1
79,1857,-6.308389664,-2.03523159,1
79,1889,-5.435440063,-1.575339794,1
79,1921,-5.524907112,-0.6919423342,1
79,1953,-5.513971329,-0.4318108559,1
79,1985,-6.717686176,-1.494995475,1
79,2017,-8.283007622,-2.572699547,1
111,33,-23.34649086,-2.432352066,1
111,65,-23.43151093,-20.35744095,1
111,97,-23.67889595,-20.10427284,1
111,129,-23.54365921,-20.10023308,1
111,161,-23.4461174,-20.23208237,1
111,193,-23.78020859,-21.00339508,1
111,225,-23.6486969,-22.33478737,1
111,257,-22.98272324,-21.67557144,1
111,289,-23.36217117,-21.23806572,1
111,321,-24.35173988,-20.9243927,1
111,353,-25.63846397,-20.88560295,1
111,385,-25.64601326,-23.14151382,1
111,417,-25.40202141,-23.52833939,1
111,449,-26.75692368,-23.42342567,1
111,481,-29.03678703,-23.8268795,1
111,513,-29.3530407,-23.39458275,1
111,545,-28.60507774,-22.27466965,1
111,577,-28.11972809,-20.13286781,1
111,609,-27.71829414,-17.90527344,1
111,641,-27.56672478,-17.50666618,1
111,673,-27.35559082,-17.75466919,1
111,705,-27.14065933,-17.96227455,1
111,737,-26.83041,-17.89330482,1
111,769,-27.2799511,-18.61552811,1
111,801,-28.49165154,-18.65516281,1
111,833,-29.55104637,-18.51931381,1
111,865,-28.56582451,-17.83908844,1
111,897,-25.76125336,-16.69476128,1
111,929,-23.98104858,-15.38952637,1
111,961,-22.41764641,-15.42179012,1
111,993,-21.32976532,-15.59707642,1
111,1025,-21.28211784,-16.05828667,1
111,1057,-21.58150101,-16.31011963,1
111,1089,-21.08332253,-15.04216099,1
111,1121,-21.99667549,-13.49538422,1
111,1153,-23.15464783,-12.00485897,1
111,1185,-22.26950455,-12.48028755,1
111,1217,-21.55147934,-12.07714558,1
111,1249,-20.88192177,-12.26948643,1
111,1281,-19.50239372,-10.32769012,1
111,1313,-18.07467461,-8.613222122,1
111,1345,-16.89505196,-8.67821312,1
111,1377,-15.04882908,-9.020630836,1
111,1409,-13.65375042,-8.579909325,1
111,1441,-13.58631706,-10.17326641,1
111,1473,-12.6499033,-7.646494865,1
111,1505,-11.33461094,-4.517445564,1
111,1537,-9.197528839,-1.692313194,1
111,1569,-8.88893795,-3.874985695,1
111,1601,-8.936849594,-4.718043804,1
111,1633,-8.294117928,-4.263713837,1
111,1665,-7.955605507,-4.383448124,1
111,1697,-8.416744232,-4.709833622,1
111,1729,-8.304030418,-4.305102348,1
111,1761,-7.974710464,-3.749046564,1
111,1793,-7.827553272,-3.400367022,1
111,1825,-5.807147026,-2.932387114,1
111,1857,-5.467180252,-2.801069975,1
111,1889,-6.104739189,-2.172721148,1
111,1921,-5.824483871,-0.3894896507,1
111,1953,-6.479757309,-1.222736835,1
111,1985,-6.550173759,-1.059622884,1
111,2017,-6.237038136,-1.043602228,1
143,33,-21.32576942,-2.789480209,1
143,65,-20.69360542,-19.00593567,1
143,97,-22.82837677,-20.80787849,1
143,129,-22.72324944,-21.12696457,1
143,161,-22.47597504,-20.8517437,1
143,193,-22.56402588,-21.41095924,1
143,225,-22.27309799,-22.9373455,1
143,257,-21.49002266,-21.50245476,1
143,289,-23.5101757,-20.52332687,1
143,321,-24.78769112,-19.70065689,1
143,353,-26.24976158,-19.82898331,1
143,385,-27.51303673,-21.42204285,1
143,417,-26.46429253,-22.63146591,1
143,449,-26.7889328,-23.43192482,1
143,481,-28.94868088,-22.94436455,1
143,513,-29.9136982,-22.43340683,1
143,545,-29.37409973,-21.98240089,1
143,577,-28.40218925,-20.30662346,1
143,609,-28.01795197,-18.47457886,1
143,641,-28.01296616,-17.89683914,1
143,673,-27.81370544,-18.56284714,1
143,705,-27.83794212,-17.69584656,1
143,737,-27.86087036,-17.39159966,1
143,769,-28.61803436,-17.8298645,1
143,801,-28.52002716,-17.9135685,1
143,833,-28.16607475,-17.80914879,1
143,865,-27.39231873,-17.59977341,1
143,897,-25.47553253,-16.56447601,1
143,929,-23.62311745,-14.81026077,1
143,961,-22.29073715,-14.74016666,1
143,993,-21.77999306,-16.18206215,1
143,1025,-21.43281746,-17.2539463,1
143,1057,-21.9703064,-16.99571609,1
143,1089,-21.4336586,-15.49812317,1
143,1121,-21.41740227,-14.22735405,1
143,1153,-23.0591259,-12.7089386,1
143,1185,-23.25875473,-11.60398006,1
143,1217,-21.99334335,-10.52974319,1
143,1249,-19.84944916,-10.31261635,1
143,1281,-18.64274025,-9.440793037,1
143,1313,-17.01006508,-8.458374023,1
143,1345,-15.75268936,-7.728824615,1
143,1377,-15.01456165,-8.106748581,1
143,1409,-13.42075253,-8.898532867,1
143,1441,-12.37742519,-9.901386261,1
143,1473,-10.71283817,-7.562151432,1
143,1505,-10.02915192,-3.484096527,1
143,1537,-9.637664795,-0.4230265617,1
143,1569,-9.59698391,-5.147947311,1
143,1601,-9.237295151,-5.465865135,1
143,1633,-8.760288239,-4.419714928,1
143,1665,-8.483855247,-4.8099823,1
143,1697,-8.565797806,-5.465628624,1
143,1729,-8.59672451,-4.623093605,1
143,1761,-8.51374054,-4.32593298,1
143,1793,-8.61177063,-4.33128643,1
143,1825,-6.687186241,-4.418038368,1
143,1857,-6.134726048,-4.029243946,1
143,1889,-6.332307339,-2.965414524,1
143,1921,-6.606074333,-2.683800936,1
143,1953,-7.522018433,-2.134927273,1
143,1985,-8.264995575,-0.7003177404,1
143,2017,-8.568958282,-0.6226302385,1
175,33,-26.47081566,-3.592485428,1
175,65,-20.71525764,-19.51721573,1
175,97,-20.93396568,-20.88481903,1
175,129,-21.56302643,-21.29301071,1
175,161,-21.80404663,-21.38784027,1
175,193,-22.03704262,-21.5822773,1
175,225,-22.31914711,-21.57059479,1
175,257,-22.18673325,-20.68040657,1
175,289,-23.14492798,-20.37314034,1
175,321,-23.94235229,-20.00292778,1
175,353,-25.17954254,-20.52225685,1
175,385,-25.61273575,-21.46987915,1
175,417,-25.85341835,-21.88142395,1
175,449,-25.78601074,-22.18173218,1
175,481,-26.46879768,-22.26372719,1
175,513,-28.88448334,-22.11433792,1
175,545,-29.00326538,-21.94775581,1
175,577,-28.66281891,-21.34350777,1
175,609,-28.62746811,-20.17486191,1
175,641,-28.52213478,-18.76893234,1
175,673,-28.75397301,-19.37207603,1
175,705,-27.95684814,-18.94932175,1
175,737,-27.93639565,-18.25217056,1
175,769,-27.49344254,-18.5789566,1
175,801,-27.15856934,-18.15791512,1
175,833,-26.74748611,-17.10133171,1
175,865,-25.9630146,-17.5112114,1
175,897,-25.50601196,-17.20907402,1
175,929,-23.76505089,-16.15460205,1
175,961,-22.22424126,-15.24226189,1
175,993,-22.06537247,-17.18445396,1
175,1025,-21.74416351,-17.79382515,1
175,1057,-20.94872856,-16.78477859,1
175,1089,-20.63377953,-15.11236477,1
175,1121,-20.67442894,-13.81268787,1
175,1153,-22.05027008,-12.46328163,1
175,1185,-23.28023529,-10.63123322,1
175,1217,-20.71961594,-9.657186508,1
175,1249,-18.26867294,-9.403808594,1
175,1281,-17.1248951,-8.866473198,1
175,1313,-16.1432457,-8.087558746,1
175,1345,-15.16404343,-6.954832077,1
175,1377,-14.34866714,-7.656756878,1
175,1409,-12.81801987,-8.229311943,1
175,1441,-11.24091625,-7.657234669,1
175,1473,-9.390961647,-5.911121845,1
175,1505,-8.792684555,-2.489098549,1
175,1537,-9.043532372,-3.495023966,1
175,1569,-10.37486839,-6.164899349,1
175,1601,-10.40390015,-5.94166708,1
175,1633,-10.0902338,-5.342992783,1
175,1665,-9.474737167,-5.21086216,1
175,1697,-9.190034866,-5.064370632,1
175,1729,-9.402968407,-4.814107418,1
175,1761,-10.80533123,-5.001172066,1
175,1793,-9.331113815,-4.314624786,1
175,1825,-7.108679295,-3.430774927,1
175,1857,-7.145147324,-3.160217524,1
175,1889,-7.701532364,-3.273952007,1
175,1921,-8.126251221,-3.229290009,1
175,1953,-8.527935028,-1.673858643,1
175,1985,-8.999315262,-0.7881321907,1
175,2017,-8.201990128,-1.089594603,1
207,33,-23.23577118,-4.359119415,1
207,65,-21.86869621,-19.88572311,1
207,97,-21.24648857,-21.21362686,1
207,129,-21.66795349,-21.01408386,1
207,161,-21.84234619,-21.25164413,1
207,193,-22.18810844,-21.7761631,1
207,225,-22.94993591,-20.7937603,1
207,257,-23.05357552,-19.47437286,1
207,289,-22.47941399,-19.90123558,1
207,321,-22.86800003,-20.74342728,1
207,353,-23.92872047,-21.47285652,1
207,385,-24.07223129,-22.04182816,1
207,417,-25.26519394,-22.27210808,1
207,449,-26.66705132,-22.27371979,1
207,481,-27.68629265,-21.81655312,1
207,513,-28.26026917,-20.82191086,1
207,545,-28.21681786,-20.61324501,1
207,577,-28.57899475,-22.28630066,1
207,609,-28.43605804,-22.12077332,1
207,641,-28.40419388,-19.92588806,1
207,673,-28.21418571,-20.05085564,1
207,705,-27.60793304,-20.27867889,1
207,737,-27.33832169,-19.89683914,1
207,769,-27.03415298,-19.59446907,1
207,801,-26.7439785,-18.65002632,1
207,833,-25.7566433,-17.18818474,1
207,865,-24.34589958,-17.95430183,1
207,897,-24.15767097,-18.22092247,1
207,929,-23.32366562,-16.71645164,1
