PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 7, filenames: A:[7]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[8]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-29.62368011,38.49443817,1
47,65,-22.32232285,26.0608902,1
47,97,-19.10713387,-12.32078934,1
47,129,-17.36158371,-20.12821007,1
47,161,-16.82276535,-21.79441452,1
47,193,-17.0241909,-19.53102875,1
47,225,-14.90113354,-18.66777229,1
47,257,-14.0140543,-16.82740593,1
47,289,-15.20300102,-16.7488308,1
47,321,-16.25023651,-16.99182892,1
47,353,-16.58788681,-16.28410149,1
47,385,-14.90758038,-14.93492413,1
47,417,-13.07904625,-14.28864765,1
47,449,-11.43953323,-13.25593948,1
47,481,-11.69247055,-13.61996174,1
47,513,-12.19604206,-14.27243042,1
47,545,-13.37577915,-14.01541805,1
47,577,-14.3519001,-12.93166733,1
47,609,-13.49227047,-12.91913605,1
47,641,-13.14875698,-12.0500555,1
47,673,-13.6009016,-12.29850674,1
47,705,-13.76177597,-13.10452938,1
47,737,-12.31911564,-13.38434982,1
47,769,-11.13488674,-13.23400116,1
47,801,-10.72628593,-12.03766632,1
47,833,-11.11892605,-9.092405319,1
47,865,-11.90701771,-8.70364666,1
47,897,-12.75537586,-10.76987934,1
47,929,-12.77728939,-11.2746582,1
47,961,-12.31476498,-11.02457047,1
47,993,-11.74195957,-9.808685303,1
47,1025,-10.41355324,-8.853147507,1
47,1057,-10.00668621,-9.153475761,1
47,1089,-9.643099785,-8.926795959,1
47,1121,-7.324005127,-8.658062935,1
47,1153,-5.720471382,-10.70519447,1
47,1185,-8.322130203,-10.16426086,1
47,1217,-11.55254269,-7.751613617,1
47,1249,-12.41282654,-8.552873611,1
47,1281,-12.58196163,-8.3474617,1
47,1313,-13.05081272,-7.360417366,1
47,1345,-14.33621502,-4.612719536,1
47,1377,-12.86616325,-5.297259331,1
47,1409,-11.39189529,-6.064166069,1
47,1441,-12.63881207,-6.181563854,1
47,1473,-14.59802055,-5.597320557,1
47,1505,-13.97007942,-4.341769695,1
47,1537,-13.72238159,-2.936805248,1
47,1569,-12.17276955,-2.74368906,1
47,1601,-11.06307316,-2.456886292,1
47,1633,-11.33704758,-2.391414404,1
47,1665,-11.64886093,-2.736063719,1
47,1697,-11.09192753,-3.208316326,1
47,1729,-10.81590462,-4.393704414,1
47,1761,-11.17922592,-4.580621243,1
47,1793,-9.543352127,-1.675302982,1
47,1825,-7.311341286,-1.534081936,1
47,1857,-7.742676735,-0.8966252804,1
47,1889,-7.996469498,-0.09503746033,1
47,1921,-6.877041817,-0.06307399273,1
47,1953,-8.609584808,1.109570265,1
47,1985,-8.561084747,3.462417841,1
47,2017,-4.679143906,-0.5874145031,1
79,33,-11.08430862,18.91169548,1
79,65,-38.50994492,-4.843491554,1
79,97,-16.7555809,-12.95340157,1
79,129,-17.32486153,-19.42299652,1
79,161,-16.98004913,-20.48035812,1
79,193,-16.63238525,-18.87858582,1
79,225,-16.75462532,-19.47037315,1
79,257,-15.88314629,-17.80659485,1
79,289,-15.87664986,-17.48782349,1
79,321,-16.98625946,-17.04501724,1
79,353,-17.1763916,-16.31727409,1
79,385,-16.38288498,-15.85866928,1
79,417,-14.89426994,-15.62691689,1
79,449,-13.48396301,-14.78228951,1
79,481,-13.43798161,-14.59030437,1
79,513,-13.50029564,-14.10650349,1
79,545,-13.82289124,-13.97911263,1
79,577,-13.86069489,-13.89430714,1
79,609,-13.32313919,-13.29927349,1
79,641,-13.42335129,-12.91995144,1
79,673,-13.9857378,-12.61147404,1
79,705,-15.23054028,-12.6800499,1
79,737,-13.60628986,-12.43925953,1
79,769,-12.10868931,-12.20571613,1
79,801,-10.7355547,-11.41108608,1
79,833,-11.24028873,-9.99432373,1
79,865,-11.51182652,-9.716405869,1
79,897,-11.60398483,-10.66105747,1
79,929,-11.75864792,-11.05966949,1
79,961,-11.68683147,-11.22010708,1
79,993,-11.39470959,-10.83726597,1
79,1025,-11.05766106,-10.13040733,1
79,1057,-10.98346519,-8.943819046,1
79,1089,-10.10324192,-8.541994095,1
79,1121,-7.902033806,-7.759613037,1
79,1153,-6.106626034,-8.955369949,1
79,1185,-7.47974968,-10.21507549,1
79,1217,-9.469953537,-8.893515587,1
79,1249,-10.40708637,-9.9621315,1
79,1281,-11.00680828,-9.370272636,1
79,1313,-11.54888248,-7.280076981,1
79,1345,-12.94723606,-4.476320744,1
79,1377,-11.92028618,-5.258244991,1
79,1409,-11.5705471,-6.330149174,1
79,1441,-12.04584122,-5.912153721,1
79,1473,-12.33682442,-5.726537704,1
79,1505,-12.40330219,-5.340694904,1
79,1537,-12.53229427,-4.515503407,1
79,1569,-11.89293194,-4.984257221,1
79,1601,-11.32332039,-4.463514328,1
79,1633,-10.24710178,-3.686317444,1
79,1665,-10.77842808,-3.467556953,1
79,1697,-9.722036362,-3.209363937,1
79,1729,-8.379511833,-3.420906782,1
79,1761,-7.598890305,-2.996754646,1
79,1793,-6.669268131,-0.7485156059,1
79,1825,-5.23466444,-0.2639307976,1
79,1857,-6.44619751,-0.2663683891,1
79,1889,-6.262333393,0.6310530901,1
79,1921,-5.115364075,0.5835297704,1
79,1953,-6.061878204,0.8907655478,1
79,1985,-6.187396049,2.166657925,1
79,2017,-4.466770649,0.09230858088,1
111,33,-33.19647217,15.2797842,1
111,65,-19.13926315,-14.24541187,1
111,97,-17.55986786,-15.80047035,1
111,129,-17.51703262,-18.53920174,1
111,161,-16.48322678,-19.23690414,1
111,193,-16.55370903,-18.01955605,1
111,225,-17.44082451,-17.58176994,1
111,257,-16.98728752,-17.66137505,1
111,289,-16.97167015,-17.4368248,1
111,321,-16.79999924,-16.52564812,1
111,353,-15.95010567,-15.81920242,1
111,385,-16.25682068,-15.85661697,1
111,417,-15.92515755,-15.89457321,1
111,449,-14.99989891,-15.49490833,1
111,481,-14.74948883,-15.02041817,1
111,513,-14.21088791,-14.60031509,1
111,545,-13.60672379,-14.09663868,1
111,577,-13.21222878,-14.29365635,1
111,609,-12.73092365,-14.22166157,1
111,641,-12.93787956,-13.58769512,1
111,673,-14.02110767,-12.10149765,1
111,705,-14.564991,-12.19106293,1
111,737,-14.18984127,-11.66741943,1
111,769,-13.2925148,-11.02443981,1
111,801,-12.1857729,-11.05425453,1
111,833,-12.15721321,-10.53877258,1
111,865,-11.72023201,-10.14252567,1
111,897,-11.0999136,-10.59682178,1
111,929,-10.82177448,-12.17555237,1
111,961,-11.41907978,-12.08899975,1
111,993,-10.90924644,-11.47282887,1
111,1025,-10.74277973,-10.63101578,1
111,1057,-10.34228802,-9.03497982,1
111,1089,-9.070959091,-7.785048485,1
111,1121,-7.786990166,-7.415957451,1
111,1153,-6.733470917,-7.574015617,1
111,1185,-7.787379265,-8.145123482,1
111,1217,-8.696136475,-8.643490791,1
111,1249,-8.855242729,-9.024399757,1
111,1281,-9.959428787,-8.447916985,1
111,1313,-11.03156567,-7.470106602,1
111,1345,-11.35216236,-6.95056057,1
111,1377,-10.89247513,-6.706988335,1
111,1409,-10.63050842,-6.277730465,1
111,1441,-10.75983429,-5.882818699,1
111,1473,-10.86418056,-5.942534447,1
111,1505,-10.46193027,-5.213617802,1
111,1537,-10.64770412,-5.189973831,1
111,1569,-11.56134224,-5.680268288,1
111,1601,-11.73513508,-5.193671703,1
111,1633,-9.567317963,-4.328309059,1
111,1665,-8.709615707,-4.36236763,1
111,1697,-8.218229294,-3.703365803,1
111,1729,-7.562703133,-2.786596775,1
111,1761,-6.703244209,-1.869701862,1
111,1793,-5.153497696,-1.043113232,1
111,1825,-5.754200935,0.003504753113,1
111,1857,-6.123291969,0.2491497099,1
111,1889,-5.571763039,0.6726884246,1
111,1921,-3.226734638,1.040025711,1
111,1953,-4.725850105,0.3590717912,1
111,1985,-4.426654339,1.980033159,1
111,2017,-4.658017635,0.2658993006,1
143,33,-16.19613266,2.534557343,1
143,65,-17.60523224,-13.03884792,1
143,97,-16.92572403,-18.21471786,1
