PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 51, filenames: A:[51]MAX_TimeSrs025_TgUtrmcherry.avi & B:[52]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.005815268,1.829833746,1
47,65,1.395824432,-0.1989379823,1
47,97,0.828401804,-0.43471241,1
47,129,0.4914474487,-0.2430152297,1
47,161,0.405184269,0.2924615145,1
47,193,0.272667408,0.3634809852,1
47,225,0.2347762585,0.3844490051,1
47,257,0.06974005699,0.4492647648,1
47,289,0.02877104282,0.03211271763,1
47,321,-0.1412295699,0.6781923771,1
47,353,-0.1987835169,1.609138489,1
47,385,-0.5096126795,1.349241257,1
47,417,-0.6189792156,0.7005647421,1
47,449,-0.2457509041,-0.1953390241,1
47,481,-0.1772552729,-0.3389763832,1
47,513,-0.2843515277,-0.5461262465,1
47,545,-0.1246809959,-0.5867991447,1
47,577,0.1997225285,-0.2226776481,1
47,609,0.1422729194,0.1693692654,1
47,641,-0.5141798258,-0.5170782208,1
47,673,-0.4834221601,0.1383833885,1
47,705,-0.1474655271,1.447051287,1
47,737,0.4032940865,1.543489456,1
47,769,-10.96029472,1.614350796,1
47,801,-1.029991269,-1.039979577,1
47,833,-0.01591157913,-1.194146514,1
47,865,1.207602382,-0.5452772975,1
47,897,0.9012162685,0.08580733091,1
47,929,-0.3764322996,-0.2673361897,1
47,961,3.926189184,-0.5800888538,1
47,993,0.7199630737,-0.2174496651,1
47,1025,4.429362297,-0.1449525356,1
47,1057,6.484517097,-2.22982645,1
47,1089,2.988722324,-1.675012112,1
47,1121,3.173665047,-1.856212616,1
47,1153,1.562957048,-1.427877426,1
47,1185,0.1613665819,-0.625849843,1
47,1217,-0.65848279,-0.5238642693,1
47,1249,-0.9371834993,-2.936035872,1
47,1281,-1.185030937,-3.294647694,1
47,1313,-1.162921786,3.325371504,1
47,1345,0.1788285375,-7.699487686,1
47,1377,-0.8966495991,-3.521996498,1
47,1409,-1.480020523,-9.489199638,1
47,1441,-5.704287529,-6.727596283,1
47,1473,-1.752597809,-5.612136364,1
47,1505,-2.918269396,-4.732449055,1
47,1537,-1.196498036,-2.734781265,1
47,1569,0.09426432848,-4.284503937,1
47,1601,0.05027848482,-5.642733574,1
47,1633,-0.438970685,-4.052174091,1
47,1665,-0.3398868442,-1.612466693,1
47,1697,-0.5568534136,-0.565435946,1
47,1729,-1.405683279,-0.3273986578,1
47,1761,-1.991502404,-0.738067627,1
47,1793,-1.834281325,-1.433187008,1
47,1825,-1.287916303,-0.9292939305,1
47,1857,-1.390161633,-0.499361366,1
47,1889,-2.164595127,-0.210013926,1
47,1921,-1.550068736,-0.377974093,1
47,1953,-1.613466978,-0.1618172824,1
47,1985,-2.5660882,0.5133989453,1
47,2017,-3.448335886,0.06051564217,1
79,33,-0.379907012,0.3530713916,1
79,65,0.8534492254,0.2980306149,1
79,97,0.9287290573,0.2929116786,1
79,129,-0.005920886993,0.1039889008,1
79,161,0.314340651,-0.08113385737,1
79,193,0.2365317941,-0.05942235887,1
79,225,0.07837325335,-0.2137228847,1
79,257,-0.03526984155,-0.1747511029,1
79,289,-0.1931461692,-0.4830974936,1
79,321,-0.2671061754,-0.01065114141,1
79,353,-0.1402031481,0.9355163574,1
79,385,-0.6379470825,1.184345007,1
79,417,-0.8611595631,0.8712902069,1
79,449,-0.04778838158,0.2708050013,1
79,481,0.4267218113,0.2230182886,1
79,513,-0.260453105,-0.08087995648,1
79,545,-0.386503458,0.01051938534,1
79,577,0.106977433,0.3757788539,1
79,609,0.5067999959,0.1072035581,1
79,641,0.4099362493,-0.749956429,1
79,673,0.578676343,-1.424435139,1
79,705,0.4231026769,-0.5217100382,1
79,737,-0.3009233773,-0.5091733932,1
79,769,-0.1063435227,-0.1976517141,1
79,801,-0.3100571036,-0.614307642,1
79,833,-0.4887647629,-0.570563972,1
79,865,-0.0305160284,-0.3074733615,1
79,897,0.3362724781,-0.3122502565,1
79,929,0.4614622891,-0.08244803548,1
79,961,6.037692547,1.723073602,1
79,993,1.988473415,0.1312759519,1
79,1025,4.054544449,0.1932944357,1
79,1057,4.594350815,0.04061126709,1
79,1089,3.874426365,0.3087197542,1
79,1121,4.200058937,-0.8285825253,1
79,1153,2.51338315,-0.9012294412,1
79,1185,1.361178041,-0.6489390135,1
79,1217,0.556422472,-1.507288337,1
79,1249,-0.3036901355,-2.643158436,1
79,1281,-0.4502232075,-2.63762784,1
79,1313,-0.1605571508,-0.4314227104,1
