PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 9, filenames: A:[9]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
237,127,-1.442003012,2.322806835,1
237,159,1.721835852,1.055036068,1
237,191,2.030927181,-0.1416722536,1
237,223,2.409774303,0.4918565452,1
237,255,0.6622467041,0.4205448627,1
237,287,-0.149236083,0.2964896262,1
237,319,-0.3675527573,0.1658854485,1
237,351,-1.626170635,-0.5339466333,1
237,383,-2.576638699,0.6529545784,1
237,415,NaN,NaN,2
237,447,0.09754991531,1.129279971,1
237,479,-0.2907171249,1.194155693,1
237,511,-2.211599112,0.3338061571,1
237,543,-3.080878258,0.2411221266,1
237,575,-0.8093385696,1.589574337,1
237,607,-0.7481873035,-0.004578590393,1
237,639,-1.591561317,1.423523664,1
237,671,-3.716898441,0.4024701118,1
237,703,-1.758832932,0.2729437351,1
237,735,-2.39467907,-1.373756886,1
237,767,-0.8612658978,-3.748039722,1
237,799,-0.01706242561,-4.499249458,1
237,831,1.039236307,-3.69224453,1
237,863,0.3503952026,-1.914330244,1
237,895,0.4330043793,0.7091014385,1
237,927,3.0066185,0.7231639624,1
237,959,4.15147686,-0.5812101364,1
237,991,3.519730091,-1.415307641,1
237,1023,2.270514965,-1.574359894,1
237,1055,2.759216309,-2.34048605,1
237,1087,4.853887081,-1.860136032,1
237,1119,5.329528332,0.175219655,1
237,1151,5.490633011,0.9264543056,1
237,1183,4.446595192,0.5209794044,1
237,1215,3.055287838,0.2803143859,1
237,1247,3.23064661,-0.473811686,1
237,1279,4.197228432,0.08261108398,1
237,1311,4.532796383,1.10204494,1
237,1343,3.149882555,-0.3944135308,1
237,1375,1.697100878,-2.02498436,1
237,1407,1.701251507,-2.084211588,1
237,1439,3.248034477,-1.529594183,1
237,1471,4.400403976,-1.256739497,1
237,1503,6.733535767,-0.04976910353,1
237,1535,6.787403584,0.5314731002,1
237,1567,4.346294403,0.31104213,1
237,1599,2.910209656,-0.735126853,1
237,1631,2.438048601,-1.156719208,1
237,1663,2.82033658,-1.253071904,1
237,1695,3.234363317,0.3267493248,1
237,1727,3.10239625,-0.3495726585,1
237,1759,3.400334835,-0.680339098,1
237,1791,4.400774956,-0.7920435071,1
237,1823,5.12461853,-1.344186068,1
237,1855,5.009198189,-0.3701996803,1
237,1887,4.417924881,-0.07619935274,1
237,1919,1.881011963,0.6613196135,1
269,127,1.456390142,2.128700733,1
269,159,1.685034871,1.205407023,1
269,191,1.681656241,0.7655307651,1
269,223,2.017273903,0.0875262022,1
269,255,2.602442503,0.6593885422,1
269,287,2.272773266,0.5540280938,1
269,319,1.229870439,0.729526639,1
269,351,0.2638348937,0.9470815659,1
269,383,0.3548308611,1.487837791,1
269,415,1.445973277,0.6466351151,1
269,447,1.938781261,0.742005825,1
269,479,1.666706085,1.384564161,1
269,511,0.5389841795,2.932150126,1
269,543,0.5138577223,1.59469378,1
269,575,0.2025156021,1.397391915,1
269,607,0.6153740883,1.02439189,1
269,639,-0.04507130384,2.055800676,1
269,671,-1.015058041,1.221005321,1
269,703,-0.5078780651,0.699442029,1
269,735,-2.307348251,-0.6930242777,1
269,767,-1.054725885,-2.138647795,1
269,799,1.167292833,-2.755018711,1
269,831,1.803717852,-2.84195447,1
269,863,2.323183537,-2.081692696,1
269,895,3.195486546,-0.3644490242,1
269,927,4.351692677,-0.1332683563,1
269,959,4.444020271,-2.065887928,1
269,991,4.570014477,-2.579134941,1
269,1023,4.664919853,-1.752833128,1
269,1055,4.884580135,-1.663891315,1
269,1087,4.852609634,-0.618748188,1
269,1119,5.150424957,-0.1367418766,1
269,1151,5.683773994,0.1923248768,1
269,1183,5.284546852,-0.6972002983,1
269,1215,4.445842266,-1.59710443,1
269,1247,3.751867294,-1.552896142,1
269,1279,5.110890865,-0.4566430449,1
269,1311,5.648672104,1.663302064,1
269,1343,4.911298275,-0.8497561216,1
269,1375,3.985932827,-2.713313103,1
269,1407,3.511898756,-2.616168976,1
269,1439,4.129620075,-2.113266945,1
269,1471,4.697482586,-1.054281712,1
269,1503,4.358267784,-0.6203961968,1
269,1535,4.852862835,-1.2100811,1
269,1567,4.126609325,-1.535014629,1
269,1599,3.367315292,-2.003227234,1
269,1631,2.942227125,-1.031548023,1
269,1663,2.437575579,-1.547878265,1
269,1695,2.701779604,-1.078358412,1
269,1727,2.772311926,-0.3711880445,1
269,1759,2.370752573,-0.6721479893,1
269,1791,2.394983292,-0.6268153191,1
269,1823,2.838440895,-1.033517122,1
269,1855,3.236222267,-1.131455183,1
269,1887,3.467045307,-0.5164178014,1
269,1919,3.643913984,-0.05138588324,1
301,127,2.070120811,1.034328938,1
301,159,1.800965071,1.333501577,1
301,191,1.735444307,0.1501152813,1
301,223,1.986994743,-0.6750621796,1
301,255,2.323475599,-0.1621642113,1
301,287,1.846410036,0.677755177,1
301,319,1.580937505,0.1394065619,1
301,351,1.321863294,0.6508463621,1
301,383,2.166535616,2.472020864,1
301,415,2.88308382,2.698645592,1
301,447,2.853451252,2.084017754,1
301,479,2.344534636,1.983977795,1
301,511,2.115189552,4.26227808,1
301,543,2.441648483,2.077577829,1
301,575,2.354635715,2.58404541,1
301,607,1.930755138,1.36554575,1
301,639,1.174386978,1.249898076,1
301,671,0.4764801264,0.8687896132,1
301,703,0.003515303135,-0.04932335019,1
301,735,-0.5580683947,-0.647218585,1
301,767,0.1486700773,-1.468808651,1
301,799,2.127486706,-2.12997818,1
301,831,3.053322315,-2.303516388,1
301,863,2.660960436,-2.454934597,1
301,895,3.674988508,-2.374704838,1
301,927,4.464488983,-1.20349884,1
301,959,4.636789799,-2.370275736,1
301,991,4.803772449,-2.445774078,1
301,1023,5.09718132,-2.372177601,1
301,1055,5.536340237,-1.911690116,1
301,1087,5.274456024,-2.041843653,1
301,1119,5.408628464,-2.35776186,1
301,1151,5.932585239,-1.024122715,1
301,1183,5.789190292,0.8674349785,1
301,1215,5.631637573,-1.195670128,1
301,1247,5.669426441,-1.340585709,1
301,1279,5.987300873,-0.9253548384,1
301,1311,5.913139343,-0.5967882872,1
301,1343,6.244827271,-0.7803521156,1
301,1375,6.011122704,-1.655968666,1
301,1407,4.743618011,-2.391414881,1
301,1439,4.543979645,-1.523607612,1
301,1471,4.704508305,-0.2909850478,1
301,1503,4.402608871,-0.8157963157,1
301,1535,4.109674454,-2.135247469,1
301,1567,3.728846073,-2.07958889,1
301,1599,2.652011871,-1.160529256,1
301,1631,2.546551228,-0.6839255095,1
301,1663,2.268079519,-1.275800943,1
301,1695,2.608937263,-1.563698649,1
301,1727,2.774866581,-0.7314801216,1
301,1759,2.623263597,-0.6951133609,1
301,1791,1.988216877,-0.7839717865,1
301,1823,0.6089894772,-0.5159319043,1
301,1855,1.692407846,-0.7661584616,1
301,1887,2.852944374,-0.7876811028,1
301,1919,NaN,NaN,2
333,127,1.383065104,0.6352488995,1
333,159,1.694651842,-0.0827446878,1
333,191,1.942653656,-0.2490815222,1
333,223,2.165298939,-0.863417089,1
333,255,2.137765884,0.3771671057,1
333,287,1.399095058,1.598481178,1
333,319,1.771485806,0.9340023994,1
333,351,1.604416728,1.019185185,1
333,383,2.184618473,2.965319157,1
333,415,3.536737204,3.311300755,1
333,447,3.512013197,2.554934502,1
333,479,3.243259192,2.353821278,1
333,511,3.692845106,2.726419926,1
333,543,4.269889355,1.334870815,1
333,575,3.393425703,4.252156734,1
333,607,1.586335659,2.7103405,1
333,639,1.59504199,1.220224261,1
333,671,1.552095056,0.4373418093,1
333,703,1.018495679,-0.5821009278,1
333,735,0.7965193987,-0.9793365598,1
333,767,0.8056558967,-1.376838088,1
333,799,NaN,NaN,2
333,831,2.664792061,-2.680114746,1
333,863,3.280440569,-3.329683781,1
333,895,2.063173294,-2.315685272,1
333,927,4.273159981,-2.353769541,1
333,959,4.76577425,-2.388752937,1
333,991,4.736244202,-2.466471195,1
333,1023,5.071736336,-2.375989676,1
333,1055,5.822945118,-2.111127853,1
333,1087,5.085796833,-2.401472807,1
333,1119,5.311789513,-2.376714945,1
333,1151,5.817261219,-0.7966480255,1
333,1183,5.673890114,-0.8355193138,1
333,1215,5.923556328,-1.89116776,1
333,1247,6.046128273,-1.689852715,1
333,1279,5.964419365,-1.546657801,1
333,1311,5.840770721,-1.451772213,1
333,1343,6.631934166,-1.473803759,1
333,1375,7.581124783,-1.177880526,1
333,1407,5.857140064,-1.123629332,1
333,1439,4.785665512,-1.364670992,1
333,1471,4.341412544,-0.4568023682,1
333,1503,4.017950058,-0.6997141838,1
333,1535,3.571285725,-2.333979607,1
333,1567,3.129290581,-1.224725962,1
333,1599,2.941441059,0.1322607994,1
333,1631,2.785400152,-1.591631413,1
333,1663,2.523234367,-1.872966886,1
333,1695,2.701779366,-1.618514657,1
333,1727,2.52091074,-0.9127136469,1
333,1759,2.070917845,-0.9037454128,1
333,1791,1.294614792,-1.782183409,1
333,1823,0.4411735535,-1.180923223,1
333,1855,1.384954453,-0.5925028324,1
333,1887,2.52069521,-0.5553812981,1
333,1919,4.413544178,0.1419172585,1
365,127,1.336763978,0.483315289,1
365,159,1.426823974,-0.1412211657,1
365,191,1.500233054,0.01279782131,1
365,223,1.485882282,0.3470772803,1
365,255,1.501813889,0.9491591454,1
