 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,5454.402,119.192,98.910,137.972,310.464,124.408,55.822,177.583,3.722,100
2,4495.431,119.770,98.873,138.778,300.973,110.776,51.670,3.353,3.461,100
3,3302.499,121.038,94.861,136.450,257.815,98.619,42.637,0.462,3.031,100
4,2694.084,122.171,95.390,135.909,230.804,88.178,38.901,178.696,2.750,100
5,2257.376,123.334,96.421,135.661,205.328,80.896,35.529,176.083,2.512,100
6,1481.127,126.764,93.182,134.629,167.199,67.415,27.973,175.028,1.967,100
7,1203.842,128.968,92.394,133.518,150.075,62.123,24.673,177.012,1.725,100
8,1006.481,131.274,92.112,133.772,134.998,54.964,23.315,179.940,1.521,100
9,862.366,133.545,92.346,133.413,126.354,51.277,21.413,179.526,1.359,100
10,762.805,135.578,92.629,133.219,114.576,46.366,20.947,178.722,1.250,100
11,636.780,138.356,93.124,133.267,103.771,41.987,19.310,1.500,1.111,100
12,557.385,140.239,92.498,133.239,97.536,39.031,18.183,178.743,1.004,100
13,504.842,141.049,93.273,132.842,91.334,36.646,17.540,179.175,1.011,100
14,484.148,141.640,93.992,132.873,87.628,34.725,17.752,179.610,0.979,100
15,465.954,142.002,94.266,133.088,87.563,34.451,17.221,0.394,0.950,100
