PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 42, filenames: A:[42]AVI_Pos018_TimeSrs0018_TgUtrmcherry_K4K8MO.avi & B:[43]AVI_Pos018_TimeSrs0018_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,NaN,NaN,2
47,97,NaN,NaN,2
47,129,0.3110780716,-0.6494920254,1
47,161,0.9877562523,2.965788364,1
47,193,NaN,NaN,2
47,225,2.210110188,4.095246792,1
47,257,1.204926491,4.717025757,1
47,289,0.8446038365,4.074054241,1
47,321,-0.9481847882,3.651088715,1
47,353,-2.990486622,6.701649666,1
47,385,NaN,NaN,2
47,417,NaN,NaN,2
47,449,2.204371214,0.6440308094,1
47,481,0.6573731899,1.147458792,1
47,513,-2.249000311,0.5346713066,1
47,545,-2.027052164,2.178227901,1
47,577,-0.5431123972,3.425314903,1
47,609,0.7026028633,2.265043259,1
47,641,1.731971979,2.831517458,1
47,673,0.2263836265,0.6909015179,1
47,705,-0.7077251673,1.305031419,1
47,737,-1.195702195,3.688958168,1
47,769,-2.78796649,3.514749289,1
47,801,-2.818843842,4.301276207,1
47,833,-2.925094604,1.807892084,1
47,865,-0.5135149956,2.275132179,1
47,897,1.574190855,0.3810067177,1
47,929,1.045680285,-0.4903929234,1
47,961,0.03544306755,-0.5726777315,1
47,993,NaN,NaN,2
47,1025,NaN,NaN,2
47,1057,-2.589503765,3.86218214,1
47,1089,NaN,NaN,2
47,1121,-3.199418068,1.702482939,1
47,1153,-3.438703537,-0.5281624198,1
47,1185,-2.859734535,-0.7768047452,1
47,1217,NaN,NaN,2
47,1249,-5.218614578,-1.607429981,1
47,1281,-4.428427219,-4.302902699,1
47,1313,-1.687195778,-2.286481857,1
47,1345,NaN,NaN,2
47,1377,2.296148062,-1.628926873,1
47,1409,0.2711772919,-1.534512043,1
47,1441,-0.8693580031,-0.3403847814,1
47,1473,-0.7401070595,0.4300655127,1
47,1505,0.0622150898,-0.05004513264,1
47,1537,0.8451635838,-1.169026971,1
47,1569,-0.7256772518,-1.226261377,1
47,1601,-1.349015951,-1.297257066,1
47,1633,-0.8960832357,-2.051863909,1
47,1665,-1.107614994,-8.065624237,1
47,1697,-0.7226194143,-8.699451447,1
47,1729,NaN,NaN,2
47,1761,-0.5894631147,-0.5835576057,1
47,1793,0.4791922569,-0.1461652517,1
47,1825,0.6474449635,0.53939116,1
47,1857,0.2147624493,0.6897087097,1
47,1889,NaN,NaN,2
47,1921,-0.005594193935,-0.1332707405,1
47,1953,0.2818126082,-1.446304083,1
47,1985,0.3714131713,-0.0009113550186,1
47,2017,NaN,NaN,2
79,33,5.200593948,5.356670856,1
79,65,4.681564808,2.430225134,1
79,97,3.609747648,1.085656524,1
79,129,3.166512489,0.7818505168,1
79,161,4.170693398,2.357579231,1
79,193,4.658931732,3.839279175,1
79,225,4.472095013,5.982768059,1
79,257,0.947142601,5.354166985,1
79,289,-0.05900630355,3.089082956,1
79,321,-0.9888827801,2.790949821,1
79,353,-1.706225157,4.872820854,1
79,385,-1.694158077,4.977728844,1
79,417,-0.7614612579,3.089065313,1
79,449,0.9401649833,3.835008144,1
79,481,1.574848056,4.386753559,1
79,513,NaN,NaN,2
79,545,-0.6894804835,1.890614748,1
79,577,-0.8430997133,3.289137363,1
79,609,-0.3440327346,3.368284702,1
79,641,0.3103126287,4.35087204,1
79,673,0.2479957342,2.349895477,1
79,705,-0.02489799261,2.244010448,1
79,737,-0.4191316068,2.777999878,1
79,769,-2.038404942,3.650173187,1
79,801,NaN,NaN,2
79,833,3.184878349,5.119366169,1
79,865,2.796889544,6.558969021,1
79,897,NaN,NaN,2
79,929,-0.5495846272,0.7837441564,1
79,961,-0.7218388319,0.3773641586,1
79,993,-0.2346343994,0.9062077999,1
79,1025,0.7995608449,-1.334290266,1
79,1057,-0.08301414549,-1.298639774,1
79,1089,NaN,NaN,2
79,1121,NaN,NaN,2
79,1153,-0.6325743198,0.3615235388,1
79,1185,-0.09204018116,-0.341858983,1
79,1217,-1.969730377,-0.2638417482,1
79,1249,-4.322728634,-0.9616991282,1
79,1281,-3.188508511,-0.5125873089,1
79,1313,-1.64877224,-0.7703330517,1
79,1345,0.4994404018,-1.252010822,1
79,1377,0.9874252081,-2.071919918,1
79,1409,-0.5946961641,-1.215608358,1
79,1441,-0.2532488108,-1.079529524,1
79,1473,0.7716617584,-0.9051105976,1
79,1505,2.825119972,-2.148028374,1
79,1537,1.479111433,-1.971469164,1
79,1569,0.7443286777,-1.214251399,1
79,1601,0.4258721471,-0.7524492741,1
79,1633,1.658886909,-1.672705412,1
79,1665,NaN,NaN,2
79,1697,0.1730195731,-5.945049763,1
79,1729,-0.04712226987,-0.5308728218,1
79,1761,0.2413164675,-0.789963603,1
79,1793,1.089406371,-0.253372252,1
79,1825,1.401106954,-0.2385088503,1
79,1857,4.350660801,-2.518307447,1
79,1889,4.668218136,-3.272988319,1
79,1921,NaN,NaN,2
79,1953,0.6994956732,-0.5793150067,1
79,1985,0.4758968949,-0.5308487415,1
79,2017,0.2352435589,-2.108949661,1
111,33,2.532091379,1.314427376,1
111,65,1.274913073,0.8174757957,1
111,97,1.706259012,0.3241296113,1
111,129,4.075952053,0.04742479324,1
111,161,3.960545063,1.093463302,1
111,193,3.243993759,1.601623178,1
111,225,2.4503901,6.275837898,1
111,257,0.3175071478,5.23636055,1
111,289,0.1667747498,2.997092009,1
111,321,-0.2004708797,2.064099312,1
111,353,-1.32303524,2.183665037,1
111,385,NaN,NaN,2
111,417,-2.146871805,7.123069763,1
111,449,NaN,NaN,2
111,481,3.582744598,6.321745872,1
111,513,3.32815814,2.175495148,1
111,545,0.9366452694,1.941576004,1
111,577,-0.7131819725,2.121556997,1
111,609,-0.5628293157,3.120404482,1
111,641,-1.285140038,4.784938812,1
111,673,-0.2646066844,3.869645357,1
111,705,0.4193935394,1.985497713,1
111,737,0.5092076063,2.027805805,1
111,769,0.7203876972,1.552040219,1
111,801,NaN,NaN,2
111,833,NaN,NaN,2
111,865,2.530416489,7.057742596,1
111,897,0.2845155597,5.656716824,1
111,929,-1.05676496,0.899045229,1
111,961,-0.5751386881,0.1169798374,1
111,993,0.09257417172,-0.6011098027,1
111,1025,0.7770014405,-4.618829727,1
111,1057,NaN,NaN,2
111,1089,NaN,NaN,2
111,1121,1.889808774,-0.6267084479,1
111,1153,-1.405338764,-0.6140629053,1
111,1185,-1.890446544,-0.2561330199,1
111,1217,-1.958119392,0.05201295018,1
111,1249,-3.743323088,-0.404491365,1
111,1281,-3.572676182,-0.3787074089,1
