x - _child0,y - _child0,x - $T$=0.4±0.34µN,y - $T$=0.4±0.34µN,x - _child3,y - _child3
4.5,2.711668088491571,0,0.35017762974755073,0,0
4.67,1.2211888136800866,1,0.35017762974755073,1,0
5.15,0.07706723823438237,,,,
5.25,-0.1179964172906325,,,,
6.0,0.7088143664623419,,,,
6.07,-0.12972994093591833,,,,
6.11,-0.027101907593538067,,,,
6.18,0.026870725116508527,,,,
6.25,-0.044302879949262124,,,,
6.5,0.9175573827808702,,,,
6.41,0.2958963974038279,,,,
7.04,0.34496770551157246,,,,
7.15,0.396608587773864,,,,
7.23,0.4211860959362523,,,,
7.4,-0.10455313623842906,,,,
7.7,-0.13116053719074222,,,,
7.85,-0.08477375258119094,,,,
7.94,0.24268683711240183,,,,
8.2,-0.07151870152050184,,,,
