x - _child0,y - _child0,x - $\zeta$=0.32±0.066kg/s,y - $\zeta$=0.32±0.066kg/s
4.5,0.29946136075310226,0,0.3169273612228352
4.67,0.7492119502613166,1,0.3169273612228352
5.15,0.22475991371016504,,
5.25,0.13231084359171003,,
6.0,0.37677657163272704,,
6.07,0.22052935426230943,,
6.11,0.26234024731432826,,
6.18,0.23380332988551364,,
6.25,0.15300326628578476,,
6.5,0.3216681213140477,,
6.41,0.37202749429677184,,
7.04,0.36518022569647535,,
7.15,0.3486042945809517,,
7.23,0.4615829373657189,,
7.4,0.22768378152301788,,
7.7,0.2806365632314756,,
7.85,0.3042541334252491,,
7.94,0.43573466906248604,,
8.2,0.2520508050407182,,
