PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 6, filenames: A:[6]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[7]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-2.870344162,-5.023153782,1
24,37,-6.153090477,-5.158751488,1
24,53,-5.566483498,-2.276081085,1
24,69,-4.42403698,-3.590017319,1
24,85,-1.774181366,-4.032496452,1
24,101,-1.32380867,-5.615153313,1
24,117,-1.28271246,-4.81509161,1
24,133,-2.992135048,-3.207288265,1
24,149,-4.130632401,-3.007389784,1
24,165,-3.363509893,-3.751434326,1
24,181,-3.170888662,-4.761891365,1
24,197,-2.581961155,-3.81828618,1
24,213,-3.330814362,-2.657462835,1
24,229,-3.182215691,-2.286625862,1
24,245,-2.266643047,-2.176625729,1
24,261,-2.606792212,-1.720854998,1
24,277,-4.068050385,-1.464099407,1
24,293,-5.916770935,-1.687027931,1
24,309,-6.961884975,-1.243368387,1
24,325,-6.765135765,-0.8056563139,1
24,341,-5.145564556,-1.230535746,1
24,357,-2.684905052,-2.028113127,1
24,373,-2.873850107,-1.370457292,1
24,389,-4.396692753,-2.513414145,1
24,405,-3.267446518,-2.259958267,1
24,421,-1.877154112,-0.1443389207,1
24,437,-0.2057135105,-0.08252251148,1
24,453,-2.075844765,-0.942602098,1
24,469,-4.635998726,-1.534305692,1
24,485,-6.013684273,-0.2465727031,1
24,501,-7.975684643,0.04074221849,1
24,517,-4.881524086,-0.4428557754,1
24,533,-3.872195244,0.8265622258,1
24,549,-4.217287064,0.1103948355,1
24,565,-3.316897392,-2.336780071,1
24,581,-3.115846157,-1.14440608,1
24,597,-1.926795721,-0.3125820756,1
24,613,-0.9063860178,-0.1854771674,1
24,629,-1.355918527,1.014659047,1
24,645,-1.345568657,2.11598897,1
24,661,-2.008830786,2.623435497,1
24,677,1.287746549,3.047143698,1
24,693,1.604163885,3.030384302,1
24,709,0.1417629719,2.599355221,1
24,725,-0.916128993,2.485146046,1
24,741,0.02165520191,-3.343218327,1
24,757,-2.577257633,1.977446556,1
24,773,-4.14896965,1.899610996,1
24,789,-4.166935444,1.339943409,1
24,805,-4.193045616,1.140995264,1
24,821,-3.212673664,1.542819977,1
24,837,-3.808853626,2.134587288,1
24,853,-5.085232735,2.623377323,1
24,869,-4.567769051,1.033310056,1
24,885,-4.727789402,0.06775128841,1
24,901,-5.788544655,0.7524600029,1
24,917,-4.317764282,2.155949116,1
24,933,-3.862187862,1.813174486,1
24,949,-3.61864996,1.487090111,1
24,965,-1.899052262,1.634011984,1
24,981,-0.1940387487,2.164568424,1
24,997,-0.1044480801,2.039888859,1
24,1013,-0.3504860401,1.408985138,1
24,1029,-0.3450909853,1.621901512,1
24,1045,-2.140595436,1.123575926,1
24,1061,-0.8153610826,3.851818562,1
24,1077,-0.6141290069,2.913640261,1
24,1093,0.2830500007,1.31786871,1
24,1109,0.05188453197,0.7967495918,1
24,1125,-1.393581867,0.7418946028,1
24,1141,-1.597969055,1.194586515,1
24,1157,-6.809329033,-4.806613922,1
24,1173,-1.040143371,-4.744739532,1
24,1189,-1.41235435,0.3115012646,1
