PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 2, filenames: A:[2]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[3]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-8.402658463,-2.077163219,1
24,37,-8.398694038,-3.852788687,1
24,53,-5.679668427,-3.485144615,1
24,69,-4.686597347,-2.916583538,1
24,85,-5.024283886,-2.768322945,1
24,101,-6.864562035,-1.31397438,1
24,117,-5.530178547,-2.046811581,1
24,133,-4.624558926,-0.9003973007,1
24,149,-0.8890032768,0.2234065533,1
24,165,-2.126840353,-2.308981419,1
24,181,-1.663008451,-2.797882318,1
24,197,-3.779891014,-3.380315542,1
24,213,-4.705376625,-2.673443556,1
24,229,-5.68829298,-1.385038376,1
24,245,-6.254825592,2.849862099,1
24,261,-7.258960247,1.055823684,1
24,277,-6.702231407,0.9254875183,1
24,293,-5.08860302,1.632652879,1
24,309,-5.642958641,0.3589043617,1
24,325,-7.03452301,0.3779754043,1
24,341,-5.627090454,-4.142695904,1
24,357,-6.523871899,0.05241215229,1
24,373,-8.044269562,-2.413331032,1
24,389,-4.936516285,-7.269641876,1
24,405,-7.300604343,-0.2765305042,1
24,421,-7.311012745,-0.1343002319,1
24,437,-9.322035789,3.913052559,1
24,453,-4.442684174,2.429524183,1
24,469,-4.271817207,3.94286561,1
24,485,-4.314740181,0.4412310123,1
24,501,-2.617037296,0.06369462609,1
24,517,-4.718155861,0.3763914108,1
24,533,-4.366215706,2.417726994,1
24,549,-3.123813629,1.689937353,1
24,565,-2.807046413,0.6666564345,1
24,581,-9.590705872,3.429679394,1
24,597,-7.03892374,0.3615100384,1
24,613,-6.322564125,-0.5835852623,1
24,629,-2.225743771,-0.5275702477,1
24,645,-10.71807766,3.960343361,1
24,661,-1.890130281,-0.9028561115,1
24,677,-3.10342598,1.29393971,1
24,693,-4.104207039,1.321319818,1
24,709,-2.84108448,0.2003624439,1
24,725,-1.8695786,1.139331341,1
24,741,-1.863146305,2.071067095,1
24,757,-5.13940239,0.9061846733,1
24,773,-8.850026131,0.5736090541,1
24,789,-3.815693855,3.486430645,1
24,805,-5.622090816,3.252457619,1
24,821,-4.936044216,4.19981432,1
24,837,-4.783986092,1.820297241,1
24,853,-5.961868763,6.846410751,1
24,869,-7.176492691,4.321331978,1
24,885,-9.418880463,4.019869328,1
24,901,-8.435258865,5.336333275,1
24,917,-7.813687325,8.10085392,1
24,933,-9.105797768,9.4761343,1
24,949,-8.45747757,11.03666306,1
24,965,-8.0585289,11.71352577,1
24,981,-7.994137764,10.17508316,1
24,997,-10.81271076,10.63388538,1
24,1013,1.507491589,12.67948914,1
24,1029,-6.380951405,11.54388523,1
24,1045,-6.898256302,13.02835083,1
24,1061,-7.813658237,12.74274635,1
24,1077,-8.337575912,13.30363941,1
24,1093,-8.688302994,13.78269196,1
24,1109,-9.540351868,13.6892004,1
24,1125,-10.56530571,6.556440353,1
24,1141,-14.13303566,13.23157501,1
24,1157,-12.08069801,14.50152588,1
24,1173,-20.21465492,8.927081108,1
24,1189,-7.700302124,14.04220104,1
24,1205,-11.0053997,15.23557472,1
24,1221,-7.137158394,15.13204956,1
24,1237,-4.305260658,15.84617233,1
24,1253,-8.069864273,16.7582798,1
24,1269,3.405676842,12.78408909,1
24,1285,-4.557692528,6.58405304,1
40,21,-2.732234955,-1.520909071,1
40,37,-3.847510338,-2.894309998,1
40,53,-4.196045399,-4.280306339,1
40,69,-5.272223473,-2.90861249,1
40,85,-5.913613319,-2.622929573,1
40,101,-8.132078171,-11.35349083,1
40,117,-6.222385883,-1.50373435,1
40,133,-5.388656139,-1.194070816,1
40,149,-3.626636744,-2.015979767,1
40,165,-3.747692585,-2.188473701,1
40,181,-4.589130402,-2.02718854,1
40,197,-4.578394413,-2.459810257,1
40,213,-4.183854103,-2.598368406,1
40,229,-4.980622768,-2.491527557,1
40,245,0.6042289734,4.411269665,1
40,261,-5.886618137,0.05930709839,1
40,277,-6.327613354,0.1999486387,1
40,293,-6.864837646,0.8742095232,1
40,309,-7.587277889,0.08584880829,1
40,325,-7.868749619,-1.815701365,1
40,341,-7.124806881,-2.409051895,1
40,357,-13.65903568,0.2311041951,1
40,373,3.365169525,-4.419128418,1
40,389,-5.103055954,-6.749091148,1
40,405,-3.636537552,3.258118153,1
40,421,-3.843866825,7.988872051,1
40,437,-6.843724251,5.615715981,1
40,453,-5.47684145,3.352637768,1
40,469,-3.823878765,4.83285284,1
40,485,-3.034929752,3.157694817,1
40,501,-3.876112461,-6.269970894,1
40,517,-4.410007954,-0.4451906085,1
40,533,-4.193206787,0.2232323885,1
40,549,-3.4170928,0.7973390818,1
40,565,-2.957271099,0.9061402082,1
40,581,-2.746349812,3.669474602,1
40,597,-3.230195045,3.072756529,1
40,613,-4.18138504,1.023488045,1
40,629,-3.857268572,1.775218964,1
40,645,5.336605072,-1.081219196,1
