PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[10]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-3.765762568,-1.410531998,1
24,37,-5.955816746,-1.478910685,1
24,53,-5.986616611,-1.458958626,1
24,69,-5.799377441,-2.085318565,1
24,85,-5.553201199,-1.851412654,1
24,101,-5.287329197,-1.792999268,1
24,117,-5.114889622,-2.422141552,1
24,133,-4.598316669,-1.822446465,1
24,149,-4.487679958,-1.733861446,1
24,165,-2.897089005,-2.992163181,1
24,181,-3.736625671,-3.509906769,1
24,197,-6.456923485,-3.966953754,1
24,213,-6.60853529,-2.477669716,1
24,229,-7.89720726,-3.599225998,1
24,245,-8.213400841,-4.010250568,1
24,261,-6.412142754,-4.689879417,1
24,277,-5.483209133,-2.743563414,1
24,293,-3.862465143,-3.332054615,1
24,309,-2.85742569,-2.815395117,1
24,325,-2.828037262,-2.056918144,1
24,341,-2.68260932,-1.321386814,1
24,357,-3.359677315,0.02064135671,1
24,373,-4.116906166,1.062359095,1
24,389,-2.387376308,2.613164425,1
24,405,-4.167978287,1.468508482,1
24,421,-5.455476284,0.9659926295,1
24,437,-5.838023186,0.9088080525,1
24,453,-4.476470947,1.47685504,1
24,469,-3.025389194,2.399793863,1
24,485,-2.888372898,3.253836632,1
24,501,-4.388910294,2.853429794,1
24,517,-4.09230423,2.462480783,1
24,533,-2.780468464,2.708484173,1
24,549,-3.900552273,2.047473669,1
24,565,-3.059480906,1.994621992,1
24,581,-1.348165274,2.812911987,1
24,597,-2.531121254,2.772139072,1
24,613,-5.060090065,2.995352507,1
24,629,-4.133478165,1.881412625,1
24,645,-2.904286861,3.109091759,1
24,661,-3.762787342,3.520414114,1
24,677,-4.387581348,4.287922859,1
24,693,-4.511136532,2.917557716,1
24,709,-2.471500635,3.719329119,1
24,725,-0.691688776,3.808591127,1
24,741,-0.05441534519,1.882232666,1
24,757,-1.16628933,1.921101332,1
24,773,-1.124391317,1.561920166,1
24,789,-0.1372151971,1.644646883,1
24,805,-0.1089600921,0.1404924393,1
24,821,-0.01326155663,0.6165006161,1
24,837,-2.932613373,2.373506069,1
24,853,-4.054397583,5.448351383,1
24,869,-4.169351578,5.889992237,1
24,885,-1.676760674,3.552466393,1
24,901,-3.224511147,0.3573105335,1
24,917,-3.671888351,0.1397194862,1
24,933,-5.620966911,2.884531498,1
24,949,-4.952059746,2.771775484,1
24,965,-3.625932217,1.38368988,1
24,981,-3.658151627,1.396966696,1
24,997,-4.412834644,2.263817549,1
24,1013,-4.334248543,4.390601635,1
24,1029,-0.9226062298,4.522585392,1
24,1045,-1.748726606,4.821129799,1
24,1061,-1.946072817,4.350248337,1
24,1077,-4.810771942,4.846757889,1
24,1093,-2.661246061,4.191296101,1
24,1109,0.361925602,3.89022541,1
24,1125,0.1540353298,4.518429279,1
24,1141,5.618909359,6.592389584,1
24,1157,-3.297632694,2.814188004,1
24,1173,-4.229332924,2.913381815,1
24,1189,-4.618449211,3.465245247,1
24,1205,-4.551862717,3.73313117,1
24,1221,-1.643631458,11.67814636,1
24,1237,3.039401531,5.699517727,1
24,1253,-3.681122541,2.577923298,1
24,1269,4.625237465,-6.38014698,1
24,1285,12.3825531,-4.728116035,1
40,21,-4.706480503,-2.880875587,1
40,37,-5.770122528,-2.528184891,1
40,53,-4.767908096,-2.280078173,1
40,69,-5.300958633,-2.378679514,1
40,85,-5.62253046,-2.156534195,1
40,101,-4.742130756,-2.508099079,1
40,117,-4.815136433,-2.93909812,1
40,133,-5.685616016,-3.096995354,1
40,149,-5.55809927,-2.327913284,1
40,165,-2.70437479,-2.471499443,1
40,181,-2.747722626,-2.881408453,1
40,197,-4.910744667,-3.063864946,1
40,213,-5.630081654,-2.686514378,1
40,229,-6.22075367,-3.042429447,1
40,245,-6.468835354,-3.376951456,1
40,261,-5.865475655,-2.975007057,1
40,277,-4.244734764,-2.622855663,1
40,293,-3.848225117,-3.015621662,1
40,309,-3.507586479,-2.360315561,1
40,325,-2.992621422,-1.486438274,1
40,341,-3.674692154,-0.389895618,1
40,357,-3.619018793,0.4799751043,1
40,373,-2.791236877,1.679595947,1
40,389,-2.557677269,2.03435421,1
40,405,-2.857185841,1.72967577,1
40,421,-3.778688431,1.066735506,1
40,437,-4.694542408,0.661700964,1
40,453,-3.341451168,1.615509272,1
40,469,-4.017230034,1.778297186,1
40,485,-4.669326305,2.244029045,1
40,501,-6.094959736,2.420876503,1
40,517,-5.754914284,2.142901421,1
40,533,-4.340666294,2.312986851,1
