PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 17, filenames: A:[17]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[18]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-1.820699334,-3.953826427,1
24,37,-3.125097275,-4.108262539,1
24,53,-3.844058037,-3.539844036,1
24,69,-3.540919781,-3.6418612,1
24,85,-2.896745682,-2.988234997,1
24,101,-1.716370821,-3.020400524,1
24,117,-1.042313576,-3.270014048,1
24,133,-2.300982237,-2.931788445,1
24,149,-4.071754456,-3.065290451,1
24,165,-3.965651512,-5.34070158,1
24,181,-2.310977936,-4.263655663,1
24,197,-4.031930923,-4.625227451,1
24,213,-3.840173483,-5.779683113,1
24,229,-2.733615398,-2.181734562,1
24,245,-0.8039176464,-1.99141407,1
24,261,0.9553892612,-2.628433228,1
24,277,1.427427888,-3.029160023,1
24,293,-0.3656933308,-1.746216059,1
24,309,-1.881762266,-1.708155513,1
24,325,-1.6321733,-3.831535816,1
24,341,-1.56421876,-5.350319386,1
24,357,-3.170497417,-4.916554451,1
24,373,-0.3127046824,-4.082407951,1
24,389,-2.756444454,-3.61777544,1
24,405,-6.822239399,-0.7013890743,1
24,421,-3.564623356,-2.891796112,1
24,437,-4.284372807,3.356807709,1
24,453,-0.8614907265,-3.220055103,1
24,469,-1.029546738,-2.159656525,1
24,485,-1.979988337,-1.661425591,1
24,501,-3.803627968,0.6697636843,1
24,517,-6.211015701,-0.4827629328,1
24,533,-4.577078342,-0.07435917854,1
24,549,-2.758952141,0.8816940784,1
24,565,-2.912243843,0.5678719282,1
24,581,-3.78344965,0.3157228231,1
24,597,-2.659350872,0.9234419465,1
24,613,2.214044094,3.768167496,1
24,629,-4.026085377,-1.257243991,1
24,645,-4.205585003,1.373800397,1
24,661,-4.639575958,2.343756199,1
24,677,-5.069184303,0.6067891121,1
24,693,-11.96197128,-1.590884566,1
24,709,-9.017410278,3.229147434,1
24,725,-4.614480019,2.485844135,1
24,741,-3.695539474,2.516468525,1
24,757,-2.388642788,0.912843883,1
24,773,-0.3660140038,-0.3507909179,1
24,789,-0.8118822575,-1.922917724,1
24,805,-2.33155942,-1.200981498,1
24,821,-1.960355997,0.2591031194,1
24,837,-1.44267714,2.577894449,1
24,853,-0.3797206879,2.960124493,1
24,869,-0.1228048801,1.55347383,1
24,885,-1.05744338,1.437988281,1
24,901,-3.002646685,1.88562417,1
24,917,-2.530801296,2.990430832,1
24,933,-3.432231426,4.866156578,1
24,949,-4.75749445,3.238133669,1
24,965,-4.455408096,2.96392417,1
24,981,-4.105834484,2.638046026,1
24,997,-4.866508007,1.985072732,1
24,1013,-5.587018967,1.145866871,1
24,1029,-4.022584915,0.3617665768,1
24,1045,-4.895152092,-0.1165304184,1
24,1061,-5.924980164,-0.448623538,1
24,1077,-5.935887337,-0.9044445753,1
24,1093,-3.925330639,1.545834422,1
24,1109,-4.366077423,0.9867842793,1
24,1125,-5.599509239,1.336375952,1
24,1141,-5.072418213,2.214372635,1
24,1157,-4.793531418,1.748448372,1
24,1173,-5.380150318,0.1112031937,1
24,1189,-5.916829109,-1.10664773,1
24,1205,-5.707042694,-0.6307086349,1
24,1221,-7.668395519,1.450913787,1
24,1237,-5.568727016,2.391434193,1
24,1253,-4.252308846,-0.05643379688,1
24,1269,-4.49319458,-9.228064537,1
24,1285,-8.220020294,-1.309127331,1
40,21,0.1824020147,-2.871573448,1
40,37,-1.622486353,-3.134074688,1
40,53,-2.44719696,-2.802273989,1
40,69,-2.601140738,-3.031926155,1
40,85,-1.921772003,-2.678225517,1
40,101,-1.713767052,-2.478574276,1
40,117,-1.355589867,-2.748131752,1
40,133,-0.8864958286,-2.490864754,1
40,149,-2.707725048,-2.950595379,1
40,165,-3.025061131,-3.028579712,1
40,181,-3.49011755,-1.403479576,1
40,197,-4.101099014,-3.581328392,1
40,213,-4.480092049,-4.710477352,1
40,229,-4.552836895,-3.712783813,1
40,245,1.168962717,-11.0494585,1
40,261,-1.793046236,-3.001068592,1
40,277,-1.158928156,-2.252180338,1
40,293,-1.593779802,-1.21390748,1
40,309,-2.243876934,-0.7641050816,1
40,325,-2.088610172,-2.470144749,1
40,341,-1.907690644,-4.995792389,1
40,357,-1.774792433,-4.709023476,1
40,373,-1.389616013,-3.999889135,1
40,389,-0.5340402126,-1.695983648,1
40,405,-2.358762264,-2.117343903,1
40,421,-2.624487162,-1.889088392,1
40,437,-2.657370806,3.034756184,1
40,453,-1.103506088,-1.865084648,1
40,469,-1.056100011,-0.2664227486,1
40,485,-2.609363794,-0.7392120361,1
40,501,-4.185945511,-0.2600684166,1
40,517,-4.067298889,-0.4646923244,1
40,533,-7.387757301,-0.1944664121,1
40,549,-5.752019882,0.6517029405,1
40,565,-4.001565456,0.6489912271,1
40,581,-3.950190306,0.2239083946,1
40,597,-3.752384424,-0.1533887833,1
40,613,-2.984590292,-1.298931599,1
40,629,-3.264493227,-1.081006289,1
40,645,-3.196017742,-0.07953295112,1
40,661,-3.619107246,0.9452296495,1
40,677,-4.041156769,1.225396633,1
40,693,-12.39309978,-0.7351974249,1
40,709,-5.322732925,9.928809166,1
40,725,-3.296514988,2.430056572,1
40,741,-0.4709377289,4.85627985,1
40,757,-3.540177584,0.7952771783,1
40,773,-3.225519657,-0.07123205066,1
