PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 11, filenames: A:[11]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[12]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-5.916470528,-5.820646763,1
24,37,-5.28776598,-4.70295763,1
24,53,-5.917009354,-4.292580128,1
24,69,-6.098427773,-4.353630543,1
24,85,-5.877721786,-4.666543961,1
24,101,-5.540269852,-5.298714638,1
24,117,-5.933385372,-3.988640785,1
24,133,-6.519082069,-2.325189352,1
24,149,-7.343153954,-1.353494644,1
24,165,-6.950208187,-0.3886349201,1
24,181,-5.419079781,-0.6853611469,1
24,197,-6.034353256,-1.59230864,1
24,213,-6.247018814,-0.2499354482,1
24,229,-5.12805891,0.2569988966,1
24,245,-6.691990852,0.4651370049,1
24,261,-8.682743073,-1.330282688,1
24,277,-9.013242722,-2.770966053,1
24,293,-8.79695034,-1.800942898,1
24,309,-7.921138287,-1.406958461,1
24,325,-7.214684963,-1.371555328,1
24,341,-7.834541321,-3.023245335,1
24,357,-6.213971615,-13.85992527,1
24,373,-6.937366486,-13.95339394,1
24,389,-7.660570145,-5.058135986,1
24,405,-8.007116318,-1.986527443,1
24,421,-8.797872543,-0.7183263302,1
24,437,-8.877342224,0.556951046,1
24,453,-6.988722801,-2.682914972,1
24,469,-6.524502277,-1.750183344,1
24,485,-5.618164539,0.1467743516,1
24,501,-5.150468826,0.4215035439,1
24,517,-6.077661514,0.5543701053,1
24,533,-5.813137054,0.1176358461,1
24,549,-5.281682014,1.262688637,1
24,565,-8.174576759,1.995467901,1
24,581,-6.943787575,1.899076581,1
24,597,-7.588024616,2.124940157,1
24,613,-8.40862751,-4.847578049,1
24,629,-4.818690777,1.618869781,1
24,645,-4.133080482,0.1772501469,1
24,661,-4.891218662,0.393599987,1
24,677,-4.624028206,0.6852318645,1
24,693,-4.13655138,0.4584630728,1
24,709,-5.204199791,-6.80927372,1
24,725,-5.535061836,-0.1045365334,1
24,741,-5.465280056,0.701556325,1
24,757,-4.926369667,-0.6460775137,1
24,773,-3.442271709,-0.536179781,1
24,789,-2.476154327,-0.381526947,1
24,805,-3.536325216,0.2932483554,1
24,821,-3.956044674,-0.7681795359,1
24,837,-3.599937916,-1.858812213,1
24,853,-5.039812088,-2.12870717,1
24,869,-4.926691055,-0.6992094517,1
24,885,-0.3771649599,1.804009557,1
24,901,-0.0541343689,-0.06038975716,1
24,917,-0.6959354877,-1.435998201,1
24,933,-2.239620209,-0.1476312876,1
24,949,-3.229191065,-0.02877855301,1
24,965,-3.176559448,-0.03380969167,1
24,981,-3.855631351,1.086952686,1
24,997,-4.91724968,1.645398736,1
24,1013,-5.621896267,-0.1624401212,1
24,1029,-3.605088711,-1.397114992,1
24,1045,-3.45631218,-0.7503529191,1
24,1061,-13.16923332,2.411670208,1
24,1077,-5.152871609,2.977056503,1
24,1093,-5.387205124,3.405565262,1
24,1109,-5.305157661,3.118252754,1
24,1125,-4.708675861,2.998549938,1
24,1141,-5.93211937,4.672068596,1
24,1157,-4.095788956,2.237785101,1
24,1173,-4.379910946,2.81525135,1
24,1189,-4.921509743,4.350972176,1
24,1205,-5.605191708,4.169409275,1
24,1221,-6.165725708,2.327375412,1
24,1237,-6.349983692,2.168814182,1
24,1253,-5.391766071,1.830774784,1
24,1269,-5.311502457,3.31532526,1
24,1285,-5.683387756,8.095654488,1
40,21,-6.411144257,-6.504694939,1
40,37,-5.225038528,-4.644911289,1
40,53,-6.109836578,-4.566502571,1
40,69,-6.415225983,-4.68442297,1
40,85,-6.312156677,-4.910459518,1
40,101,-5.859199524,-5.460590839,1
40,117,-5.637154579,-5.106620312,1
40,133,-6.014610291,-3.489066124,1
40,149,-6.43210268,-2.157937765,1
40,165,-6.039140224,-1.881076336,1
40,181,-5.684088707,-2.029073477,1
40,197,-5.520761967,-1.00202775,1
40,213,-5.362904072,0.2508106828,1
