PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 8, filenames: A:[8]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[9]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-2.104882717,-3.497490883,1
24,37,-3.751113415,-2.499339104,1
24,53,-4.779348373,-1.816041708,1
24,69,-4.598601818,-1.63075757,1
24,85,-4.75252676,-1.831112266,1
24,101,-3.83430028,-2.719326019,1
24,117,-3.441340446,-1.432517529,1
24,133,-4.551915646,-0.9485441446,1
24,149,-4.34741354,-1.183442593,1
24,165,-4.621352196,-2.350413561,1
24,181,-4.201851845,-3.651903868,1
24,197,-4.015283585,-2.336840391,1
24,213,-4.748695374,-0.1629576683,1
24,229,-6.338831902,-0.7479784489,1
24,245,-5.926373959,-1.629418373,1
24,261,-5.057955742,-1.771994233,1
24,277,-4.636950493,-2.171440125,1
24,293,-4.796778679,-0.9336108565,1
24,309,-4.638484001,-0.1272046566,1
24,325,-4.435093403,0.08992040157,1
24,341,-4.257165909,0.1774672568,1
24,357,-4.328299046,0.864900589,1
24,373,-4.06419754,0.7395687103,1
24,389,-2.18443346,1.935103893,1
24,405,-3.910832405,2.408412218,1
24,421,-6.214186192,0.9091750979,1
24,437,-6.433812141,1.592349768,1
24,453,-4.175896168,2.176421165,1
24,469,-3.623743534,0.7936179638,1
24,485,-1.897168398,0.304526329,1
24,501,-1.075268507,0.4814655781,1
24,517,-1.91349864,1.194118142,1
24,533,-3.536939621,1.641445637,1
24,549,-4.236863613,2.490036488,1
24,565,-3.295059204,2.125703335,1
24,581,-1.87717247,2.815756798,1
24,597,-2.617197037,1.981758595,1
24,613,-4.028152466,1.679455757,1
24,629,-5.222617626,2.684913158,1
24,645,-3.995716572,1.059196711,1
24,661,-3.034720898,2.614846468,1
24,677,-2.282004356,1.884889126,1
24,693,-2.212303162,0.895298481,1
24,709,-2.439306021,1.092556834,1
24,725,-0.6477763653,-1.468322039,1
24,741,-1.753316641,-2.899929285,1
24,757,-2.820398331,-3.151592255,1
24,773,-2.924266815,-2.08016634,1
24,789,-1.693639278,-2.15587759,1
24,805,-0.3427946568,-2.716039181,1
24,821,-1.129740715,-1.834978938,1
24,837,-3.278020382,0.9596811533,1
24,853,-4.255270004,6.07878828,1
24,869,-4.944053173,0.47134161,1
24,885,-3.28952384,1.863409042,1
24,901,-2.203282118,2.607398987,1
24,917,-2.396154881,2.838859797,1
24,933,-1.531113625,3.839285612,1
24,949,-0.9722025394,3.949494839,1
24,965,-1.176132679,2.314493895,1
24,981,-1.766565204,2.723926544,1
24,997,-2.427237272,3.350075722,1
24,1013,-1.152846456,3.87920475,1
24,1029,-1.232797742,3.898910761,1
24,1045,-1.362821579,2.544676781,1
24,1061,-1.861920357,2.358297825,1
24,1077,-2.284282446,3.134522915,1
24,1093,-0.3764327765,3.325577974,1
24,1109,-0.4006296396,4.413930893,1
24,1125,-1.807078719,3.22192502,1
24,1141,-3.382285595,2.932614803,1
24,1157,-0.4745569229,10.26349258,1
24,1173,-4.833140373,4.669652462,1
24,1189,-5.843986511,4.011080265,1
24,1205,-5.178666115,4.25141716,1
24,1221,-3.6528368,-0.8065071106,1
24,1237,-6.49327898,10.09634113,1
24,1253,6.567427158,7.282608032,1
24,1269,-4.501805782,6.930244923,1
24,1285,-6.218914032,-2.774091721,1
40,21,-2.041740656,-2.578532934,1
40,37,-4.362178802,-2.552747488,1
40,53,-4.901411057,-1.773800611,1
40,69,-4.402134418,-1.84043622,1
40,85,-3.840045929,-2.19226265,1
40,101,-3.161667347,-1.852277279,1
40,117,-5.658695221,-10.72811985,1
40,133,-5.595789909,-10.69358063,1
40,149,-4.630800247,-2.416843414,1
40,165,-4.323571682,-2.647573233,1
40,181,-3.544620752,-1.31219244,1
40,197,-3.870695591,-3.904744625,1
40,213,-6.947432995,-7.648692131,1
40,229,-5.280954838,-1.574586272,1
40,245,-5.437370777,-1.700143456,1
40,261,-4.938777447,-1.487772584,1
40,277,-3.669136524,-1.449157357,1
40,293,-3.92455101,-1.428440332,1
40,309,-4.422065258,-0.818707943,1
40,325,-4.756915569,-0.6183900833,1
40,341,-4.534697533,-0.236817196,1
40,357,-3.557848454,0.2779810429,1
40,373,-3.812716007,0.997307539,1
40,389,-3.464287758,0.809019804,1
40,405,-3.870110989,1.518566012,1
40,421,-4.186594009,1.872492671,1
40,437,-4.316422939,2.134459019,1
40,453,-4.041893959,1.785870671,1
40,469,-2.582382917,0.8191627264,1
40,485,-2.253409624,0.8341665268,1
40,501,-3.426169872,2.171456337,1
40,517,5.433374882,4.416954517,1
40,533,-3.43829608,2.419380188,1
40,549,-3.784281015,1.954950809,1
40,565,-3.892836332,1.742964387,1
40,581,-3.295433521,2.545555592,1
40,597,-1.930086613,1.637704492,1
40,613,-1.502748728,0.6934885979,1
40,629,-4.908644676,0.8046059608,1
40,645,-4.184247971,-0.4374313951,1
40,661,-3.593767643,-0.2778095007,1
40,677,-2.828796864,-0.9449722767,1
40,693,-2.362596512,0.7608302832,1
40,709,-2.334219694,1.276319742,1
40,725,-1.401334286,0.6208557487,1
40,741,-2.207873821,-0.2118269801,1
40,757,-2.436882973,-1.508318543,1
40,773,-1.719970465,-1.917561769,1
40,789,-0.9068453312,-2.124170303,1
40,805,-0.531991601,-1.887203217,1
40,821,-1.695815802,-0.789206624,1
40,837,-3.921074152,2.820853472,1
40,853,-4.635922432,4.638308048,1
40,869,-7.406421661,8.646586418,1
40,885,-2.589308023,2.202710867,1
40,901,-6.227793694,4.825521469,1
40,917,-5.845974445,4.114278793,1
40,933,-3.110425711,2.957266808,1
40,949,-2.396939039,2.311813831,1
40,965,-2.18292594,1.931410074,1
40,981,-1.872410059,2.300335884,1
40,997,-1.857119083,2.952817917,1
40,1013,-2.186662197,3.234768391,1
40,1029,-1.97392416,3.043038368,1
40,1045,-1.422334909,3.136935711,1
40,1061,-1.812144279,2.737974167,1
40,1077,-2.794784546,3.773834705,1
40,1093,-3.816996336,4.647441387,1
