PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 16, filenames: A:[16]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi & B:[17]MAX_Pos0017_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-1.867534637,0.174700737,1
24,37,-4.054298401,-3.042323589,1
24,53,-4.111265182,-4.85896492,1
24,69,-3.446892738,-4.645494461,1
24,85,-2.692224979,-3.859692812,1
24,101,-3.130894661,-2.679886818,1
24,117,-4.620271683,-2.726320267,1
24,133,-6.782604218,-4.148830891,1
24,149,-6.745269299,-4.421356201,1
24,165,-3.060438156,-1.830863953,1
24,181,-3.2621665,-2.546074867,1
24,197,-3.980650425,-3.362866402,1
24,213,-0.04175186157,-5.555871487,1
24,229,-5.176294327,-10.40129089,1
24,245,-5.568860054,-4.718514919,1
24,261,-5.85493803,-5.006967545,1
24,277,-5.21917057,-3.631854057,1
24,293,-3.546368837,-2.894178391,1
24,309,-3.417885065,-1.755254269,1
24,325,-3.735957146,-0.5003493428,1
24,341,-3.730300426,-0.2740311027,1
24,357,-3.925848007,-0.3039057255,1
24,373,-4.355969906,-2.427077293,1
24,389,-4.212436676,-3.587941885,1
24,405,-5.124703884,-2.962645054,1
24,421,-2.655092955,-1.995095015,1
24,437,-0.7847876549,-1.371002674,1
24,453,-2.838601828,-0.6333643198,1
24,469,-2.315770626,-1.059131742,1
24,485,-1.447317839,-0.7748359442,1
24,501,0.05578231812,0.1057774425,1
24,517,-10.87513638,1.138940334,1
24,533,-0.7148504257,-1.315380216,1
24,549,-3.669087172,-1.940263748,1
24,565,-3.45188427,-2.158101559,1
24,581,-3.337776184,-1.658484459,1
24,597,-2.770452976,0.6153609753,1
24,613,-7.211964607,-0.3905194104,1
24,629,-5.375087738,-0.1094798148,1
24,645,-4.575949192,0.3974409699,1
24,661,-3.702476978,0.001722402871,1
24,677,-2.615905762,-0.4191010594,1
24,693,-3.168441772,5.548353672,1
24,709,-4.116044521,1.316121221,1
24,725,-3.567072868,2.175039291,1
24,741,-2.597576141,1.321313381,1
24,757,-5.416935921,0.7589740753,1
24,773,-4.448786736,-0.3348117471,1
24,789,-1.738414288,-0.258882463,1
24,805,-3.33261013,-0.5027678013,1
24,821,-3.482950449,-0.3323462009,1
24,837,-2.265393257,0.1161152422,1
24,853,-2.904360294,0.6154608727,1
24,869,-9.716845512,2.000883579,1
24,885,-2.387260675,-2.808909178,1
24,901,-1.368304968,-1.644176722,1
24,917,-0.3150107861,-0.6470162868,1
24,933,-0.5602022409,-0.7141132355,1
24,949,-1.612693906,-0.1144505143,1
24,965,-1.869787931,0.8541382551,1
24,981,-1.805179119,1.000256062,1
24,997,-3.20591259,1.866733074,1
