relative radius,mean(pressure),std(pressure)
0.05,-277.1639400372133,17.326425835390225
0.15000000000000002,-278.99587815447245,16.051884395714463
0.25,-290.95523570361513,11.625763137680808
0.35000000000000003,-299.3748932621149,7.88742707100618
0.45,-310.11626285427604,9.011439655362116
0.55,-324.7862627829803,10.750004983362896
0.65,-335.9407674862651,8.153106269698885
0.75,-349.0927945498068,9.539782946094633
0.8500000000000001,-364.38267830878334,7.369890996815643
0.9500000000000001,-376.1256410096081,9.153694548206932
