relative radius,mean(pressure),std(pressure)
0.05,-17.10179037835798,1.498034459808199
0.15000000000000002,-17.961894538608597,1.0827517437055962
0.25,-20.13342936738753,0.970328169043895
0.35000000000000003,-23.362135198920498,0.8815967127806499
0.45,-27.87792775802068,0.9391846111374251
0.55,-33.47000089012919,1.4776860353529004
0.65,-40.39609788645301,1.8530516184941226
0.75,-49.43072381886009,2.0345123159544145
0.8500000000000001,-58.7435336738125,1.8860075292824892
0.9500000000000001,-67.49789291698458,2.489563612942119
