time (s),keratin (a.u.)
1.0,4.775
2.0,5.394
3.0,6.383
4.0,6.508
5.0,6.605
6.0,6.679
7.0,6.842
8.0,6.898
9.0,6.945
10.0,7.029
11.0,7.119
12.0,7.14
13.0,7.173
14.0,7.299
15.0,7.331
16.0,7.368
17.0,7.429
18.0,7.494
19.0,7.484
20.0,7.503
21.0,7.565
22.0,7.6
23.0,7.607
24.0,7.655
25.0,7.658
26.0,7.748
27.0,7.793
28.0,7.809
29.0,7.866
30.0,7.961
31.0,7.923
32.0,7.904
33.0,7.99
34.0,8.018
35.0,8.059
36.0,8.056
37.0,8.126
38.0,8.184
39.0,8.209
40.0,8.215
41.0,8.238
42.0,8.291
43.0,8.392
44.0,8.375
45.0,8.353
46.0,8.367
47.0,8.461
48.0,8.468
49.0,8.482
50.0,8.535
51.0,8.605
52.0,8.588
53.0,8.697
54.0,8.69
55.0,8.688
56.0,8.719
57.0,8.78
58.0,8.785
59.0,8.856
60.0,8.889
61.0,8.887
62.0,8.884
63.0,8.904
64.0,9.011
65.0,9.013
66.0,9.063
67.0,9.049
68.0,9.1
69.0,9.152
70.0,9.2
71.0,9.236
72.0,9.251
73.0,9.257
74.0,9.389
75.0,9.372
76.0,9.364
77.0,9.4
78.0,9.435
79.0,9.456
80.0,9.521
81.0,9.487
82.0,9.604
83.0,9.635
84.0,9.623
85.0,9.689
86.0,9.748
87.0,9.775
88.0,9.823
89.0,9.746
90.0,9.796
91.0,9.817
92.0,9.878
93.0,9.892
94.0,9.943
95.0,10.026
96.0,9.955
97.0,9.967
98.0,9.99
99.0,10.053
100.0,10.071
101.0,10.148
102.0,10.167
103.0,10.235
104.0,10.244
105.0,10.224
106.0,10.269
107.0,10.261
108.0,10.4
109.0,10.348
110.0,10.394
111.0,10.45
112.0,10.415
113.0,10.503
114.0,10.526
115.0,10.592
116.0,10.623
117.0,10.613
118.0,10.667
119.0,10.608
120.0,10.756
121.0,10.718
122.0,10.76
123.0,10.792
124.0,10.891
125.0,10.812
126.0,10.908
127.0,10.874
128.0,10.96
129.0,10.952
130.0,10.994
131.0,11.092
132.0,11.102
133.0,11.138
134.0,11.12
135.0,11.216
136.0,11.164
137.0,11.224
138.0,11.295
139.0,11.239
140.0,11.381
141.0,11.389
142.0,11.481
143.0,11.465
144.0,11.418
145.0,11.467
146.0,11.547
147.0,11.577
148.0,11.572
149.0,11.66
150.0,11.669
151.0,11.686
152.0,11.702
153.0,11.695
154.0,11.73
155.0,11.777
156.0,11.823
157.0,11.872
158.0,11.816
159.0,11.858
160.0,11.827
161.0,11.975
162.0,11.98
163.0,11.998
164.0,12.047
165.0,12.104
166.0,12.105
167.0,12.131
168.0,12.177
169.0,12.156
170.0,12.183
171.0,12.16
172.0,12.243
173.0,12.34
174.0,12.353
175.0,12.331
176.0,12.317
177.0,12.361
178.0,12.424
179.0,12.464
180.0,12.477
181.0,12.533
182.0,12.548
183.0,12.561
184.0,12.628
185.0,12.613
186.0,12.687
187.0,12.551
188.0,12.479
189.0,12.51
190.0,12.521
191.0,12.52
192.0,12.56
193.0,12.627
194.0,12.597
195.0,12.709
196.0,12.746
197.0,12.692
198.0,12.757
199.0,12.761
200.0,12.817
201.0,12.773
202.0,12.85
203.0,12.889
204.0,12.865
205.0,12.928
206.0,12.941
207.0,12.916
208.0,12.88
209.0,12.939
210.0,12.955
211.0,12.987
212.0,12.958
213.0,13.01
214.0,12.928
215.0,12.995
216.0,12.993
217.0,13.062
218.0,13.048
219.0,13.008
220.0,13.078
221.0,13.034
222.0,13.05
223.0,13.066
224.0,12.999
225.0,13.115
226.0,13.083
227.0,13.043
228.0,13.089
229.0,13.079
230.0,13.074
231.0,12.958
232.0,13.003
233.0,13.083
234.0,13.09
235.0,13.053
236.0,12.948
237.0,12.965
238.0,13.063
239.0,13.037
240.0,13.036
241.0,12.984
242.0,12.912
243.0,12.917
244.0,12.957
245.0,12.956
246.0,12.868
247.0,12.818
248.0,12.812
249.0,12.851
250.0,12.872
251.0,12.837
252.0,12.774
253.0,12.772
254.0,12.757
255.0,12.726
256.0,12.748
257.0,12.73
258.0,12.706
259.0,12.632
260.0,12.665
261.0,12.694
262.0,12.67
263.0,12.692
264.0,12.622
265.0,12.642
266.0,12.641
267.0,12.562
268.0,12.631
269.0,12.549
270.0,12.515
271.0,12.515
272.0,12.479
273.0,12.522
274.0,12.451
275.0,12.507
276.0,12.425
277.0,12.47
278.0,12.444
279.0,12.406
280.0,12.386
281.0,12.376
282.0,12.367
283.0,12.286
284.0,12.262
285.0,12.399
286.0,12.227
287.0,12.181
288.0,12.273
289.0,12.283
290.0,12.232
291.0,12.185
292.0,12.188
293.0,12.199
294.0,12.081
295.0,12.051
296.0,12.168
297.0,12.086
298.0,12.07
299.0,12.005
300.0,11.997
301.0,12.082
302.0,12.007
303.0,11.973
304.0,11.967
305.0,12.002
306.0,11.879
307.0,11.914
308.0,11.847
309.0,11.832
310.0,11.846
311.0,11.759
312.0,11.805
313.0,11.806
314.0,11.744
315.0,11.733
316.0,11.862
317.0,11.814
318.0,11.752
319.0,11.806
320.0,11.77
321.0,11.713
322.0,11.657
323.0,11.662
324.0,11.667
325.0,11.631
326.0,11.651
327.0,11.724
328.0,11.66
329.0,11.578
330.0,11.614
331.0,11.599
332.0,11.574
333.0,11.533
334.0,11.553
335.0,11.523
336.0,11.477
337.0,11.514
338.0,11.546
339.0,11.522
340.0,11.476
341.0,11.386
342.0,11.493
343.0,11.401
344.0,11.394
345.0,11.405
346.0,11.375
347.0,11.374
348.0,11.391
349.0,11.379
350.0,11.328
351.0,11.26
352.0,11.301
353.0,11.336
354.0,11.249
355.0,11.286
356.0,11.219
357.0,11.239
358.0,11.148
359.0,11.131
360.0,11.224
361.0,11.176
362.0,11.155
363.0,11.13
364.0,11.244
365.0,11.16
366.0,11.151
367.0,11.152
368.0,11.095
369.0,11.131
370.0,11.138
371.0,11.112
372.0,11.065
373.0,11.064
374.0,11.091
375.0,11.042
376.0,11.032
377.0,11.018
378.0,11.052
379.0,11.03
380.0,11.011
381.0,10.946
382.0,10.955
383.0,10.947
384.0,10.977
385.0,10.903
386.0,10.974
387.0,10.98
388.0,10.964
389.0,10.842
390.0,10.89
391.0,10.928
392.0,10.837
393.0,10.872
394.0,10.751
395.0,10.868
396.0,10.825
397.0,10.811
398.0,10.827
399.0,10.72
400.0,10.835
401.0,10.813
402.0,10.839
403.0,10.799
404.0,10.764
405.0,10.71
406.0,10.747
407.0,10.792
408.0,10.687
409.0,10.708
410.0,10.683
411.0,10.68
412.0,10.665
413.0,10.653
414.0,10.573
415.0,10.591
416.0,10.732
417.0,10.66
418.0,10.627
419.0,10.631
420.0,10.62
421.0,10.557
422.0,10.501
423.0,10.573
424.0,10.57
425.0,10.497
426.0,10.536
427.0,10.53
428.0,10.584
429.0,10.599
430.0,10.533
431.0,10.591
432.0,10.591
433.0,10.468
434.0,10.51
435.0,10.515
436.0,10.441
437.0,10.45
438.0,10.468
439.0,10.483
440.0,10.459
441.0,10.476
442.0,10.466
443.0,10.437
444.0,10.466
445.0,10.384
446.0,10.415
447.0,10.349
448.0,10.431
449.0,10.409
450.0,10.373
451.0,10.433
452.0,10.441
453.0,10.449
454.0,10.469
455.0,10.371
456.0,10.463
457.0,10.434
458.0,10.385
459.0,10.382
460.0,10.452
461.0,10.381
462.0,10.398
463.0,10.365
464.0,10.346
465.0,10.399
466.0,10.333
467.0,10.325
468.0,10.279
469.0,10.296
470.0,10.273
471.0,10.247
472.0,10.248
473.0,10.23
474.0,10.179
475.0,10.217
476.0,10.132
477.0,10.133
478.0,10.18
