relative radius,mean(keratin),std(keratin)
0.05,9.601513047870144,0.5911450023508125
0.15000000000000002,10.18418175628869,0.5430861849387746
0.25,11.16389281464505,0.5633497780251864
0.35000000000000003,12.351581828256322,0.4052019075607528
0.45,14.214094424245737,0.5288448346506756
0.55,17.074751589387425,0.5520368348149453
0.65,20.15544512201893,0.7300817607770945
0.75,24.600185718242205,0.9195598038381435
0.8500000000000001,29.71958503775797,0.9877456023594149
0.9500000000000001,34.109498393804664,1.0495951089271662
