relative radius,mean(tension),std(tension)
0.05,0.029344872859487038,0.002503631644301658
0.15000000000000002,0.030530734303930596,0.0015325810446476977
0.25,0.031815805569387505,0.0019488727384118958
0.35000000000000003,0.03398770070152667,0.0011755390041444972
0.45,0.03667318749109625,0.0012322050806909727
0.55,0.0407253912468452,0.0013221363073379238
0.65,0.04438949163513404,0.0010714389822299893
0.75,0.04934023356905597,0.0013661143076589737
0.8500000000000001,0.05371392396962773,0.0008908526566840223
0.9500000000000001,0.05556688790762208,0.0010040730988473523
