time (s),height (micro m)
0.0,15.701
1.0,15.097
2.0,15.097
3.0,14.494
4.0,14.494
5.0,14.494
6.0,13.89
7.0,14.494
8.0,22.344
9.0,33.214
10.0,38.649
11.0,45.292
12.0,48.312
13.0,51.935
14.0,53.747
15.0,54.351
16.0,55.559
17.0,56.766
18.0,57.37
19.0,57.974
20.0,59.182
21.0,59.786
22.0,60.39
23.0,60.39
24.0,60.994
25.0,61.598
26.0,61.598
27.0,62.201
28.0,62.201
29.0,62.805
30.0,62.201
31.0,62.805
32.0,62.805
33.0,63.409
34.0,63.409
35.0,63.409
36.0,64.013
37.0,64.013
38.0,64.013
39.0,64.617
40.0,65.221
41.0,65.221
42.0,65.221
43.0,65.221
44.0,65.825
45.0,66.429
46.0,66.429
47.0,66.429
48.0,67.033
49.0,67.636
50.0,67.033
51.0,67.636
52.0,68.24
53.0,68.24
54.0,68.24
55.0,68.844
56.0,68.844
57.0,69.448
58.0,69.448
59.0,70.052
60.0,70.052
61.0,70.656
62.0,71.26
63.0,71.26
64.0,71.864
65.0,71.864
66.0,72.468
67.0,73.072
68.0,73.072
69.0,73.072
70.0,73.675
71.0,74.279
72.0,74.279
73.0,74.883
74.0,74.883
75.0,75.487
76.0,75.487
77.0,76.091
78.0,76.695
79.0,77.299
80.0,77.299
81.0,77.299
82.0,77.903
83.0,78.507
84.0,78.507
85.0,79.111
86.0,79.111
87.0,79.714
88.0,79.714
89.0,80.318
90.0,80.318
91.0,80.922
92.0,80.922
93.0,82.13
94.0,82.13
95.0,81.526
96.0,82.13
97.0,82.13
98.0,82.734
99.0,83.338
100.0,83.338
101.0,83.942
102.0,83.942
103.0,84.546
104.0,84.546
105.0,85.15
106.0,85.15
107.0,85.753
108.0,85.753
109.0,86.357
110.0,86.357
111.0,86.357
112.0,86.961
113.0,87.565
114.0,87.565
115.0,88.169
116.0,88.169
117.0,88.169
118.0,88.169
119.0,88.773
120.0,89.377
121.0,89.377
122.0,89.377
123.0,89.981
124.0,89.981
125.0,90.585
126.0,90.585
127.0,91.188
128.0,91.188
129.0,91.188
130.0,91.792
131.0,91.792
132.0,91.792
133.0,92.396
134.0,93.0
135.0,93.0
136.0,93.604
137.0,93.604
138.0,93.604
139.0,93.604
140.0,94.208
141.0,94.208
142.0,94.812
143.0,94.812
144.0,94.812
145.0,94.812
146.0,95.416
147.0,95.416
148.0,96.02
149.0,96.02
150.0,96.624
151.0,96.624
152.0,96.624
153.0,96.624
154.0,96.624
155.0,97.227
156.0,97.227
157.0,97.227
158.0,97.227
159.0,97.831
160.0,98.435
161.0,98.435
162.0,98.435
163.0,98.435
164.0,98.435
165.0,99.039
166.0,99.039
167.0,99.039
168.0,97.831
169.0,94.208
170.0,92.396
171.0,91.188
172.0,89.981
173.0,89.377
174.0,88.773
175.0,87.565
176.0,86.357
