relative area,mean(keratin),std(keratin)
0.05,49.59041660374307,5.967386478444139
0.15000000000000002,67.08315844163488,8.334868580221425
0.25,91.06070923230666,4.600680437118237
0.35000000000000003,103.56578506407637,6.009002269672402
0.45,123.02954520930308,4.813030285660771
0.55,144.30065900520745,5.257341700431548
0.65,174.19666838856128,7.172494750025912
0.75,200.78090951322721,4.179072014414526
0.8500000000000001,217.0418051720431,5.508000243635164
0.9500000000000001,233.93203047869144,8.58561508730873
