relative radius,mean(pressure),std(pressure)
0.05,-74.93322375987977,6.655647507070175
0.15000000000000002,-77.98999065030472,5.9229285003533185
0.25,-88.27209304107532,3.9827776281538037
0.35000000000000003,-100.2297323759428,5.227165029096218
0.45,-116.63669678862432,4.12821104612016
0.55,-135.00733147644715,6.510540824755373
0.65,-155.57220657212073,6.289433527670007
0.75,-177.20309174340107,7.081909011457212
0.8500000000000001,-198.6669211807679,4.536313806356898
0.9500000000000001,-216.3340339396355,5.92338255424762
