relative radius,mean(tension),std(tension)
0.05,0.012846290076149115,0.0008381808566635593
0.15000000000000002,0.01341442518045002,0.000835495054336656
0.25,0.014282844706580883,0.0007844669322294398
0.35000000000000003,0.01552706061733707,0.0005731983043655449
0.45,0.01711801156098699,0.0004949969251494477
0.55,0.019542134627571386,0.0005297485513873187
0.65,0.022170228209452632,0.0005298969400922358
0.75,0.025352601237500296,0.0006221201492962794
0.8500000000000001,0.02902648757398356,0.0006555462161120697
0.9500000000000001,0.031739649468531514,0.00031793689498401854
