relative radius,mean(keratin),std(keratin)
0.05,28.493675326904732,2.134685498277682
0.15000000000000002,29.905850506724434,2.0418484412793374
0.25,34.42666084397987,1.5101298783037826
0.35000000000000003,39.7235090884502,1.6058154964583247
0.45,48.14495511242733,1.7017617436258408
0.55,57.050256705375965,2.479635490742867
0.65,69.14095998522319,2.86142020152714
0.75,82.93978912011326,3.6149366993349936
0.8500000000000001,97.62229903966058,3.1866848167295765
0.9500000000000001,111.90884289983164,4.110088222738539
