relative radius,mean(tension),std(tension)
0.05,0.008800889265576812,0.0008367472379313417
0.15000000000000002,0.008967277707885765,0.0006612985192354184
0.25,0.009313011255408319,0.0005744841604213459
0.35000000000000003,0.00986062192025149,0.00045022306500442706
0.45,0.010629277775881909,0.0003459013966265518
0.55,0.011642193105311002,0.0003472989993006596
0.65,0.012914827528961427,0.0002824937646817187
0.75,0.014461405213195161,0.00021391220806045615
0.8500000000000001,0.016314387491061254,0.0003089382569750721
0.9500000000000001,0.01777524205177437,0.00025264594156100274
