relative radius,mean(keratin),std(keratin)
0.05,121.69919176711743,11.65663884121964
0.15000000000000002,125.8787930279083,9.800870078933263
0.25,139.90597983293773,7.182650298504669
0.35000000000000003,151.38224636850347,7.767353287934901
0.45,171.00018249192323,6.197966419231402
0.55,190.36616088135807,8.022881395222718
0.65,209.38152140459815,6.928652220030546
0.75,229.73294094967247,8.125514141380705
0.8500000000000001,250.10825250735277,5.2284607411423405
0.9500000000000001,265.7290238962669,6.44253375403106
