relative radius,mean(tension),std(tension)
0.05,0.07658274674544212,0.017493279709455536
0.15000000000000002,0.07788429694859587,0.01445839946315546
0.25,0.07952606407183985,0.016126530094133333
0.35000000000000003,0.07923595712579491,0.01312115834616083
0.45,0.07956566432914806,0.00895675192477581
0.55,0.0786123549424952,0.008194582902049613
0.65,0.08074226779116665,0.0060779210303371885
0.75,0.08099594539355084,0.0051925277369822866
0.8500000000000001,0.0823224950240546,0.005536463081603402
0.9500000000000001,0.08432101977704089,0.005993589813082126
