relative radius,mean(keratin),std(keratin)
0.05,5.580407080862532,0.3834366334788649
0.15000000000000002,5.756532374680792,0.3252033671184931
0.25,6.045783101719822,0.30683304207165973
0.35000000000000003,6.4846524360512525,0.2637551127134892
0.45,7.058645544620797,0.23187697126971174
0.55,7.936499469480907,0.20487989522921612
0.65,8.960720723932296,0.24373323921040307
0.75,10.343091714719835,0.24061209410371834
0.8500000000000001,12.115241436678328,0.28954496344755154
0.9500000000000001,13.54626961999108,0.2541001365690218
