relative radius,mean(tension),std(tension)
0.05,0.023761017011416287,0.001810264573172008
0.15000000000000002,0.025028770000501414,0.0013902805796419634
0.25,0.0262852599307664,0.001424303360739907
0.35000000000000003,0.02875642074461644,0.0010539544509761342
0.45,0.031466175660868394,0.00082748251360102
0.55,0.03519078717371038,0.0009226765248646871
0.65,0.0392033109442059,0.0008282928579620285
0.75,0.044011726341700155,0.00112347217713664
0.8500000000000001,0.04841431321855398,0.0008185405125483597
0.9500000000000001,0.051038520623593375,0.0006416068180597071
