relative radius,mean(pressure),std(pressure)
0.05,-343.3510698387446,18.65480962803554
0.15000000000000002,-345.2581243857408,16.66349773193872
0.25,-357.03581229138433,13.696436942426557
0.35000000000000003,-364.60728745105536,9.299702181030026
0.45,-372.6870882189883,9.631016203474594
0.55,-386.92662385431817,10.667627426573747
0.65,-395.3355934457393,9.002594428266127
0.75,-407.3165674836258,10.298987606016919
0.8500000000000001,-421.35009265902374,8.47708124590245
0.9500000000000001,-433.7039929800008,10.606107790954967
