relative radius,mean(pressure),std(pressure)
0.05,-123.21116627561767,11.82754908069836
0.15000000000000002,-127.38136612437168,9.93725150163168
0.25,-141.45396308827398,7.280219832490281
0.35000000000000003,-152.82661668650755,7.851661055094609
0.45,-172.33691067783033,6.228180187746654
0.55,-191.5331276502748,8.057620588399079
0.65,-210.36132809074834,6.946295813287322
0.75,-230.51711530918482,8.123485648917097
0.8500000000000001,-250.6993622750829,5.232833912022701
0.9500000000000001,-266.17229538014504,6.449541312990028
