time (s),height (micro m)
0.0,19.9148
1.0,19.9148
2.0,19.9148
3.0,19.9148
4.0,27.1566
5.0,37.4157
6.0,41.0366
7.0,44.054
8.0,45.8644
9.0,47.0714
10.0,48.8818
11.0,51.2957
12.0,52.5027
13.0,53.7096
14.0,54.9166
15.0,56.1236
16.0,56.727
17.0,56.727
18.0,58.5375
19.0,58.5375
20.0,60.3479
21.0,60.9514
22.0,60.9514
23.0,62.7618
24.0,63.9688
25.0,63.9688
26.0,64.5723
27.0,65.7792
28.0,65.1757
29.0,65.7792
30.0,66.3827
31.0,66.3827
32.0,66.3827
33.0,67.5897
34.0,68.1931
35.0,67.5897
36.0,68.7966
37.0,69.4001
38.0,69.4001
39.0,70.0036
40.0,70.0036
41.0,70.6071
42.0,70.0036
43.0,70.6071
44.0,71.2105
45.0,71.814
46.0,71.814
47.0,72.4175
48.0,71.814
49.0,73.021
50.0,72.4175
51.0,73.021
52.0,73.6245
53.0,73.6245
54.0,73.6245
55.0,74.2279
56.0,74.8314
57.0,74.8314
58.0,75.4349
59.0,75.4349
60.0,76.0384
61.0,76.0384
62.0,76.6418
63.0,76.6418
64.0,76.6418
65.0,77.2453
66.0,77.2453
67.0,77.8488
68.0,77.8488
69.0,78.4523
70.0,78.4523
71.0,79.0558
72.0,79.0558
73.0,79.6592
74.0,79.6592
75.0,80.2627
76.0,80.2627
77.0,80.2627
78.0,80.8662
79.0,80.8662
80.0,81.4697
81.0,81.4697
82.0,82.0732
83.0,82.0732
84.0,82.6766
85.0,82.6766
86.0,83.2801
87.0,83.2801
88.0,83.2801
89.0,83.8836
90.0,83.8836
91.0,84.4871
92.0,84.4871
93.0,85.0906
94.0,85.0906
95.0,85.0906
96.0,85.694
97.0,85.694
98.0,86.2975
99.0,86.2975
100.0,86.901
101.0,86.901
102.0,86.901
103.0,87.5045
104.0,87.5045
105.0,88.1079
106.0,88.1079
107.0,88.7114
108.0,88.7114
109.0,89.3149
110.0,89.3149
111.0,89.3149
112.0,89.9184
113.0,89.9184
114.0,90.5219
115.0,90.5219
116.0,91.1253
117.0,91.1253
118.0,91.1253
119.0,91.7288
120.0,91.7288
121.0,91.7288
122.0,92.3323
123.0,92.3323
124.0,92.9358
125.0,92.9358
126.0,92.9358
127.0,92.9358
128.0,93.5393
129.0,93.5393
130.0,94.1427
131.0,94.1427
132.0,94.1427
133.0,94.7462
134.0,94.7462
135.0,95.3497
136.0,95.3497
137.0,95.3497
138.0,95.9532
139.0,95.9532
140.0,95.9532
141.0,96.5567
142.0,96.5567
143.0,96.5567
144.0,96.5567
145.0,96.5567
146.0,97.1601
147.0,98.3671
148.0,97.7636
149.0,98.3671
150.0,97.7636
151.0,97.7636
152.0,98.3671
153.0,98.3671
154.0,98.3671
