relative radius,mean(pressure),std(pressure)
0.05,-46.757200211760754,3.892803887342862
0.15000000000000002,-49.23680150470727,3.4674050268307766
0.25,-56.31002084403149,2.4291826649831445
0.35000000000000003,-64.86218780622072,2.8192460846637393
0.45,-77.40347340163827,2.640606055339022
0.55,-90.2093485863687,4.033965582826989
0.65,-107.85279748567935,4.226036164939723
0.75,-127.19141679939356,5.167668837714327
0.8500000000000001,-147.4753145737447,4.110072852557004
0.9500000000000001,-165.51249205750477,5.541725197784564
