relative radius,mean(tension),std(tension)
0.05,0.01829737755975481,0.0018343750676019254
0.15000000000000002,0.019004055848412135,0.0012237775983663583
0.25,0.02018816844862521,0.0010876818825490625
0.35000000000000003,0.022302026701602123,0.0008552311696385529
0.45,0.024736198250067665,0.0007136230679558585
0.55,0.028037877811988784,0.0007981617131596688
0.65,0.031709265121520495,0.0008394239701234347
0.75,0.03598233090695232,0.0009711796319376876
0.8500000000000001,0.04030005187527508,0.0007152032744586558
0.9500000000000001,0.04328998059350077,0.0004972087942875321
