keratin,p(keratin)
8.46625,0.015585099709571662
10.54275,0.01714360968052883
12.61925,0.038962749273929155
14.69575,0.02337764956435749
16.772250000000003,0.03740423930297199
18.848750000000003,0.05922337889637232
20.925250000000002,0.05766486892541515
23.001750000000005,0.042079769215843485
25.078250000000004,0.05143082904158648
27.154750000000003,0.03428721936105766
29.231250000000003,0.02026062962244316
31.307750000000006,0.026494669506271825
33.38425,0.015585099709571662
35.46075,0.015585099709571662
37.53725,0.0015585099709571663
39.61375,0.0031170199419143325
41.69025,0.006234039883828665
43.76675,0.0031170199419143325
45.84325,0.009351059825742997
47.91975,0.0015585099709571663
