time (s),keratin (a.u.)
1.0,5.933
2.0,6.191
3.0,7.609
4.0,7.864
5.0,7.999
6.0,8.18
7.0,8.264
8.0,8.38
9.0,8.423
10.0,8.594
11.0,8.6
12.0,8.671
13.0,8.766
14.0,8.87
15.0,8.851
16.0,9.018
17.0,9.03
18.0,9.166
19.0,9.11
20.0,9.285
21.0,9.337
22.0,9.447
23.0,9.413
24.0,9.512
25.0,9.558
26.0,9.585
27.0,9.671
28.0,9.701
29.0,9.707
30.0,9.694
31.0,9.781
32.0,9.791
33.0,9.799
34.0,9.833
35.0,9.853
36.0,10.024
37.0,10.013
38.0,10.046
39.0,10.117
40.0,10.236
41.0,10.171
42.0,10.213
43.0,10.297
44.0,10.24
45.0,10.238
46.0,10.356
47.0,10.359
48.0,10.406
49.0,10.443
50.0,10.507
51.0,10.485
52.0,10.469
53.0,10.504
54.0,10.489
55.0,10.557
56.0,10.642
57.0,10.701
58.0,10.593
59.0,10.697
60.0,10.7
61.0,10.69
62.0,10.764
63.0,10.794
64.0,10.875
65.0,10.838
66.0,10.922
67.0,10.955
68.0,10.981
69.0,10.985
70.0,11.025
71.0,11.075
72.0,11.016
73.0,11.015
74.0,11.101
75.0,11.118
76.0,11.154
77.0,11.13
78.0,11.175
79.0,11.18
80.0,11.185
81.0,11.193
82.0,11.248
83.0,11.322
84.0,11.364
85.0,11.422
86.0,11.289
87.0,11.394
88.0,11.346
89.0,11.456
90.0,11.432
91.0,11.415
92.0,11.474
93.0,11.52
94.0,11.471
95.0,11.451
96.0,11.446
97.0,11.536
98.0,11.568
99.0,11.508
100.0,11.571
101.0,11.624
102.0,11.646
103.0,11.657
104.0,11.608
105.0,11.699
106.0,11.664
107.0,11.702
108.0,11.78
109.0,11.743
110.0,11.751
111.0,11.769
112.0,11.801
113.0,11.809
114.0,11.867
115.0,11.84
116.0,11.882
117.0,11.894
118.0,11.91
119.0,11.959
120.0,11.995
121.0,11.9
122.0,12.088
123.0,12.067
124.0,12.042
125.0,12.071
126.0,12.098
127.0,12.132
128.0,12.075
129.0,12.045
130.0,12.144
131.0,12.116
132.0,12.147
133.0,12.16
134.0,12.222
135.0,12.12
136.0,12.243
137.0,12.173
138.0,12.111
139.0,12.293
140.0,12.229
141.0,12.255
142.0,12.349
143.0,12.307
144.0,12.312
145.0,12.256
146.0,12.31
147.0,12.232
148.0,12.287
149.0,12.382
150.0,12.355
151.0,12.287
152.0,12.383
153.0,12.374
154.0,12.45
155.0,12.446
156.0,12.453
157.0,12.554
158.0,12.38
159.0,12.498
160.0,12.508
161.0,12.637
162.0,12.602
163.0,12.497
164.0,12.591
165.0,12.534
166.0,12.604
167.0,12.724
168.0,12.664
169.0,12.694
170.0,12.604
171.0,12.577
172.0,12.697
173.0,12.658
174.0,12.713
175.0,12.833
176.0,12.725
177.0,12.697
178.0,12.724
179.0,12.393
180.0,12.361
181.0,12.242
182.0,12.296
183.0,12.219
184.0,12.156
185.0,12.161
186.0,12.139
187.0,12.06
188.0,12.024
189.0,12.093
190.0,12.117
